Date,Ticker,Price,Type,Score,BSU_Index,ATR,IsParanormal,Touches,IsRoundNumber,IsMirror
2025-03-01,AMZN,165.18,S,17,16,13.413312000000001,True,8,False,False
2025-03-11,AMZN,183.12,S,9,24,19.888365376593917,False,50,False,False
2025-03-12,AMZN,228.77,M,27,25,19.888365376593917,True,95,False,True
2025-03-25,AMZN,219.64,M,19,36,21.740335342900373,False,122,False,True
2025-04-03,AMZN,230.21,M,27,44,22.19294294812928,True,84,False,True
2025-04-08,AMZN,125.18,S,8,48,22.22148348680274,True,1,False,False
2025-04-15,AMZN,219.02,M,19,54,29.016626967164417,False,126,False,True
2025-04-22,AMZN,162.28,S,9,59,23.526922405750547,False,5,False,False
2025-04-25,AMZN,226.09,R,17,62,25.502430339680352,True,112,False,False
2025-05-05,AMZN,166.01,S,15,70,27.14142849213771,False,12,True,False
2025-05-17,AMZN,167.8,S,9,81,33.59824702935629,False,19,False,False
2025-05-20,AMZN,225.12,M,19,83,33.197678098788025,False,116,False,True
2025-05-30,AMZN,167.32,S,9,91,33.660356382418364,False,18,False,False
2025-06-06,AMZN,232.93,R,17,97,30.64396997423856,True,69,False,False
2025-06-11,AMZN,26.97,S,8,101,27.523340783512673,True,0,False,False
2025-06-14,AMZN,248.31,R,17,104,27.190938101448115,True,21,False,False
2025-07-03,AMZN,237.33,R,17,120,22.356645544004003,True,49,False,False
2025-07-09,AMZN,169.88,S,17,123,21.66465314816256,True,25,False,False
2025-07-15,AMZN,263.36,R,17,128,19.05777792948739,True,4,False,False
2025-07-25,AMZN,208.85,S,9,137,21.60229124603804,False,106,False,False
2025-08-02,AMZN,272.63,R,8,144,23.6517270364014,True,1,False,False
2025-08-09,AMZN,259.29,R,17,150,26.3627053032969,True,12,False,False
2025-08-15,AMZN,175.26,S,17,155,25.392084092230405,True,39,False,False
2025-08-27,AMZN,261.51,R,23,165,21.611501212273648,True,6,True,False
2025-08-27,AMZN,175.3,S,17,165,21.611501212273648,True,39,False,False
2025-09-09,AMZN,253.45,R,9,175,25.34796385103221,False,18,False,False
2025-09-13,AMZN,213.13,M,19,179,22.403277993382794,False,121,False,True
2025-09-19,AMZN,244.96,R,9,184,21.667310666089595,False,29,False,False
2025-09-22,AMZN,186.35,S,17,186,21.503848532871675,True,65,False,False
2025-10-10,AMZN,237.33,R,9,202,21.145515835928915,False,49,False,False
2025-10-11,AMZN,198.17,S,9,203,22.778412668743133,False,94,False,False
2025-10-21,AMZN,184.87,S,9,211,24.20992210600641,False,59,False,False
2025-10-30,AMZN,176.01,S,23,219,21.386672094620224,True,40,True,False
2025-10-30,AMZN,274.07,R,8,219,21.386672094620224,True,0,False,False
2025-02-19,GOOGL,206.13,M,27,7,9.186240000000002,True,35,False,True
2025-02-26,GOOGL,225.67,R,17,13,10.084992000000003,True,20,False,False
2025-03-01,GOOGL,156.06,S,17,16,11.1219936,True,58,False,False
2025-03-13,GOOGL,154.96,S,9,26,14.944633876622543,False,51,False,False
2025-04-03,GOOGL,198.89,M,27,44,16.78954263029027,True,43,False,True
2025-04-07,GOOGL,137.0,S,6,47,17.483634104232216,False,1,True,False
2025-04-14,GOOGL,169.02,R,9,53,17.920812498619853,False,99,False,False
2025-04-24,GOOGL,177.01,M,25,61,22.911322260248447,False,71,True,True
2025-05-05,GOOGL,174.58,M,19,70,21.57214995588638,False,79,False,True
2025-05-08,GOOGL,141.22,S,9,73,20.709660777413827,False,7,False,False
2025-05-14,GOOGL,176.56,M,19,78,19.57526631803588,False,74,False,True
2025-05-21,GOOGL,152.68,M,19,84,17.344252213675198,False,41,False,True
2025-06-05,GOOGL,135.97,S,8,96,18.98582773854276,True,0,False,False
2025-06-17,GOOGL,190.18,R,17,106,17.095598122683224,True,46,False,False
2025-06-17,GOOGL,146.57,S,17,106,17.095598122683224,True,24,False,False
2025-06-24,GOOGL,155.92,S,9,112,17.488093592840837,False,55,False,False
2025-07-15,GOOGL,207.67,M,27,128,20.043950588740596,True,33,False,True
2025-07-15,GOOGL,140.52,S,17,128,20.043950588740596,True,5,False,False
2025-07-31,GOOGL,151.01,S,23,142,18.671417170507848,True,33,True,False
2025-08-15,GOOGL,146.62,S,17,155,15.805281614205748,True,24,False,False
2025-08-19,GOOGL,216.84,R,9,158,17.15738023309168,False,24,False,False
2025-08-27,GOOGL,154.14,S,17,165,19.099123349178672,True,45,False,False
2025-09-04,GOOGL,165.12,M,27,171,19.684431154779478,True,104,False,True
2025-09-12,GOOGL,182.11,M,27,178,16.792035939058866,True,65,False,True
2025-09-17,GOOGL,260.31,R,9,182,19.43792240079814,False,11,False,False
2025-09-22,GOOGL,164.21,M,27,186,18.46233792063851,True,95,False,True
2025-09-30,GOOGL,176.23,S,17,193,17.45271701536692,True,73,False,False
2025-10-01,GOOGL,260.31,R,9,194,20.780173612293538,False,11,False,False
2025-10-10,GOOGL,164.06,M,27,202,17.621288889494288,True,95,False,True
2025-10-15,GOOGL,260.31,R,9,206,16.930824889276344,False,11,False,False
2025-10-21,GOOGL,157.14,M,27,211,16.136659911421077,True,67,False,True
2025-10-28,GOOGL,166.77,M,27,217,18.137327929136866,True,102,False,True
2025-11-06,GOOGL,211.35,S,17,225,23.165789772655646,True,28,False,False
2025-02-25,META,605.59,S,17,12,28.641147776000015,True,77,False,False
2025-03-13,META,789.02,R,17,26,49.13899134596698,True,35,False,False
2025-03-13,META,560.73,S,17,26,49.13899134596698,True,41,False,False
2025-03-25,META,494.87,S,17,36,54.19217106191776,True,15,False,False
2025-03-28,META,718.56,M,27,39,58.45258947962736,True,96,False,True
2025-04-07,META,661.24,M,27,47,56.18734441654743,True,64,False,True
2025-04-15,META,693.12,M,27,54,61.068640341272285,True,78,False,True
2025-04-18,META,476.59,S,9,57,70.49138385473142,False,4,False,False
2025-05-01,META,484.66,S,9,67,76.48745747415792,False,10,False,False
2025-05-05,META,638.58,M,19,70,81.78749822676886,False,71,False,True
2025-05-15,META,684.55,M,19,79,94.6482260951581,False,77,False,True
2025-05-23,META,581.09,S,9,86,80.83005232686142,False,59,False,False
2025-06-04,META,468.97,S,17,95,55.764203797172776,True,3,False,False
2025-06-14,META,760.58,R,17,104,51.65405787532196,True,57,False,False
2025-06-17,META,484.66,S,17,106,51.65405787532196,True,10,False,False
2025-07-03,META,504.73,S,17,120,58.15192735013473,True,22,False,False
2025-07-08,META,797.74,R,17,122,66.53154188010777,True,27,False,False
2025-07-26,META,857.51,R,14,138,51.760890647395954,True,2,True,False
2025-08-07,META,717.92,M,19,148,57.36812904823743,False,97,False,True
2025-08-15,META,516.25,S,17,155,52.47635332652645,True,24,False,False
2025-08-16,META,816.75,R,9,156,48.38108266122116,False,8,False,False
2025-09-04,META,487.99,S,23,171,70.87188922528932,True,11,True,False
2025-09-18,META,799.3,R,9,183,66.0646552712594,False,22,False,False
2025-09-30,META,780.25,R,9,193,58.720276633143214,False,40,False,False
2025-10-04,META,663.12,M,19,197,68.20851330893547,False,65,False,True
2025-10-07,META,780.25,R,9,199,76.6918485177187,False,40,False,False
2025-10-14,META,772.86,R,9,205,66.13596873782885,False,48,False,False
2025-10-21,META,543.57,S,17,211,69.9460287950147,True,33,False,False
2025-02-15,MSFT,379.05,M,19,5,49.48559999999999,False,68,False,True
2025-02-18,MSFT,453.5,M,25,6,49.150479999999995,False,47,True,True
2025-03-03,MSFT,364.51,S,15,17,50.62393245250355,False,33,True,False
2025-03-11,MSFT,469.25,R,17,24,47.04943854882909,True,43,False,False
2025-03-11,MSFT,332.63,S,8,24,47.04943854882909,True,1,False,False
2025-03-18,MSFT,415.02,M,19,30,42.37060642368031,False,68,False,True
2025-03-25,MSFT,422.35,M,19,36,44.385222650329254,False,62,False,True
2025-04-10,MSFT,414.54,M,19,50,51.132169309184555,False,69,False,True
2025-05-05,MSFT,356.78,S,9,70,62.09647499341287,False,17,False,False
2025-05-17,MSFT,375.39,S,9,81,64.76335959737898,False,66,False,False
2025-05-20,MSFT,484.07,M,19,83,58.93068767790318,False,89,False,True
2025-05-27,MSFT,363.5,S,23,88,52.87851209108643,True,30,True,False
2025-05-30,MSFT,516.52,M,27,91,47.59064773829532,True,102,False,True
2025-06-07,MSFT,508.28,M,27,98,50.35251819063626,True,108,False,True
2025-06-14,MSFT,516.52,M,19,104,62.03677545088461,False,102,False,True
2025-06-17,MSFT,359.12,S,17,106,62.03677545088461,True,21,False,False
2025-06-23,MSFT,528.42,R,17,111,65.94553628856616,True,72,False,False
2025-06-24,MSFT,371.57,S,9,112,76.95242903085293,False,59,False,False
2025-07-03,MSFT,359.84,S,17,120,76.11475457974588,True,22,False,False
2025-07-28,MSFT,391.85,M,27,139,52.1414403121369,True,80,False,True
2025-08-15,MSFT,558.56,R,17,155,48.78111739542663,True,7,False,False
2025-08-15,MSFT,357.27,S,17,155,48.78111739542663,True,17,False,False
2025-08-27,MSFT,399.98,M,27,165,46.0753704438443,True,82,False,True
2025-08-27,MSFT,566.84,R,8,165,46.0753704438443,True,2,False,False
2025-09-04,MSFT,573.49,R,14,171,42.10039173379862,True,0,True,False
2025-09-18,MSFT,475.44,S,9,183,53.30346441511959,False,57,False,False
2025-09-23,MSFT,542.32,R,9,187,50.134827024432994,False,30,False,False
2025-09-27,MSFT,477.21,M,19,191,46.16511143650969,False,68,False,True
2025-10-21,MSFT,388.45,M,27,211,49.03785805833582,True,79,False,True
2025-10-28,MSFT,432.35,M,27,217,49.19582915733493,True,63,False,True
2025-10-28,MSFT,557.57,R,17,217,49.19582915733493,True,12,False,False
2025-11-07,MSFT,468.39,M,19,226,54.083605656717076,False,43,False,True
2025-02-20,NVDA,168.08,M,27,8,23.218160000000005,True,86,False,True
2025-02-27,NVDA,905.46,R,8,14,19.891358336000003,True,0,False,False
2025-03-05,NVDA,79.24,S,17,19,20.259495468032004,True,14,False,False
2025-03-08,NVDA,169.66,R,17,22,20.204477099540487,True,90,False,False
2025-03-15,NVDA,166.47,R,17,28,22.635652274964734,True,81,False,False
2025-03-15,NVDA,70.64,S,17,28,22.635652274964734,True,4,False,False
2025-03-24,NVDA,149.02,R,17,35,18.476761069968354,True,78,False,False
2025-03-25,NVDA,87.51,S,17,36,18.476761069968354,True,21,False,False
2025-04-05,NVDA,160.7,R,17,46,15.836581803140628,True,73,False,False
2025-04-15,NVDA,156.2,R,17,54,15.836581803140628,True,70,False,False
2025-04-25,NVDA,138.81,R,17,62,16.661681220202496,True,103,False,False
2025-05-07,NVDA,145.27,R,17,72,18.55325568114481,True,84,False,False
2025-05-07,NVDA,71.98,S,17,72,18.55325568114481,True,6,False,False
2025-05-29,NVDA,177.96,R,17,90,19.510643402661078,True,98,False,False
2025-06-04,NVDA,74.35,S,17,95,19.510643402661078,True,12,False,False
2025-06-05,NVDA,177.18,M,27,96,19.510643402661078,True,101,False,True
2025-06-17,NVDA,178.86,R,17,106,16.15579953772998,True,95,False,False
2025-06-17,NVDA,95.66,S,17,106,16.15579953772998,True,39,False,False
2025-07-03,NVDA,74.35,S,17,120,17.251276474018695,True,12,False,False
2025-07-12,NVDA,200.04,R,17,126,18.309021179214955,True,33,False,False
2025-07-19,NVDA,186.4,M,27,132,17.676618843758064,True,63,False,True
2025-07-22,NVDA,93.86,S,17,134,18.40529507500645,True,32,False,False
2025-07-31,NVDA,74.35,S,17,142,16.68592886272264,True,12,False,False
2025-08-02,NVDA,226.12,R,17,144,16.68592886272264,True,3,False,False
2025-08-15,NVDA,97.64,S,17,155,16.419785969736957,True,51,False,False
2025-08-27,NVDA,228.75,R,8,165,15.961895662880465,True,1,False,False
2025-09-02,NVDA,102.25,S,17,169,16.159516530304376,True,69,False,False
2025-09-10,NVDA,184.52,R,9,176,19.275419501320116,False,71,False,False
2025-09-15,NVDA,109.69,S,17,180,19.312335601056095,True,92,False,False
2025-09-19,NVDA,186.4,M,19,184,19.055164662192578,False,63,False,True
2025-09-25,NVDA,96.36,S,17,189,20.481011445634085,True,45,False,False
2025-10-08,NVDA,110.27,S,17,200,18.968387524815,True,94,False,False
2025-10-09,NVDA,225.79,R,17,201,18.968387524815,True,4,False,False
2025-10-21,NVDA,110.93,S,17,211,18.999322613404214,True,94,False,False
2025-10-28,NVDA,224.97,R,17,217,19.465458090723374,True,5,False,False
2025-11-04,NVDA,219.12,R,9,223,25.37153256573459,False,9,False,False
2025-11-05,NVDA,116.49,S,17,224,25.37153256573459,True,99,False,False
2025-02-26,TSLA,540.62,R,9,13,241.49304,False,5,False,False
2025-02-27,TSLA,177.81,S,9,14,219.61243199999998,False,5,False,False
2025-03-05,TSLA,402.86,R,9,19,215.9439456,False,53,False,False
2025-03-14,TSLA,168.5,S,15,27,211.86715648,False,3,True,False
2025-03-21,TSLA,406.86,R,9,33,184.871555294208,False,55,False,False
2025-04-03,TSLA,417.39,R,9,44,175.48622104850762,False,63,False,False
2025-04-09,TSLA,208.0,S,15,49,175.48622104850762,False,18,True,False
2025-04-11,TSLA,355.42,R,9,51,167.9329768388061,False,91,False,False
2025-04-22,TSLA,428.84,R,9,59,186.9683814710449,False,67,False,False
2025-05-09,TSLA,373.12,R,9,74,188.226211313175,False,56,False,False
