btc_datetime,eth_datetime,direction,lag_min,btc_close,eth_close
2025-08-01 12:55:00,2025-08-01 12:35:00,DOWN,-20.0,115015.60,3605.25
2025-08-02 12:55:00,2025-08-02 13:05:00,UP,10.0,113200.25,3477.36
2025-08-02 13:50:00,2025-08-02 13:40:00,DOWN,-10.0,112643.40,3454.02
2025-08-03 11:45:00,2025-08-03 12:30:00,UP,45.0,113935.59,3483.51
2025-08-04 14:10:00,2025-08-04 14:40:00,DOWN,30.0,115075.46,3674.16
2025-08-05 13:00:00,2025-08-05 13:05:00,UP,5.0,113208.01,3583.53
2025-08-07 12:40:00,2025-08-07 12:40:00,DOWN,0.0,116100.01,3806.77
2025-08-07 14:55:00,2025-08-07 14:55:00,UP,0.0,116561.05,3827.70
2025-08-08 13:05:00,2025-08-08 12:05:00,UP,-60.0,116469.03,3965.38
2025-08-10 12:45:00,2025-08-10 14:00:00,DOWN,75.0,118688.06,4223.44
2025-08-10 15:10:00,2025-08-10 14:45:00,UP,-25.0,118648.11,4229.70
2025-08-11 12:45:00,2025-08-11 13:15:00,DOWN,30.0,120053.30,4286.46
2025-08-13 12:05:00,2025-08-13 12:10:00,UP,5.0,121352.78,4687.89
2025-08-13 14:50:00,2025-08-13 14:45:00,DOWN,-5.0,121619.36,4702.69
2025-08-13 15:00:00,2025-08-13 15:00:00,UP,0.0,121771.36,4726.73
2025-08-14 14:40:00,2025-08-14 15:15:00,UP,35.0,118039.99,4547.29
2025-08-15 13:25:00,2025-08-15 13:45:00,UP,20.0,117547.44,4441.67
2025-08-15 14:35:00,2025-08-15 14:25:00,DOWN,-10.0,117320.01,4416.88
2025-08-16 11:40:00,2025-08-16 12:35:00,DOWN,55.0,117652.00,4398.91
2025-08-16 12:10:00,2025-08-16 12:15:00,UP,5.0,117771.40,4414.48
2025-08-16 13:15:00,2025-08-16 13:10:00,DOWN,-5.0,117678.52,4397.45
2025-08-16 15:30:00,2025-08-16 14:10:00,UP,-80.0,117736.39,4413.01
2025-08-17 12:10:00,2025-08-17 12:25:00,DOWN,15.0,118107.34,4539.32
2025-08-19 15:35:00,2025-08-19 14:05:00,UP,-90.0,113474.42,4185.85
2025-08-20 14:10:00,2025-08-20 14:15:00,DOWN,5.0,113663.28,4279.63
2025-08-20 15:20:00,2025-08-20 15:15:00,UP,-5.0,114263.83,4315.81
2025-08-21 15:00:00,2025-08-21 14:00:00,UP,-60.0,112668.56,4241.89
2025-08-21 15:20:00,2025-08-21 15:30:00,DOWN,10.0,112181.99,4226.42
2025-08-23 12:00:00,2025-08-23 13:20:00,DOWN,80.0,114777.30,4738.08
2025-08-23 12:25:00,2025-08-23 13:55:00,UP,90.0,114867.59,4749.79
2025-08-24 15:30:00,2025-08-24 15:35:00,DOWN,5.0,113864.08,4837.49
2025-08-26 13:00:00,2025-08-26 12:45:00,UP,-15.0,110039.09,4537.92
2025-08-26 13:30:00,2025-08-26 13:45:00,DOWN,15.0,109802.45,4514.08
2025-08-26 14:00:00,2025-08-26 14:20:00,UP,20.0,110152.91,4546.81
2025-08-27 14:55:00,2025-08-27 14:25:00,DOWN,-30.0,111947.21,4621.91
2025-08-29 12:40:00,2025-08-29 12:10:00,UP,-30.0,108752.40,4340.25
2025-08-29 13:05:00,2025-08-29 12:00:00,DOWN,-65.0,108426.68,4300.64
2025-08-29 15:15:00,2025-08-29 15:10:00,UP,-5.0,108619.86,4343.83
2025-08-30 13:45:00,2025-08-30 13:20:00,DOWN,-25.0,108696.69,4365.71
2025-08-31 15:55:00,2025-08-31 15:15:00,DOWN,-40.0,108930.00,4475.44
2025-09-01 14:00:00,2025-09-01 14:45:00,UP,45.0,109032.01,4346.47
2025-09-02 12:15:00,2025-09-02 13:30:00,UP,75.0,111111.11,4317.95
2025-09-02 12:20:00,2025-09-02 14:05:00,DOWN,105.0,110800.01,4287.13
2025-09-03 12:40:00,2025-09-03 14:35:00,DOWN,115.0,111733.64,4459.88
2025-09-05 14:20:00,2025-09-05 14:25:00,UP,5.0,110888.78,4298.38
2025-09-06 15:05:00,2025-09-06 14:50:00,UP,-15.0,110228.21,4278.82
2025-09-06 15:10:00,2025-09-06 15:10:00,DOWN,0.0,110168.25,4273.47
2025-09-07 15:05:00,2025-09-07 15:30:00,UP,25.0,111076.69,4285.58
2025-09-08 12:15:00,2025-09-08 12:35:00,DOWN,20.0,112380.00,4344.81
2025-09-09 14:15:00,2025-09-09 14:25:00,UP,10.0,111197.97,4290.62
2025-09-10 13:25:00,2025-09-10 11:55:00,DOWN,-90.0,113482.01,4404.90
2025-09-11 12:15:00,2025-09-11 13:05:00,UP,50.0,114420.37,4429.50
2025-09-11 14:15:00,2025-09-11 14:20:00,DOWN,5.0,114170.26,4415.40
2025-09-11 15:40:00,2025-09-11 15:40:00,UP,0.0,114399.85,4426.72
2025-09-13 13:55:00,2025-09-13 14:20:00,UP,25.0,115571.78,4649.18
2025-09-14 12:20:00,2025-09-14 12:25:00,UP,5.0,115429.26,4607.04
2025-09-14 14:30:00,2025-09-14 14:45:00,DOWN,15.0,115475.97,4605.91
2025-09-14 15:30:00,2025-09-14 15:20:00,UP,-10.0,115623.29,4617.95
2025-09-15 12:10:00,2025-09-15 12:45:00,UP,35.0,114844.66,4504.09
2025-09-15 12:25:00,2025-09-15 12:50:00,DOWN,25.0,114682.01,4495.61
2025-09-15 12:30:00,2025-09-15 13:55:00,UP,85.0,114772.22,4509.90
2025-09-17 13:35:00,2025-09-17 13:35:00,UP,0.0,115864.75,4498.06
2025-09-17 14:15:00,2025-09-17 14:10:00,DOWN,-5.0,115490.42,4457.54
2025-09-17 14:25:00,2025-09-17 14:00:00,UP,-25.0,115961.73,4503.75
2025-09-17 14:30:00,2025-09-17 13:55:00,DOWN,-35.0,115361.69,4433.77
2025-09-17 15:25:00,2025-09-17 15:20:00,UP,-5.0,115752.00,4494.49
2025-09-18 12:00:00,2025-09-18 11:45:00,UP,-15.0,117668.85,4607.26
2025-09-18 13:05:00,2025-09-18 13:35:00,DOWN,30.0,117583.01,4604.07
2025-09-18 13:10:00,2025-09-18 14:45:00,UP,95.0,117665.12,4616.02
2025-09-18 13:25:00,2025-09-18 15:15:00,DOWN,110.0,117541.19,4605.81
2025-09-20 12:15:00,2025-09-20 13:15:00,DOWN,60.0,115882.82,4484.57
2025-09-21 13:50:00,2025-09-21 13:50:00,UP,0.0,115616.47,4485.30
2025-09-22 14:20:00,2025-09-22 14:15:00,UP,-5.0,112707.11,4174.66
2025-09-22 14:55:00,2025-09-22 14:45:00,DOWN,-10.0,112429.13,4161.71
2025-09-23 12:00:00,2025-09-23 13:05:00,DOWN,65.0,112803.77,4181.53
2025-09-24 12:10:00,2025-09-24 11:55:00,DOWN,-15.0,113283.87,4166.18
2025-09-24 12:20:00,2025-09-24 13:15:00,UP,55.0,113529.05,4180.94
2025-09-24 14:20:00,2025-09-24 14:15:00,DOWN,-5.0,113638.38,4168.96
2025-09-25 11:55:00,2025-09-25 12:05:00,UP,10.0,111580.77,4000.93
2025-09-25 12:25:00,2025-09-25 12:10:00,DOWN,-15.0,111116.00,3998.58
2025-09-25 15:20:00,2025-09-25 14:55:00,UP,-25.0,109870.00,3924.96
2025-09-26 15:05:00,2025-09-26 15:30:00,DOWN,25.0,109517.30,4009.17
2025-09-27 11:45:00,2025-09-27 11:50:00,UP,5.0,109394.69,4019.66
2025-09-27 13:15:00,2025-09-27 12:10:00,DOWN,-65.0,109243.90,4012.03
2025-09-27 13:55:00,2025-09-27 15:25:00,UP,90.0,109382.47,3999.55
2025-09-29 12:55:00,2025-09-29 11:55:00,DOWN,-60.0,113626.15,4164.80
2025-09-29 13:25:00,2025-09-29 14:40:00,UP,75.0,113890.25,4156.53
2025-09-30 13:20:00,2025-09-30 14:25:00,UP,65.0,113249.43,4110.49
2025-10-01 13:15:00,2025-10-01 13:10:00,DOWN,-5.0,117365.72,4313.14
2025-10-01 15:05:00,2025-10-01 15:10:00,UP,5.0,117403.43,4317.18
2025-10-03 13:50:00,2025-10-03 13:15:00,DOWN,-35.0,121607.07,4496.87
2025-10-03 14:35:00,2025-10-03 14:55:00,UP,20.0,122687.60,4512.57
2025-10-04 15:20:00,2025-10-04 15:25:00,UP,5.0,121849.43,4465.95
2025-10-08 12:15:00,2025-10-08 12:40:00,UP,25.0,122664.33,4467.57
2025-10-08 15:10:00,2025-10-08 15:10:00,DOWN,0.0,123260.00,4503.29
2025-10-09 14:15:00,2025-10-09 13:45:00,UP,-30.0,120811.97,4319.00
2025-10-09 14:30:00,2025-10-09 14:50:00,DOWN,20.0,120431.54,4302.87
2025-10-09 15:05:00,2025-10-09 15:10:00,UP,5.0,120816.01,4320.83
2025-10-11 11:40:00,2025-10-11 12:40:00,DOWN,60.0,111939.85,3812.82
2025-10-11 13:20:00,2025-10-11 13:15:00,UP,-5.0,112060.57,3829.79
2025-10-11 14:20:00,2025-10-11 13:40:00,DOWN,-40.0,111863.85,3819.90
2025-10-12 14:35:00,2025-10-12 14:55:00,DOWN,20.0,113741.46,4109.50
2025-10-12 15:10:00,2025-10-12 15:05:00,UP,-5.0,114347.29,4121.91
2025-10-13 12:05:00,2025-10-13 11:50:00,UP,-15.0,114956.07,4133.38
2025-10-14 15:40:00,2025-10-14 15:40:00,DOWN,0.0,112104.75,4057.44
2025-10-15 13:50:00,2025-10-15 14:10:00,UP,20.0,111095.55,3982.27
2025-10-18 11:40:00,2025-10-18 12:25:00,DOWN,45.0,106897.86,3867.82
2025-10-18 12:00:00,2025-10-18 13:20:00,UP,80.0,107018.94,3877.49
2025-10-19 15:30:00,2025-10-19 15:15:00,DOWN,-15.0,108926.21,3986.71
2025-10-20 14:35:00,2025-10-20 14:40:00,UP,5.0,110745.03,3963.68
2025-10-21 13:15:00,2025-10-21 13:10:00,DOWN,-5.0,111915.76,4014.40
2025-10-22 13:00:00,2025-10-22 13:15:00,DOWN,15.0,108088.55,3827.94
2025-10-22 15:00:00,2025-10-22 15:35:00,UP,35.0,108165.18,3822.01
2025-10-22 15:50:00,2025-10-22 15:40:00,DOWN,-10.0,107977.21,3805.79
2025-10-23 15:00:00,2025-10-23 14:30:00,DOWN,-30.0,110106.03,3883.81
2025-10-24 13:05:00,2025-10-24 13:30:00,UP,25.0,110319.79,3898.45
2025-10-25 14:15:00,2025-10-25 14:10:00,UP,-5.0,111434.12,3938.00
2025-10-26 12:45:00,2025-10-26 13:45:00,UP,60.0,113730.62,4064.66
2025-10-26 13:50:00,2025-10-26 13:55:00,DOWN,5.0,113491.73,4059.44
2025-10-26 14:35:00,2025-10-26 14:05:00,UP,-30.0,113762.23,4072.73
2025-10-26 15:10:00,2025-10-26 15:40:00,DOWN,30.0,113545.85,4067.50
2025-10-27 14:50:00,2025-10-27 15:00:00,DOWN,10.0,115414.30,4193.10
2025-10-28 12:45:00,2025-10-28 12:45:00,UP,0.0,115298.00,4134.56
2025-10-28 14:20:00,2025-10-28 14:35:00,DOWN,15.0,115099.99,4115.69
2025-10-29 13:45:00,2025-10-29 13:05:00,UP,-40.0,111862.67,3975.28
2025-10-29 14:20:00,2025-10-29 14:35:00,DOWN,15.0,111410.83,3862.45
2025-10-30 12:25:00,2025-10-30 12:25:00,UP,0.0,108150.00,3798.83
2025-10-30 13:05:00,2025-10-30 12:50:00,DOWN,-15.0,107683.60,3777.59
2025-10-31 12:05:00,2025-10-31 12:10:00,DOWN,5.0,110000.00,3852.90
2025-10-31 14:40:00,2025-10-31 14:40:00,UP,0.0,109750.49,3861.27
2025-11-01 13:55:00,2025-11-01 13:10:00,DOWN,-45.0,110208.97,3881.45
2025-11-01 14:50:00,2025-11-01 14:55:00,UP,5.0,110337.39,3880.26
2025-11-01 15:05:00,2025-11-01 15:30:00,DOWN,25.0,110244.55,3875.56
2025-11-01 15:50:00,2025-11-01 15:40:00,UP,-10.0,110313.40,3876.94
2025-11-02 12:20:00,2025-11-02 13:05:00,UP,45.0,110261.67,3859.65
2025-11-02 12:30:00,2025-11-02 12:40:00,DOWN,10.0,110033.94,3855.79
2025-11-02 14:25:00,2025-11-02 14:20:00,DOWN,-5.0,109960.95,3855.40
2025-11-03 12:05:00,2025-11-03 12:20:00,UP,15.0,106879.65,3648.10
2025-11-03 13:55:00,2025-11-03 13:50:00,DOWN,-5.0,106961.62,3638.36
2025-11-06 12:55:00,2025-11-06 12:40:00,UP,-15.0,101804.01,3310.20
2025-11-06 13:10:00,2025-11-06 15:10:00,DOWN,120.0,101391.34,3317.98
2025-11-08 12:30:00,2025-11-08 12:30:00,UP,0.0,101899.99,3395.16
2025-11-08 14:20:00,2025-11-08 14:20:00,DOWN,0.0,101557.11,3365.35
2025-11-08 15:00:00,2025-11-08 15:25:00,UP,25.0,102020.01,3393.23
2025-11-09 11:50:00,2025-11-09 11:55:00,UP,5.0,103805.16,3528.19
2025-11-10 12:15:00,2025-11-10 12:35:00,UP,20.0,105363.84,3544.58
2025-11-12 15:20:00,2025-11-12 15:20:00,UP,0.0,101571.39,3418.26
2025-11-14 12:40:00,2025-11-14 12:45:00,DOWN,5.0,96341.12,3185.45
