date,ticker,p_1045,p_1115,p_1145,p_1215,ret_control,ret_phantom,ret_post
2025-07-23,AAPL,211.9516,214.7200,214.7900,214.6900,0.013061,0.000326,-0.000466
2025-07-24,AAPL,213.5666,213.1100,213.0700,213.2300,-0.002138,-0.000188,0.000751
2025-07-25,AAPL,214.0153,213.3600,213.4400,213.4600,-0.003062,0.000375,0.000094
2025-07-28,AAPL,213.8406,213.8500,213.8400,213.8300,0.000044,-0.000047,-0.000047
2025-07-29,AAPL,211.8369,213.4100,213.5400,213.4600,0.007426,0.000609,-0.000375
2025-07-30,AAPL,209.7483,210.7900,210.9500,210.9900,0.004966,0.000759,0.000190
2025-07-31,AAPL,208.6716,208.4500,208.8500,208.3100,-0.001062,0.001919,-0.002586
2025-08-01,AAPL,203.1585,210.9100,209.2700,210.3800,0.038155,-0.007776,0.005304
2025-08-04,AAPL,206.7375,203.1500,203.1900,203.7300,-0.017353,0.000197,0.002658
2025-08-05,AAPL,203.6569,202.9800,203.3000,203.2700,-0.003324,0.001577,-0.000148
2025-08-06,AAPL,211.5927,203.2300,203.1200,203.3000,-0.039523,-0.000541,0.000886
2025-08-07,AAPL,217.5843,218.5300,218.6600,219.1800,0.004346,0.000595,0.002378
2025-08-08,AAPL,222.8383,220.8100,220.2400,220.3300,-0.009102,-0.002581,0.000409
2025-08-11,AAPL,226.9260,226.6800,227.0800,226.9700,-0.001084,0.001765,-0.000484
2025-08-12,AAPL,228.1935,226.0200,225.7000,225.4800,-0.009525,-0.001416,-0.000975
2025-08-13,AAPL,232.8397,229.2600,229.6000,229.4200,-0.015374,0.001483,-0.000784
2025-08-14,AAPL,231.6569,232.4300,232.3600,232.0900,0.003337,-0.000301,-0.001162
2025-08-15,AAPL,231.2178,232.6100,232.6000,232.4100,0.006021,-0.000043,-0.000817
2025-08-18,AAPL,230.2995,230.6600,230.7400,230.6100,0.001565,0.000347,-0.000563
2025-08-19,AAPL,230.9483,229.8000,229.9500,229.9900,-0.004972,0.000653,0.000174
2025-08-20,AAPL,226.3571,228.7000,229.0700,229.0100,0.010350,0.001618,-0.000262
2025-08-21,AAPL,224.8799,225.4200,225.2000,224.7600,0.002402,-0.000976,-0.001954
2025-08-22,AAPL,227.6745,225.1300,225.2400,225.1800,-0.011176,0.000489,-0.000266
2025-08-25,AAPL,227.9141,226.7400,226.6900,226.5300,-0.005152,-0.000221,-0.000706
2025-08-26,AAPL,226.4569,226.5800,226.4800,226.5600,0.000544,-0.000441,0.000353
2025-08-27,AAPL,229.7705,229.1000,229.0800,229.1600,-0.002918,-0.000087,0.000349
2025-08-28,AAPL,230.5490,231.1400,231.0100,230.8000,0.002563,-0.000562,-0.000909
2025-08-29,AAPL,232.2559,231.2500,231.1500,231.0800,-0.004331,-0.000432,-0.000303
