date,ticker,datetime,zone,direction,close,roll_high,roll_low,false_breakout
2025-04-30,V,2025-04-30 14:55:00,Zone5_1445-16,DOWN,338.4293,340.8600,339.6602,1
2025-05-01,V,2025-05-01 11:00:00,Zone2_10-12,UP,343.4700,340.7188,338.7668,0
2025-05-01,V,2025-05-01 11:55:00,Zone2_10-12,DOWN,340.5783,343.9600,343.1500,1
2025-05-01,V,2025-05-01 14:30:00,Zone4_1330-1445,DOWN,341.3426,343.4500,342.7200,1
2025-05-02,V,2025-05-02 11:00:00,Zone2_10-12,DOWN,340.7700,346.0923,344.4917,1
2025-05-02,V,2025-05-02 14:50:00,Zone5_1445-16,UP,344.6331,343.0300,342.5800,1
2025-05-05,V,2025-05-05 11:00:00,Zone2_10-12,DOWN,343.9400,348.2461,346.5335,1
2025-05-05,V,2025-05-05 13:15:00,Zone3_12-1330,UP,347.2635,344.1700,343.8300,1
2025-05-05,V,2025-05-05 14:55:00,Zone5_1445-16,UP,347.7747,344.0500,343.6000,1
2025-05-07,V,2025-05-07 14:15:00,Zone4_1330-1445,DOWN,345.3478,347.4273,346.5700,1
2025-05-08,V,2025-05-08 12:35:00,Zone3_12-1330,UP,351.9834,349.9200,349.0000,1
2025-05-09,V,2025-05-09 14:25:00,Zone4_1330-1445,DOWN,348.3500,349.9700,349.4000,1
2025-05-12,V,2025-05-12 11:00:00,Zone2_10-12,UP,355.3500,352.6683,350.1719,1
2025-05-13,V,2025-05-13 11:00:00,Zone2_10-12,DOWN,352.5300,355.5990,354.3114,1
2025-05-13,V,2025-05-13 13:10:00,Zone3_12-1330,UP,354.0728,352.2900,351.8700,1
2025-05-13,V,2025-05-13 14:35:00,Zone4_1330-1445,UP,354.8085,352.5400,352.0600,1
2025-05-15,V,2025-05-15 11:00:00,Zone2_10-12,DOWN,353.5100,360.1278,358.8949,0
2025-05-15,V,2025-05-15 12:05:00,Zone3_12-1330,UP,361.5893,353.6700,353.1900,1
2025-05-15,V,2025-05-15 13:25:00,Zone3_12-1330,UP,359.6903,354.3800,353.8500,1
2025-05-15,V,2025-05-15 14:05:00,Zone4_1330-1445,UP,359.6307,354.4100,353.9400,1
2025-05-16,V,2025-05-16 11:00:00,Zone2_10-12,DOWN,360.0000,362.2356,361.1220,1
2025-05-16,V,2025-05-16 12:05:00,Zone3_12-1330,UP,362.9067,361.4700,361.0000,1
2025-05-19,V,2025-05-19 11:00:00,Zone2_10-12,DOWN,361.0300,365.6757,364.8455,1
2025-05-19,V,2025-05-19 13:15:00,Zone3_12-1330,UP,366.6401,361.6700,361.1900,1
2025-05-20,V,2025-05-20 12:20:00,Zone3_12-1330,DOWN,363.5480,365.7900,365.3900,1
2025-05-20,V,2025-05-20 13:55:00,Zone4_1330-1445,DOWN,364.1272,365.9800,365.3900,1
2025-05-21,V,2025-05-21 11:00:00,Zone2_10-12,UP,364.2100,361.8876,360.6498,0
2025-05-21,V,2025-05-21 13:55:00,Zone4_1330-1445,DOWN,357.7714,363.1200,362.8100,1
2025-05-21,V,2025-05-21 14:50:00,Zone5_1445-16,DOWN,357.2643,363.4000,362.9100,1
2025-05-22,V,2025-05-22 11:00:00,Zone2_10-12,UP,357.5100,355.6288,354.5301,1
2025-05-23,V,2025-05-23 11:00:00,Zone2_10-12,UP,356.1400,352.6112,351.2293,1
2025-05-23,V,2025-05-23 12:45:00,Zone3_12-1330,DOWN,352.8399,356.8400,355.3500,1
2025-05-23,V,2025-05-23 13:20:00,Zone3_12-1330,DOWN,352.7852,356.6000,356.0700,1
2025-05-23,V,2025-05-23 14:30:00,Zone4_1330-1445,DOWN,353.6733,356.5100,355.7500,1
2025-05-28,V,2025-05-28 15:50:00,Zone5_1445-16,DOWN,353.6600,358.9100,357.2900,0
2025-05-29,V,2025-05-29 12:05:00,Zone3_12-1330,DOWN,357.3737,361.1900,360.7100,1
2025-05-30,V,2025-05-30 11:00:00,Zone2_10-12,DOWN,359.9200,362.5040,361.2115,1
2025-06-02,V,2025-06-02 11:00:00,Zone2_10-12,UP,361.5800,360.2968,358.9446,1
2025-06-02,V,2025-06-02 11:30:00,Zone2_10-12,DOWN,359.8991,362.7400,361.4200,1
2025-06-03,V,2025-06-03 15:00:00,Zone5_1445-16,UP,363.9000,362.6000,362.2100,1
2025-06-04,V,2025-06-04 11:00:00,Zone2_10-12,DOWN,363.3300,367.5349,366.5805,1
2025-06-04,V,2025-06-04 14:50:00,Zone5_1445-16,UP,365.9441,364.2500,363.9000,1
2025-06-05,V,2025-06-05 12:20:00,Zone3_12-1330,DOWN,367.8531,369.8600,369.0700,1
2025-06-05,V,2025-06-05 12:55:00,Zone3_12-1330,DOWN,365.9441,369.7500,367.1472,1
2025-06-06,V,2025-06-06 11:00:00,Zone2_10-12,DOWN,365.9400,368.3602,367.7239,0
2025-06-06,V,2025-06-06 14:55:00,Zone5_1445-16,UP,368.1464,366.6700,365.7400,1
2025-06-06,V,2025-06-06 15:35:00,Zone5_1445-16,UP,369.7300,368.2600,364.6600,1
2025-06-09,V,2025-06-09 11:00:00,Zone2_10-12,UP,368.7500,363.1702,359.9687,1
2025-06-09,V,2025-06-09 12:45:00,Zone3_12-1330,DOWN,363.7667,369.0700,368.6100,1
2025-06-09,V,2025-06-09 14:05:00,Zone4_1330-1445,DOWN,364.8256,369.0600,368.5900,1
2025-06-10,V,2025-06-10 11:00:00,Zone2_10-12,DOWN,364.7100,367.0080,365.9740,1
2025-06-10,V,2025-06-10 13:05:00,Zone3_12-1330,UP,367.6841,364.6500,364.1100,0
2025-06-10,V,2025-06-10 14:20:00,Zone4_1330-1445,UP,368.0619,364.6600,363.9600,1
2025-06-11,V,2025-06-11 11:00:00,Zone2_10-12,DOWN,368.4700,372.7548,371.4622,1
2025-06-11,V,2025-06-11 12:50:00,Zone3_12-1330,UP,372.8144,368.3600,368.0100,1
2025-06-12,V,2025-06-12 11:00:00,Zone2_10-12,DOWN,368.2000,371.9494,370.9447,1
2025-06-13,V,2025-06-13 10:00:00,Zone2_10-12,DOWN,347.4610,360.9232,348.9226,0
2025-06-13,V,2025-06-13 11:00:00,Zone2_10-12,UP,365.3800,347.2224,343.0167,0
2025-06-13,V,2025-06-13 12:05:00,Zone3_12-1330,DOWN,351.5076,365.1300,364.1100,1
2025-06-13,V,2025-06-13 12:25:00,Zone3_12-1330,UP,366.7500,365.3900,351.4678,1
2025-06-13,V,2025-06-13 13:10:00,Zone3_12-1330,DOWN,356.8000,364.0900,358.3700,1
2025-06-16,V,2025-06-16 11:00:00,Zone2_10-12,DOWN,352.6200,358.1492,356.6976,0
2025-06-17,V,2025-06-17 11:00:00,Zone2_10-12,DOWN,352.7100,355.1366,354.2915,0
2025-06-17,V,2025-06-17 11:45:00,Zone2_10-12,UP,355.6735,352.7100,351.9600,1
2025-06-17,V,2025-06-17 13:00:00,Zone3_12-1330,UP,357.3936,352.2000,351.6100,1
2025-06-18,V,2025-06-18 11:35:00,Zone2_10-12,DOWN,347.8090,357.3500,356.5700,1
2025-06-18,V,2025-06-18 12:35:00,Zone3_12-1330,DOWN,340.6554,356.8600,356.2400,1
2025-06-20,V,2025-06-20 11:00:00,Zone2_10-12,UP,339.0400,337.8864,335.4505,0
2025-06-23,V,2025-06-23 11:00:00,Zone2_10-12,DOWN,336.0700,338.9701,337.4091,0
2025-06-24,V,2025-06-24 11:00:00,Zone2_10-12,DOWN,344.8600,349.0966,346.4966,0
2025-06-24,V,2025-06-24 13:00:00,Zone3_12-1330,UP,346.7000,345.5500,344.9900,1
