variant,ticker,cross_date,cross_half,entry_dt,entry_price,exit_dt,exit_price,exit_reason,one_r,pnl_r
NO_CS,TSM,2025-12-24,AM,2025-12-24 13:30:00,297.4100,2025-12-24 13:50:00,298.2600,chandelier_stop,0.2600,3.269
NO_CS,TXN,2025-02-18,AM,2025-02-18 13:30:00,180.4487,2025-02-18 13:40:00,180.4972,disaster_stop,0.1211,0.400
NO_CS,TXN,2025-03-25,PM,2025-03-26 09:30:00,178.5878,2025-03-26 09:35:00,179.0288,chandelier_stop,0.2520,1.750
NO_CS,TXN,2025-04-24,PM,2025-04-25 09:30:00,156.8580,2025-04-25 09:55:00,156.1989,disaster_stop,0.6687,-0.986
NO_CS,TXN,2025-08-13,PM,2025-08-14 09:30:00,188.2730,2025-08-14 09:45:00,187.6181,disaster_stop,0.5023,-1.304
NO_CS,TXN,2025-09-26,PM,2025-09-29 09:30:00,182.6498,2025-09-29 12:05:00,181.4754,disaster_stop,1.1818,-0.994
NO_CS,TXN,2025-11-26,AM,2025-11-26 13:30:00,164.8540,2025-11-26 13:40:00,160.9800,disaster_stop,0.2683,-14.439
NO_CS,TXN,2026-01-06,AM,2026-01-06 13:30:00,177.7600,2026-01-06 13:50:00,177.7900,chandelier_stop,0.0500,0.600
NO_CS,V,2025-02-04,AM,2025-02-04 13:30:00,341.8600,2025-02-04 15:00:00,342.4200,chandelier_stop,0.3700,1.514
NO_CS,V,2025-03-25,PM,2025-03-26 09:30:00,343.4321,2025-03-26 13:15:00,342.2200,disaster_stop,1.2321,-0.984
NO_CS,V,2025-04-15,AM,2025-04-15 13:30:00,334.7269,2025-04-15 13:50:00,333.9200,disaster_stop,0.6169,-1.308
NO_CS,V,2025-04-23,PM,2025-04-24 09:30:00,330.8160,2025-04-24 10:20:00,331.4017,chandelier_stop,1.3003,0.450
NO_CS,V,2025-07-02,PM,2025-07-03 09:30:00,352.5516,2025-07-03 11:05:00,352.2600,chandelier_stop,0.9744,-0.299
NO_CS,V,2025-07-23,PM,2025-07-24 09:30:00,352.7803,2025-07-24 15:50:00,352.9500,eod_1550,2.7503,0.062
NO_CS,V,2025-08-15,PM,2025-08-18 09:30:00,342.4624,2025-08-18 11:05:00,341.9644,disaster_stop,0.7470,-0.667
NO_CS,V,2025-10-01,AM,2025-10-01 13:30:00,338.2100,2025-10-01 13:35:00,338.4700,chandelier_stop,0.1900,1.368
NO_CS,V,2025-10-15,PM,2025-10-16 09:30:00,343.6177,2025-10-16 09:55:00,341.4869,disaster_stop,1.9820,-1.075
NO_CS,V,2025-10-22,PM,2025-10-23 09:30:00,344.8129,2025-10-23 09:45:00,344.4145,disaster_stop,0.5279,-0.755
NO_CS,V,2025-11-26,PM,2025-11-28 09:30:00,332.7506,2025-11-28 15:50:00,333.2000,eod_1550,1.4270,0.315
NO_CS,V,2025-12-08,PM,2025-12-09 09:30:00,325.9445,2025-12-09 15:50:00,326.3200,eod_1550,1.6297,0.230
NO_CS,V,2025-12-12,AM,2025-12-12 13:30:00,347.1400,2025-12-12 14:10:00,346.6900,disaster_stop,0.1900,-2.368
NO_CS,V,2026-02-05,PM,2026-02-06 09:30:00,329.8800,2026-02-06 11:00:00,329.3300,disaster_stop,1.3000,-0.423
NO_CS,V,2026-03-04,AM,2026-03-04 13:30:00,321.5000,2026-03-04 13:40:00,321.0000,disaster_stop,0.4100,-1.220
+0.25R,AAPL,2025-02-07,PM,2025-02-10 09:30:00,228.5879,2025-02-10 10:00:00,228.1796,disaster_stop,0.3784,-1.079
+0.25R,AAPL,2025-02-13,AM,2025-02-13 13:30:00,235.3800,2025-02-13 13:40:00,235.2800,disaster_stop,0.0500,-2.000
+0.25R,AAPL,2025-03-26,PM,2025-03-27 09:30:00,220.4429,2025-03-27 10:00:00,220.4130,clock_stop,0.4232,-0.071
+0.25R,AAPL,2025-04-02,AM,2025-04-02 13:30:00,221.0300,2025-04-02 14:45:00,221.0500,chandelier_stop,0.1500,0.133
+0.25R,AAPL,2025-04-23,PM,2025-04-24 09:30:00,204.0134,2025-04-24 10:00:00,204.9146,clock_stop,8.6934,0.104
+0.25R,AAPL,2025-05-12,PM,2025-05-13 09:30:00,209.7882,2025-05-13 09:40:00,209.2000,disaster_stop,0.5384,-1.092
+0.25R,AAPL,2025-06-09,AM,2025-06-09 13:30:00,204.0000,2025-06-09 13:35:00,204.0100,chandelier_stop,0.1000,0.100
+0.25R,AAPL,2025-06-11,AM,2025-06-11 13:30:00,202.1100,2025-06-11 14:00:00,202.0300,clock_stop,0.1100,-0.727
+0.25R,AAPL,2025-06-24,AM,2025-06-24 13:30:00,203.7100,2025-06-24 13:40:00,203.2900,disaster_stop,0.2600,-1.615
+0.25R,AAPL,2025-08-07,PM,2025-08-08 09:30:00,220.1565,2025-08-08 11:05:00,220.6400,chandelier_stop,2.0765,0.233
+0.25R,AAPL,2025-09-15,PM,2025-09-16 09:30:00,236.7222,2025-09-16 10:30:00,239.0727,chandelier_stop,0.4840,4.856
+0.25R,AAPL,2025-10-21,AM,2025-10-21 13:30:00,260.6400,2025-10-21 14:00:00,260.8400,chandelier_stop,0.3700,0.541
+0.25R,AAPL,2025-11-24,PM,2025-11-25 09:30:00,275.1200,2025-11-25 11:05:00,274.8700,chandelier_stop,3.6200,-0.069
+0.25R,AAPL,2026-01-29,AM,2026-01-29 13:30:00,257.4100,2026-01-29 13:40:00,257.5300,chandelier_stop,0.1100,1.091
+0.25R,AAPL,2026-02-25,AM,2026-02-25 13:30:00,271.4100,2026-02-25 14:00:00,271.3500,clock_stop,0.1200,-0.500
+0.25R,AMD,2025-02-04,AM,2025-02-04 13:30:00,115.9200,2025-02-04 14:00:00,115.6400,clock_stop,0.2200,-1.273
+0.25R,AMD,2025-02-18,AM,2025-02-18 13:30:00,113.8300,2025-02-18 13:45:00,113.7600,disaster_stop,0.0300,-2.333
+0.25R,AMD,2025-03-18,PM,2025-03-19 09:30:00,104.4200,2025-03-19 09:40:00,102.4750,disaster_stop,1.4800,-1.314
+0.25R,AMD,2025-04-25,PM,2025-04-28 09:30:00,95.5750,2025-04-28 15:50:00,95.9300,eod_1550,2.3550,0.151
+0.25R,AMD,2025-09-24,AM,2025-09-24 13:30:00,161.8700,2025-09-24 14:45:00,161.7300,chandelier_stop,0.1900,-0.737
+0.25R,AMD,2025-11-13,AM,2025-11-13 13:30:00,256.7800,2025-11-13 13:50:00,256.4100,disaster_stop,0.3500,-1.057
+0.25R,AMD,2025-12-10,AM,2025-12-10 13:30:00,221.8200,2025-12-10 13:35:00,221.8600,chandelier_stop,0.1300,0.308
+0.25R,AMD,2025-12-26,AM,2025-12-26 13:30:00,215.4400,2025-12-26 13:35:00,215.4700,chandelier_stop,0.0400,0.750
+0.25R,AMD,2026-01-15,AM,2026-01-15 13:30:00,228.4200,2026-01-15 14:00:00,228.0200,clock_stop,0.0800,-5.000
+0.25R,AMD,2026-02-26,AM,2026-02-26 13:30:00,209.2600,2026-02-26 13:45:00,208.9900,disaster_stop,0.0100,-27.000
+0.25R,AMZN,2025-02-03,PM,2025-02-04 09:30:00,239.0100,2025-02-04 15:50:00,238.4800,eod_1550,5.0000,-0.106
+0.25R,AMZN,2025-03-25,PM,2025-03-26 09:30:00,206.0000,2025-03-26 10:00:00,203.0100,clock_stop,2.3000,-1.300
+0.25R,AMZN,2025-04-14,PM,2025-04-15 09:30:00,181.6600,2025-04-15 09:45:00,181.2500,disaster_stop,0.2600,-1.577
+0.25R,AMZN,2025-04-25,AM,2025-04-25 13:30:00,188.4500,2025-04-25 13:50:00,187.2400,disaster_stop,1.0000,-1.210
+0.25R,AMZN,2025-06-25,AM,2025-06-25 13:30:00,214.1100,2025-06-25 13:40:00,213.7200,disaster_stop,0.1100,-3.545
+0.25R,AMZN,2025-08-14,PM,2025-08-15 09:30:00,230.8800,2025-08-15 15:50:00,232.5600,eod_1550,5.3800,0.312
+0.25R,AMZN,2025-08-25,AM,2025-08-25 13:30:00,227.4500,2025-08-25 13:45:00,227.3900,chandelier_stop,0.1600,-0.375
+0.25R,AMZN,2025-09-04,AM,2025-09-04 13:30:00,229.4900,2025-09-04 14:40:00,229.7500,chandelier_stop,0.1600,1.625
+0.25R,AMZN,2025-09-16,AM,2025-09-16 13:30:00,233.4800,2025-09-16 13:40:00,233.1600,disaster_stop,0.2300,-1.391
+0.25R,AMZN,2025-10-10,AM,2025-10-10 13:30:00,226.5500,2025-10-10 13:35:00,226.6000,chandelier_stop,0.0500,1.000
+0.25R,AMZN,2025-10-24,AM,2025-10-24 13:30:00,220.5300,2025-10-24 15:30:00,220.4300,chandelier_stop,0.2500,-0.400
+0.25R,AMZN,2025-12-01,PM,2025-12-02 09:30:00,234.7200,2025-12-02 10:00:00,235.2400,clock_stop,3.5400,0.147
+0.25R,AMZN,2025-12-24,AM,2025-12-24 13:30:00,232.3700,2025-12-24 14:00:00,232.3700,clock_stop,0.1300,0.000
+0.25R,AMZN,2026-01-06,PM,2026-01-07 09:30:00,241.4200,2026-01-07 10:00:00,242.7982,clock_stop,8.9200,0.155
+0.25R,AMZN,2026-01-27,AM,2026-01-27 13:30:00,239.5500,2026-01-27 13:50:00,239.3600,disaster_stop,0.2000,-0.950
