date,half,ticker,direction,close,ema9,ema21
2025-11-14,PM,AMD,DOWN,240.0200,246.5159,246.8741
2025-12-10,AM,AMD,UP,221.8900,219.8115,219.7089
2025-12-11,PM,AMD,DOWN,218.0800,219.4606,219.5988
2025-12-26,AM,AMD,UP,215.4200,213.4601,213.2554
2026-01-08,PM,AMD,DOWN,210.8800,215.4581,216.0398
2026-01-15,AM,AMD,UP,228.4500,216.0687,214.6563
2026-02-04,AM,AMD,DOWN,220.6900,241.7445,242.5707
2026-02-26,AM,AMD,UP,209.3400,207.8787,207.8056
2026-02-27,AM,AMD,DOWN,202.8100,206.8987,207.3750
2026-03-11,PM,AMD,UP,203.6000,199.3188,199.1673
2026-03-16,AM,AMD,DOWN,194.2700,198.9802,199.2403
2025-02-03,PM,AMZN,UP,234.4000,233.8000,233.7182
2025-02-10,AM,AMZN,DOWN,230.7500,234.3650,234.6709
2025-03-25,PM,AMZN,UP,203.7500,199.1704,198.6299
2025-03-29,AM,AMZN,DOWN,192.6500,199.1164,199.3316
2025-04-14,PM,AMZN,UP,187.4800,183.2227,183.0043
2025-04-15,PM,AMZN,DOWN,181.6300,182.8253,182.8567
2025-04-25,AM,AMZN,UP,188.4000,179.9711,179.1779
2025-06-23,PM,AMZN,DOWN,209.8500,211.8342,212.0343
2025-06-25,AM,AMZN,UP,214.0100,212.2464,212.1685
2025-08-01,PM,AMZN,DOWN,216.1100,227.4863,228.6144
2025-08-14,PM,AMZN,UP,225.9100,223.2155,222.8775
2025-08-22,AM,AMZN,DOWN,222.7200,225.6459,225.8101
2025-08-25,AM,AMZN,UP,227.4600,226.1654,225.9898
2025-09-03,AM,AMZN,DOWN,225.8500,227.2490,227.3087
2025-09-04,AM,AMZN,UP,229.4700,227.3878,227.3424
2025-09-15,PM,AMZN,DOWN,230.4400,231.3382,231.3657
2025-09-16,AM,AMZN,UP,233.4300,231.7566,231.5534
2025-09-22,PM,AMZN,DOWN,230.8600,231.8220,231.9165
2025-10-10,AM,AMZN,UP,226.5500,223.5630,223.2119
2025-10-11,AM,AMZN,DOWN,215.1000,222.4059,222.7801
2025-10-24,AM,AMZN,UP,220.4600,218.4027,218.2614
2025-11-14,PM,AMZN,DOWN,233.0900,241.9761,242.4873
2025-12-01,PM,AMZN,UP,233.3600,230.2469,230.1797
2025-12-06,AM,AMZN,DOWN,229.7500,231.4492,231.4502
2025-12-24,AM,AMZN,UP,232.4000,228.5558,228.0576
2026-01-05,AM,AMZN,DOWN,227.0400,230.1544,230.2654
