date,ticker,am_return,pm_return,is_stress
2025-04-30,META,0.000073,-0.009343,True
2025-05-01,MARA,-0.017947,0.014620,False
2025-05-01,IBIT,-0.015276,0.011450,False
2025-05-02,AVGO,-0.025214,0.012907,False
2025-05-02,MU,-0.019377,0.009501,False
2025-05-05,AMD,-0.010404,0.003470,False
2025-05-05,MSFT,-0.004722,0.000327,False
2025-05-06,MSFT,-0.014250,0.001282,False
2025-05-06,GOOGL,-0.011148,-0.005298,False
2025-05-07,BIDU,-0.036248,0.039627,False
2025-05-07,MSFT,-0.010829,-0.002134,False
2025-05-08,COST,-0.002082,0.004041,False
2025-05-08,TXN,-0.000713,0.007176,False
2025-05-09,C,-0.008024,0.006124,False
2025-05-09,BA,-0.008008,0.007292,False
2025-05-12,TXN,-0.029368,0.015841,False
2025-05-12,AMD,-0.017615,0.010418,False
2025-05-13,PLTR,-0.024433,0.021968,False
2025-05-13,COIN,-0.023693,0.012289,False
2025-05-14,AMD,-0.047317,0.027330,False
2025-05-14,MARA,-0.014076,0.014277,False
2025-05-15,NVDA,-0.026448,0.020204,True
2025-05-15,TSLA,-0.023708,0.015785,True
2025-05-16,COIN,-0.014394,0.017631,False
2025-05-16,AMD,-0.012111,0.011660,False
2025-05-19,SNOW,-0.016931,0.008164,True
2025-05-19,NVDA,-0.015155,0.012811,True
2025-05-20,MSFT,-0.010546,0.001211,False
2025-05-20,SNOW,-0.007411,0.002635,False
2025-05-21,BIDU,-0.029137,0.041110,False
2025-05-21,MSFT,-0.010277,-0.000685,False
2025-05-22,TXN,-0.023179,0.029714,False
2025-05-22,MARA,-0.013781,0.007898,False
2025-05-23,MSFT,-0.005447,-0.007649,True
2025-05-23,META,0.000346,-0.022136,True
2025-05-27,IBIT,-0.007161,0.000481,False
2025-05-27,TSM,-0.003103,0.001043,False
2025-05-28,PLTR,-0.014328,0.010943,False
2025-05-28,GS,-0.011132,0.007845,False
2025-05-29,TXN,-0.015034,0.017100,False
2025-05-29,MSFT,-0.006645,-0.001329,False
2025-05-30,PLTR,-0.010767,0.006383,True
2025-05-30,MSFT,-0.005786,0.002723,True
2025-06-02,BA,-0.024410,0.020357,False
2025-06-02,PLTR,-0.016396,0.011525,False
2025-06-03,PLTR,-0.011723,0.009277,False
2025-06-03,MU,-0.007969,0.006367,False
2025-06-04,GS,-0.008390,-0.000683,False
2025-06-04,BA,-0.006845,0.003282,False
2025-06-05,MU,-0.016040,0.004023,False
2025-06-05,COIN,-0.015859,0.002102,False
2025-06-06,AMD,-0.014403,0.008621,False
2025-06-06,MU,-0.012220,0.009573,False
2025-06-09,AMD,-0.016781,0.012118,False
2025-06-09,IBIT,-0.014886,0.016938,False
2025-06-10,BA,-0.008365,0.010382,False
2025-06-10,COIN,-0.007475,0.006655,False
2025-06-11,PLTR,-0.012395,0.011266,False
2025-06-11,AVGO,-0.010052,0.008085,False
2025-06-12,MSFT,-0.007507,0.007223,True
2025-06-12,PLTR,-0.005865,-0.000074,True
2025-06-13,TSLA,-0.021378,0.014338,True
2025-06-13,AMZN,-0.021334,0.009747,True
2025-06-16,META,-0.013525,-0.001379,False
2025-06-16,MU,-0.005011,0.007949,False
2025-06-17,AMD,-0.008833,0.022240,False
2025-06-17,MSFT,-0.008339,0.001017,False
2025-06-18,AVGO,-0.003005,-0.003579,False
2025-06-18,MSFT,-0.001342,-0.002205,False
2025-06-20,AMD,-0.017984,0.012472,False
2025-06-20,AVGO,-0.013197,0.007672,False
2025-06-23,AMD,-0.017552,0.018490,False
2025-06-23,COST,-0.001173,-0.000542,False
2025-06-24,V,-0.012845,0.002145,False
2025-06-24,SNOW,-0.009044,0.006391,False
2025-06-25,COIN,-0.040891,0.037155,False
2025-06-25,MARA,-0.025374,0.012684,False
2025-06-26,COST,-0.007902,0.007223,False
2025-06-26,PLTR,-0.006144,0.001528,False
2025-06-27,MSFT,-0.005288,-0.000020,False
2025-06-27,BA,-0.003900,0.001958,False
2025-06-30,GS,-0.007507,0.008481,False
2025-06-30,JPM,-0.007312,0.000387,False
2025-07-01,TSLA,-0.023870,-0.012622,False
2025-07-01,AAPL,-0.006478,0.008940,False
2025-07-02,MSFT,-0.006307,-0.004954,False
2025-07-02,V,-0.006063,0.009834,False
2025-07-03,PLTR,-0.010345,0.006919,False
2025-07-03,MSFT,-0.006228,-0.000410,False
2025-07-07,PLTR,-0.013916,0.012603,False
2025-07-07,SNOW,-0.008219,0.004053,False
2025-07-08,MARA,-0.013442,0.004147,False
2025-07-08,COIN,-0.011137,0.004628,False
2025-07-09,MARA,-0.024757,0.016543,False
2025-07-09,JPM,-0.013911,0.008162,False
2025-07-10,AMD,-0.020629,0.016423,False
2025-07-10,MU,-0.010112,-0.000244,False
2025-07-11,MSFT,-0.009642,-0.000080,False
2025-07-11,PLTR,-0.009148,0.000284,False
2025-07-14,GOOGL,-0.009887,0.002571,False
2025-07-14,GS,-0.007164,0.003295,False
2025-07-15,AMD,-0.022309,0.023151,False
2025-07-15,BIDU,-0.019358,0.016920,False
2025-07-16,C,-0.026126,0.024198,False
2025-07-16,MARA,-0.022063,0.019412,False
2025-07-17,MSFT,-0.005346,0.000856,False
2025-07-17,GOOGL,-0.003990,-0.004280,False
2025-07-18,BABA,-0.029000,0.024945,False
2025-07-18,BIDU,-0.009509,0.006857,False
2025-07-21,AAPL,-0.001433,0.005257,False
2025-07-21,NVDA,-0.000931,0.000753,False
2025-07-22,TXN,-0.013976,0.004654,False
2025-07-22,COIN,-0.013529,0.014174,False
2025-07-23,TXN,-0.027667,0.025212,False
2025-07-23,TSM,-0.007124,0.000595,False
2025-07-24,TSLA,-0.016170,-0.001057,False
2025-07-24,COIN,-0.014150,0.007252,False
2025-07-25,MARA,-0.033701,0.019844,False
2025-07-25,BIDU,-0.013005,-0.001661,False
2025-07-28,TXN,-0.008271,0.005546,False
2025-07-28,AMZN,-0.002571,0.003136,False
2025-07-29,C,-0.011771,0.011357,False
2025-07-29,BA,-0.011691,0.011660,False
2025-07-30,COIN,-0.024860,0.009265,False
2025-07-30,V,-0.020042,-0.004494,False
2025-07-31,TSM,-0.010087,0.007393,False
2025-07-31,MSFT,-0.007873,0.000506,False
2025-08-01,AMZN,-0.016004,0.003717,True
2025-08-01,GOOGL,-0.014957,0.000213,True
2025-08-04,TSLA,-0.011971,0.014114,False
2025-08-04,BIDU,-0.006514,0.010262,False
2025-08-05,PLTR,-0.018509,0.018324,False
2025-08-05,MU,-0.009163,0.005731,False
2025-08-06,AAPL,-0.008696,0.010530,False
2025-08-06,MARA,-0.003824,0.001280,False
2025-08-07,MARA,-0.017901,0.019485,False
2025-08-07,SNOW,-0.016791,0.022896,False
2025-08-08,META,-0.005959,0.003004,False
2025-08-08,PLTR,-0.005819,0.002505,False
2025-08-11,MU,-0.048018,0.048212,False
2025-08-11,NVDA,-0.009008,0.007816,False
2025-08-12,COIN,-0.022104,0.014655,False
2025-08-12,MU,-0.013125,0.009273,False
2025-08-13,AMD,-0.020621,0.018161,False
2025-08-13,COIN,-0.011304,0.005824,False
2025-08-14,AAPL,-0.005557,0.000646,True
2025-08-14,MSFT,-0.003762,-0.002408,True
2025-08-15,GS,-0.020786,0.022180,False
2025-08-15,AAPL,-0.005709,0.000990,False
2025-08-18,NVDA,-0.005648,0.001448,False
2025-08-18,MU,-0.005431,-0.000746,False
2025-08-19,BIDU,-0.012648,0.011412,False
2025-08-19,GS,-0.009723,0.013059,False
2025-08-20,SNOW,-0.028794,0.027511,True
2025-08-20,C,-0.011868,0.010988,True
2025-08-21,BA,-0.007529,0.014551,False
2025-08-21,C,-0.006516,0.004247,False
2025-08-22,MU,-0.010994,0.008259,False
2025-08-22,NVDA,-0.009031,-0.003518,False
2025-08-25,SNOW,-0.010050,0.000914,False
2025-08-25,MARA,-0.007889,-0.003817,False
2025-08-26,AMD,-0.036288,0.032671,False
2025-08-26,BABA,-0.008340,0.010463,False
2025-08-27,IBIT,-0.005297,0.003497,False
2025-08-27,MSFT,-0.005248,0.001918,False
2025-08-28,AMD,-0.013828,0.009207,False
2025-08-28,MU,-0.010280,0.012081,False
2025-08-29,BABA,-0.067427,0.043265,False
2025-08-29,MU,-0.018021,0.003742,False
2025-09-02,COST,0.000186,0.002838,True
2025-09-02,JPM,0.000717,-0.002251,True
2025-09-03,AVGO,-0.015177,0.005664,False
2025-09-03,C,-0.011276,0.006786,False
2025-09-04,BA,-0.010128,0.008801,False
2025-09-04,GOOGL,-0.007965,-0.002836,False
2025-09-05,AVGO,-0.061827,0.043690,False
2025-09-05,V,-0.024902,0.022528,False
2025-09-08,AVGO,-0.021358,0.010353,False
2025-09-08,TXN,-0.019957,0.019984,False
2025-09-09,MSFT,-0.003383,0.001748,False
2025-09-09,AMD,-0.002632,0.000726,False
2025-09-10,AVGO,-0.020307,0.005770,False
2025-09-10,MU,-0.020158,0.012841,False
2025-09-11,MU,-0.057206,0.042550,False
2025-09-11,BABA,-0.006481,0.001971,False
2025-09-12,AVGO,-0.012696,0.007143,False
2025-09-12,MU,-0.006885,0.019365,False
2025-09-15,TSLA,-0.055822,0.072264,False
2025-09-15,NVDA,-0.011786,0.010542,False
2025-09-16,COIN,-0.010143,-0.001855,False
2025-09-16,GS,-0.009271,0.005945,False
2025-09-17,TSM,-0.012556,-0.000384,False
2025-09-17,NVDA,-0.012493,0.001271,False
2025-09-18,TXN,-0.007612,0.005417,False
2025-09-18,IBIT,-0.001798,-0.001651,False
2025-09-19,TXN,-0.020209,0.013965,False
2025-09-19,BIDU,-0.011772,0.006659,False
2025-09-22,AMD,-0.011752,0.011120,False
2025-09-22,MU,-0.010781,0.000000,False
2025-09-23,TSM,-0.013450,0.013496,False
2025-09-23,MARA,-0.013412,0.003806,False
2025-09-24,C,-0.011268,0.009565,False
2025-09-24,SNOW,-0.010802,0.001426,False
2025-09-25,AAPL,-0.006337,0.000956,True
2025-09-25,GOOGL,-0.005578,-0.009064,True
2025-09-26,BA,-0.039980,0.034137,False
2025-09-26,TSLA,-0.019501,0.032763,False
2025-09-29,C,-0.010418,0.009577,False
2025-09-29,TXN,-0.004583,0.009445,False
2025-09-30,GS,-0.016735,0.019542,False
2025-09-30,PLTR,-0.006425,-0.001912,False
2025-10-01,MARA,-0.021998,0.011924,False
2025-10-01,COIN,-0.012731,0.018325,False
2025-10-02,AVGO,-0.028101,0.020848,False
2025-10-02,GS,-0.017569,0.013530,False
2025-10-03,MARA,-0.008933,0.004772,False
2025-10-03,COIN,-0.004580,0.004305,False
2025-10-06,AMD,-0.266047,0.337605,False
2025-10-06,TSM,-0.019108,0.016388,False
2025-10-07,AMD,-0.027042,0.013921,False
2025-10-07,MARA,-0.021739,0.015309,False
2025-10-08,SNOW,-0.007907,-0.002952,False
2025-10-08,MU,-0.003897,-0.007280,False
2025-10-09,MARA,-0.020659,0.017077,False
2025-10-09,IBIT,-0.018674,0.015543,False
2025-10-10,MARA,-0.014451,0.010264,False
2025-10-10,AAPL,-0.004415,-0.000434,False
2025-10-13,AVGO,-0.047060,0.000060,True
2025-10-13,TSM,-0.013202,0.000000,True
2025-10-14,AMD,-0.035128,0.049078,True
2025-10-14,TSLA,-0.021681,0.000541,True
