ticker,date,direction,adx,pdi,mdi,fwd1_ret,fwd3_ret
AVGO,2025-09-04,UP,12.18,22.66,19.77,0.152600,0.146826
AVGO,2025-09-24,DOWN,29.64,22.95,16.52,-0.013290,-0.003108
AVGO,2025-10-09,UP,20.04,23.58,18.10,0.007877,0.011540
AVGO,2025-10-23,DOWN,15.14,14.78,21.93,0.043652,0.071285
AVGO,2025-10-24,UP,14.52,17.75,20.21,0.021748,0.050208
AVGO,2025-11-06,DOWN,14.75,18.23,23.17,-0.028191,-0.018131
AVGO,2025-11-06,UP,14.75,18.23,23.17,-0.028191,-0.018131
AVGO,2025-11-07,DOWN,15.27,16.56,25.87,0.017547,0.007992
AVGO,2025-11-20,UP,18.21,23.20,19.56,-0.051184,0.063300
AVGO,2025-11-21,DOWN,17.76,20.02,25.44,-0.008723,0.091133
AVGO,2025-11-25,UP,17.19,28.91,18.91,-0.026347,0.013315
AVGO,2025-12-15,DOWN,16.57,19.39,29.79,-0.063160,-0.068484
AVGO,2026-01-14,UP,14.09,22.73,28.32,-0.003564,-0.023236
AVGO,2026-01-20,DOWN,13.32,20.77,26.34,-0.025773,-0.071804
AVGO,2026-02-10,UP,16.74,19.69,17.45,-0.005528,-0.046903
AVGO,2026-02-17,DOWN,15.07,15.02,23.74,0.031767,0.038246
AVGO,2026-03-06,UP,14.19,24.06,14.53,0.016313,0.064670
AVGO,2026-03-17,DOWN,12.60,17.06,22.13,-0.019119,
BA,2025-03-20,UP,23.29,24.25,19.24,-0.004519,0.052430
BA,2025-04-02,DOWN,23.20,15.63,28.47,-0.042853,-0.202397
BA,2025-04-21,UP,26.99,20.46,26.85,0.007223,0.080397
BA,2025-06-13,DOWN,16.31,20.19,28.02,-0.003776,-0.007751
BA,2025-06-30,UP,15.44,27.35,18.32,-0.028571,-0.012079
BA,2025-07-31,DOWN,10.83,22.61,23.95,-0.032401,-0.009854
BA,2025-08-11,UP,9.33,23.38,21.00,-0.009500,0.007757
BA,2025-08-20,DOWN,10.35,19.42,19.81,0.024053,0.023163
BA,2025-08-27,UP,13.66,24.07,13.03,-0.001184,-0.022875
BA,2025-09-09,DOWN,12.86,16.21,15.47,-0.005971,-0.043315
BA,2025-09-29,UP,18.62,19.18,19.04,-0.026670,-0.033617
BA,2025-09-30,DOWN,17.91,17.14,20.41,-0.012664,-0.002118
BA,2025-10-07,UP,14.88,21.47,15.18,0.005060,-0.019425
BA,2025-10-13,DOWN,15.01,17.31,15.81,0.000094,0.003513
BA,2025-10-24,UP,11.46,20.07,14.05,0.022182,0.011480
BA,2025-10-30,DOWN,14.16,15.09,28.63,-0.045944,-0.041392
BA,2025-12-02,UP,35.06,24.65,17.81,0.039848,0.022843
BA,2026-01-30,DOWN,42.97,16.97,18.83,0.004464,0.002747
BA,2026-02-09,UP,32.60,22.66,14.82,0.008447,-0.019984
BA,2026-02-20,DOWN,21.79,13.72,19.85,-0.008125,-0.017746
BABA,2025-03-21,DOWN,47.61,24.44,16.99,0.014609,-0.008402
BABA,2025-04-23,UP,31.23,23.95,24.68,-0.013117,-0.004570
BABA,2025-05-19,DOWN,19.67,23.21,24.47,0.026670,0.007151
BABA,2025-06-09,UP,12.67,25.25,22.96,-0.003610,-0.014271
BABA,2025-06-13,DOWN,11.23,22.52,27.81,0.009224,-0.002021
BABA,2025-07-15,UP,17.34,30.76,23.83,0.008879,0.054231
BABA,2025-08-04,DOWN,22.69,23.86,19.59,-0.001438,0.025461
BABA,2025-08-07,UP,21.81,27.07,16.21,-0.018560,-0.021447
BABA,2025-08-21,DOWN,18.95,23.09,21.47,0.022598,0.062209
BABA,2025-08-25,UP,19.74,33.11,16.75,-0.001512,-0.049169
BABA,2025-10-10,DOWN,48.29,26.31,21.22,-0.019490,-0.018551
BABA,2025-10-24,UP,26.10,24.20,20.15,0.033257,0.037975
BABA,2025-11-03,DOWN,21.00,22.42,24.77,-0.034015,0.007196
BABA,2025-11-25,UP,15.71,27.89,23.85,-0.044700,-0.064613
BABA,2025-11-26,DOWN,15.14,25.34,21.67,-0.009383,0.009887
BABA,2025-12-02,UP,13.68,26.61,19.82,-0.020719,-0.014287
BABA,2025-12-03,DOWN,13.30,25.31,21.38,-0.001389,-0.000442
BABA,2026-01-03,UP,17.62,26.71,19.30,-0.004808,-0.047115
BABA,2026-01-08,DOWN,15.32,22.66,26.81,0.032935,0.076666
BABA,2026-01-12,UP,15.66,36.60,18.67,0.043536,0.074824
BABA,2026-02-03,DOWN,24.36,23.14,22.12,-0.008981,-0.023422
BABA,2026-03-18,UP,37.32,18.79,25.67,,
BIDU,2025-03-31,DOWN,19.29,24.62,25.19,-0.002294,-0.026868
BIDU,2025-04-23,UP,21.99,22.31,23.81,0.001490,0.030609
BIDU,2025-05-09,DOWN,12.47,19.51,22.61,0.030541,0.065299
BIDU,2025-05-12,UP,12.23,24.44,20.35,-0.003207,-0.000774
BIDU,2025-05-22,DOWN,10.27,24.66,22.92,-0.011094,-0.011094
BIDU,2025-06-09,UP,10.27,30.83,17.09,0.004117,0.004060
BIDU,2025-06-18,DOWN,14.26,25.02,21.40,0.001412,0.003647
BIDU,2025-06-26,UP,12.83,25.38,18.65,-0.013349,-0.017031
BIDU,2025-06-30,DOWN,11.49,22.96,22.04,-0.003848,0.003032
BIDU,2025-07-03,UP,10.54,21.70,18.61,0.012905,0.040228
BIDU,2025-07-30,DOWN,25.78,24.00,18.34,-0.009524,0.015491
BIDU,2025-08-13,UP,18.76,25.60,16.17,-0.012556,0.003444
BIDU,2025-08-21,DOWN,17.89,19.83,22.22,0.016934,0.061974
BIDU,2025-08-22,UP,17.18,23.75,20.20,0.045310,0.020163
BIDU,2025-10-10,DOWN,54.68,26.24,16.24,-0.022532,-0.043902
BIDU,2025-10-28,UP,27.54,24.64,20.25,0.012992,-0.048268
BIDU,2025-10-31,DOWN,23.45,20.91,24.59,0.006950,0.037726
BIDU,2025-11-06,UP,20.73,28.23,18.04,-0.008193,0.047818
BIDU,2025-11-14,DOWN,19.78,19.96,23.03,-0.013575,-0.033390
BIDU,2025-12-05,UP,16.13,27.41,18.75,0.029604,0.003342
BIDU,2025-12-17,DOWN,15.75,25.34,20.23,-0.007504,0.013051
BIDU,2025-12-22,UP,15.98,25.78,17.33,-0.005153,-0.003865
BIDU,2025-12-29,DOWN,16.26,23.07,17.99,0.086055,0.179784
BIDU,2025-12-30,UP,17.66,31.34,14.80,0.003383,0.096001
BIDU,2026-02-02,DOWN,37.12,25.10,19.70,-0.035134,-0.049707
BIDU,2026-03-16,UP,43.11,16.46,30.29,-0.030193,
BIDU,2026-03-17,DOWN,42.55,15.27,31.92,,
C,2025-03-24,UP,23.32,19.32,19.70,0.014992,-0.001821
C,2025-03-31,DOWN,21.48,14.03,25.66,0.023187,-0.019025
C,2025-04-23,UP,31.54,44.40,13.04,-0.006921,0.027684
C,2025-08-05,DOWN,45.09,20.00,25.87,-0.001976,-0.003512
C,2025-08-12,UP,33.74,21.64,17.98,0.035053,0.029719
C,2025-08-21,DOWN,24.09,17.66,21.83,0.003507,0.023603
C,2025-08-25,UP,21.59,20.79,18.46,-0.003297,0.023503
C,2025-10-02,DOWN,26.38,18.40,22.28,-0.013584,-0.007456
C,2025-10-16,UP,17.51,21.71,20.47,-0.036400,-0.007583
C,2025-10-17,DOWN,17.31,18.79,25.23,0.015320,-0.000494
C,2025-10-22,UP,15.68,18.75,26.73,0.000704,0.033144
C,2025-10-22,DOWN,15.68,18.75,26.73,0.000704,0.033144
