ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,year
GOOGL,2025-04-04,2025-04-09,145.53,158.67,9.0291,6,ema21,24.4,30.02,2025
GOOGL,2026-03-25,2026-04-01,290.91,299.85,3.0731,10,ema21,31.32,26.95,2026
GS,2022-01-21,2022-01-28,343.65,346.94,0.9574,10,hard_max,29.7,25.59,2022
GS,2022-02-18,2022-02-28,344.4,341.04,-0.9756,10,hard_max,31.89,28.11,2022
GS,2022-03-04,2022-03-09,326.98,337.06,3.0828,6,ema21,34.82,30.48,2022
GS,2022-05-12,2022-05-17,298.3426,311.3423,4.3573,6,ema21,33.64,32.56,2022
GS,2022-06-10,2022-06-17,289.17,283.14,-2.0853,10,hard_max,25.24,26.09,2022
GS,2022-09-22,2022-09-29,312.74,296.11,-5.3175,10,hard_max,34.4,27.99,2022
GS,2023-03-14,2023-03-21,320.53,318.8,-0.5397,10,hard_max,26.57,26.52,2023
GS,2024-12-19,2024-12-24,558.52,582.4,4.2756,6,ema21,30.37,27.62,2024
GS,2025-04-04,2025-04-09,472.47,516.69,9.3593,7,ema21,23.31,30.02,2025
GS,2026-03-13,2026-03-20,785.92,822.34,4.6341,10,ema21,29.51,27.29,2026
INTC,2021-05-13,2021-05-20,53.6,56.06,4.5896,10,ema21,23.61,27.59,2021
INTC,2022-03-15,2022-03-16,44.305,46.62,5.2251,3,ema21,32.06,31.77,2022
INTC,2022-05-12,2022-05-17,42.455,44.12,3.9218,6,ema21,34.87,32.56,2022
INTC,2022-05-20,2022-05-26,40.335,43.495,7.8344,8,ema21,29.9,29.35,2022
INTC,2022-06-10,2022-06-17,39.39,37.07,-5.8898,10,hard_max,26.05,26.09,2022
INTC,2022-06-17,2022-06-24,36.97,38.605,4.4225,7,ema21,23.93,32.95,2022
INTC,2022-08-30,2022-09-07,32.33,30.445,-5.8305,10,hard_max,28.72,26.21,2022
INTC,2022-09-14,2022-09-21,29.32,29.0939,-0.7711,10,hard_max,25.2,27.27,2022
INTC,2022-09-22,2022-09-29,28.22,26.3612,-6.5868,10,hard_max,27.09,27.99,2022
INTC,2022-10-07,2022-10-13,25.9,26.42,2.0077,9,ema21,31.73,30.52,2022
INTC,2024-08-07,2024-08-14,19.75,20.06,1.5696,10,hard_max,13.05,27.71,2024
INTC,2024-12-19,2024-12-24,19.15,20.39,6.4752,6,ema21,26.48,27.62,2024
JD,2021-05-13,2021-05-20,69.055,73.86,6.9582,10,ema21,25.87,27.59,2021
JD,2022-03-04,2022-03-11,64.6392,48.9871,-24.2146,10,hard_max,30.64,30.48,2022
JD,2022-05-10,2022-05-17,50.91,52.85,3.8106,10,hard_max,32.98,34.75,2022
JD,2022-09-16,2022-09-23,55.45,52.31,-5.6628,10,hard_max,33.25,26.27,2022
JD,2022-10-07,2022-10-14,49.685,42.6,-14.2598,10,hard_max,34.77,30.52,2022
JD,2022-10-14,2022-10-21,42.3,42.16,-0.331,10,hard_max,19.54,31.94,2022
JPM,2022-01-21,2022-01-28,145.03,146.62,1.0963,10,hard_max,22.52,25.59,2022
JPM,2022-02-24,2022-03-03,140.1629,138.745,-1.0116,10,hard_max,22.66,31.02,2022
JPM,2022-03-04,2022-03-11,133.6538,129.18,-3.3473,10,hard_max,31.96,30.48,2022
