ticker,entry_ts,exit_ts,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,vix_at_entry,adx_at_entry,sigma_at_entry,ema21_at_entry,split
COIN,2024-08-22 13:30:00,2024-08-29 13:30:00,2024-08-22,2024-08-29,204.0,193.3,-5.2451,10,hard_max,16.18,14.5,12.6207,233.9362,OOS
BA,2024-09-23 13:30:00,2024-09-30 13:30:00,2024-09-23,2024-09-30,154.03,153.02,-0.6557,10,hard_max,16.49,13.04,5.601,174.0931,OOS
MSFT,2024-10-31 13:30:00,2024-11-26 13:30:00,2024-10-31,2024-11-26,407.74,424.71,4.162,8,ema21,18.08,15.61,7.8092,427.5516,OOS
JD,2024-11-12 13:30:00,2024-11-19 13:30:00,2024-11-12,2024-11-19,36.09,34.97,-3.1034,10,hard_max,14.63,16.3,1.3177,39.4773,OOS
ARM,2024-11-15 13:30:00,2024-11-22 13:30:00,2024-11-15,2024-11-22,128.13,134.84,5.2369,10,hard_max,14.52,15.95,6.0772,140.3567,OOS
AMD,2024-11-21 13:30:00,2024-11-29 13:30:00,2024-11-21,2024-11-29,135.3,137.76,1.8182,10,hard_max,15.9,18.32,6.8766,152.8401,OOS
AVGO,2024-11-21 13:30:00,2024-11-29 13:30:00,2024-11-21,2024-11-29,160.98,161.87,0.5529,10,hard_max,15.9,17.23,5.4095,171.8812,OOS
INTC,2024-12-05 13:30:00,2024-12-12 13:30:00,2024-12-05,2024-12-12,20.99,20.57,-2.001,10,hard_max,14.27,13.58,1.0637,23.3658,OOS
NVDA,2025-01-27 13:30:00,2025-02-03 13:30:00,2025-01-27,2025-02-03,124.03,115.73,-6.6919,10,hard_max,15.28,17.92,6.1109,139.3892,OOS
MSFT,2025-01-30 13:30:00,2025-02-06 13:30:00,2025-01-30,2025-02-06,415.23,413.04,-0.5274,10,hard_max,15.8,16.61,8.4422,434.5782,OOS
COIN,2025-02-24 13:30:00,2025-03-03 13:30:00,2025-02-24,2025-03-03,227.33,223.49,-1.6892,10,hard_max,18.21,16.22,14.2824,264.1909,OOS
TSLA,2025-02-25 13:30:00,2025-03-04 13:30:00,2025-02-25,2025-03-04,306.37,265.61,-13.3042,10,hard_max,18.98,17.47,17.2161,348.732,OOS
AMZN,2025-02-25 13:30:00,2025-03-04 13:30:00,2025-02-25,2025-03-04,207.12,198.35,-4.2343,10,hard_max,18.98,15.33,7.8107,222.8484,OOS
BA,2025-02-26 17:30:00,2025-03-05 17:30:00,2025-02-26,2025-03-05,172.75,162.0,-6.2229,10,hard_max,19.43,16.47,3.6797,180.168,OOS
AVGO,2025-03-27 17:30:00,2025-04-03 17:30:00,2025-03-27,2025-04-03,170.6,156.14,-8.476,10,hard_max,18.33,19.64,7.2702,186.1273,OOS
GOOGL,2025-03-28 17:30:00,2025-04-04 17:30:00,2025-03-28,2025-04-04,154.98,147.32,-4.9426,10,hard_max,18.69,16.17,3.7024,163.6846,OOS
PLTR,2025-07-01 13:30:00,2025-07-07 17:30:00,2025-07-01,2025-07-07,130.26,138.08,6.0034,7,ema21,16.73,16.0,3.602,138.1479,OOS
BABA,2025-07-03 13:30:00,2025-07-11 13:30:00,2025-07-03,2025-07-11,108.62,106.84,-1.6387,10,hard_max,16.64,14.84,2.2675,113.3135,OOS
AVGO,2025-08-20 13:30:00,2025-08-26 13:30:00,2025-08-20,2025-08-26,284.04,297.07,4.5874,8,ema21,15.57,19.32,5.7475,299.4571,OOS
TSM,2025-08-20 13:30:00,2025-08-25 17:30:00,2025-08-20,2025-08-25,223.09,235.52,5.5717,7,ema21,15.57,16.78,4.9244,236.8663,OOS
JD,2025-08-28 13:30:00,2025-09-02 17:30:00,2025-08-28,2025-09-02,30.27,31.58,4.3277,5,ema21,14.85,15.67,0.5256,31.4238,OOS
AMD,2025-09-05 13:30:00,2025-09-10 13:30:00,2025-09-05,2025-09-10,150.48,161.28,7.177,6,ema21,15.3,18.69,5.904,163.2412,OOS
BA,2025-09-12 13:30:00,2025-09-19 13:30:00,2025-09-12,2025-09-19,216.94,214.89,-0.945,10,hard_max,14.71,16.25,3.6121,228.5835,OOS
MSTR,2025-09-25 13:30:00,2025-09-29 17:30:00,2025-09-25,2025-09-29,298.64,326.4,9.2955,5,ema21,16.18,18.15,9.5939,330.7897,OOS
SMCI,2025-11-05 13:30:00,2025-11-12 13:30:00,2025-11-05,2025-11-12,42.82,38.22,-10.7426,10,hard_max,19.0,19.13,3.1624,50.3953,OOS
TSLA,2025-11-07 17:30:00,2025-11-10 17:30:00,2025-11-07,2025-11-10,426.88,448.19,4.992,2,ema21,19.5,18.47,9.5985,447.2182,OOS
TSLA,2025-11-13 13:30:00,2025-11-20 13:30:00,2025-11-13,2025-11-20,410.35,427.81,4.2549,10,ema21,17.51,16.77,10.8209,439.9034,OOS
V,2025-11-17 17:30:00,2025-11-21 17:30:00,2025-11-17,2025-11-21,327.96,329.8,0.561,8,ema21,19.83,14.38,3.6002,335.2944,OOS
BABA,2025-12-15 13:30:00,2025-12-22 13:30:00,2025-12-15,2025-12-22,150.4,150.09,-0.2061,10,hard_max,15.74,13.28,2.6468,156.8512,OOS
COST,2025-12-15 17:30:00,2025-12-22 17:30:00,2025-12-15,2025-12-22,857.08,849.69,-0.8622,10,hard_max,15.74,17.36,10.5184,883.5624,OOS
