ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,year
MSFT,2022-05-11,2022-05-18,260.66,254.14,-2.5013,10,hard_max,34.67,29.58,2022
MSFT,2025-03-11,2025-03-14,377.19,388.32,2.9508,7,ema21,31.67,27.86,2025
MSFT,2025-04-08,2025-04-09,355.5,379.13,6.647,1,ema21,26.45,46.98,2025
MSFT,2025-11-21,2025-11-28,472.85,492.08,4.0668,8,ema21,24.21,26.42,2025
MSTR,2022-01-26,2022-02-02,35.37,34.917,-1.2807,10,hard_max,29.5,27.66,2022
MSTR,2022-04-27,2022-05-04,39.022,33.7105,-13.6116,10,hard_max,32.75,28.86,2022
MSTR,2022-05-06,2022-05-13,29.665,20.2165,-31.8507,10,hard_max,27.27,28.46,2022
MU,2022-01-27,2022-02-02,78.71,83.53,6.1237,7,ema21,31.83,27.82,2022
MU,2022-06-14,2022-06-22,58.798,56.55,-3.8233,10,hard_max,23.09,29.82,2022
MU,2022-06-29,2022-07-06,55.565,57.395,3.2934,8,ema21,33.54,25.38,2022
MU,2025-04-04,2025-04-09,65.05,77.89,19.7387,7,ema21,17.7,30.02,2025
NVDA,2022-05-11,2022-05-17,16.991,17.955,5.6738,8,ema21,33.42,29.58,2022
NVDA,2022-07-01,2022-07-07,14.4471,15.786,9.2676,6,ema21,30.46,25.87,2022
NVDA,2022-09-22,2022-09-29,12.559,12.225,-2.6594,10,hard_max,32.11,25.04,2022
NVDA,2022-10-12,2022-10-19,11.501,12.057,4.8344,10,ema21,33.37,29.05,2022
NVDA,2025-04-04,2025-04-09,94.12,108.0,14.7471,6,ema21,23.12,30.02,2025
PLTR,2021-12-02,2021-12-09,19.25,19.375,0.6494,10,hard_max,25.6,26.81,2021
PLTR,2022-01-26,2022-02-01,12.75,14.3001,12.1576,7,ema21,30.88,27.66,2022
PLTR,2022-02-18,2022-02-28,10.845,11.695,7.8377,10,hard_max,28.93,25.53,2022
PLTR,2022-04-27,2022-05-04,10.74,10.45,-2.7002,10,hard_max,26.18,28.86,2022
PLTR,2022-05-06,2022-05-13,9.72,8.2472,-15.1523,10,hard_max,30.04,28.46,2022
PLTR,2025-11-21,2025-11-26,153.91,167.88,9.0767,6,ema21,27.94,26.42,2025
SMCI,2022-06-14,2022-06-22,4.634,4.337,-6.4091,10,hard_max,30.94,29.82,2022
SMCI,2022-06-23,2022-06-30,4.2555,4.055,-4.7115,10,hard_max,30.58,26.33,2022
SMCI,2022-09-22,2022-09-29,5.35,5.4305,1.5047,10,hard_max,27.21,25.04,2022
SMCI,2022-10-12,2022-10-17,5.242,5.612,7.0584,6,ema21,33.8,29.05,2022
SMCI,2025-11-21,2025-12-01,31.84,33.41,4.9309,10,hard_max,25.62,26.42,2025
TSLA,2022-01-27,2022-02-03,276.42,297.2011,7.5179,10,hard_max,30.46,27.82,2022
TSLA,2022-05-10,2022-05-17,265.7507,252.2133,-5.094,10,hard_max,32.71,30.52,2022
TSLA,2022-10-04,2022-10-11,244.52,221.66,-9.3489,10,hard_max,26.2,26.72,2022
TSLA,2022-10-14,2022-10-21,205.07,214.5,4.5984,10,hard_max,20.93,27.69,2022
TSLA,2025-03-11,2025-03-18,223.83,226.95,1.3939,10,hard_max,19.17,27.86,2025
TSLA,2025-11-21,2025-11-24,394.68,418.61,6.0631,2,ema21,34.78,26.42,2025
TSM,2022-01-27,2022-02-02,116.37,124.15,6.6856,8,ema21,34.45,27.82,2022
TSM,2022-03-04,2022-03-11,105.04,103.25,-1.7041,10,hard_max,30.56,26.82,2022
TSM,2022-04-27,2022-05-04,91.2,93.25,2.2478,10,hard_max,25.25,28.86,2022
TSM,2022-05-11,2022-05-13,87.83,90.8501,3.4386,3,ema21,33.96,29.58,2022
TSM,2022-09-22,2022-09-29,75.65,69.31,-8.3807,10,hard_max,28.79,25.04,2022
TSM,2022-10-14,2022-10-21,63.88,63.75,-0.2035,10,hard_max,33.34,27.69,2022
TSM,2025-04-04,2025-04-09,145.8,158.67,8.8272,7,ema21,22.72,30.02,2025
V,2022-03-04,2022-03-11,200.14,196.78,-1.6788,10,hard_max,28.3,26.82,2022
V,2022-05-10,2022-05-17,192.64,201.97,4.8432,10,ema21,31.92,30.52,2022
V,2022-09-22,2022-09-29,185.765,180.05,-3.0765,10,hard_max,23.66,25.04,2022
V,2025-04-04,2025-04-09,313.04,332.25,6.1366,6,ema21,24.19,30.02,2025
