slippage_bps,ticker,trigger_time,original_entry,slipped_entry,exit_price,return_pct,exit_reason,hold_bars
50,AMZN,2025-04-21 09:30:00,165.64,166.4682,181.96,9.3062,ema21_touch,4
50,AVGO,2025-04-04 09:30:00,141.6,142.308,170.32,19.6841,ema21_touch,6
50,BA,2025-04-04 09:30:00,137.59,138.2779,160.68,16.2007,ema21_touch,7
50,BA,2025-11-21 09:30:00,179.68,180.5784,187.42,3.7887,ema21_touch,6
50,C,2025-04-04 09:30:00,56.63,56.9131,59.42,4.4047,hard_max,10
50,COIN,2025-03-11 09:30:00,183.89,184.8094,182.24,-1.3903,hard_max,10
50,COIN,2025-04-08 13:30:00,151.55,152.3077,177.13,16.2974,ema21_touch,2
50,COIN,2025-11-21 09:30:00,239.1,240.2955,273.89,13.9805,ema21_touch,8
50,COST,2025-03-11 09:30:00,918.01,922.6,894.78,-3.0154,hard_max,10
50,GOOGL,2025-04-04 13:30:00,145.11,145.8356,158.23,8.4989,ema21_touch,6
50,GS,2025-04-04 09:30:00,462.91,465.2245,506.43,8.8571,ema21_touch,7
50,GS,2025-10-17 09:30:00,741.81,745.519,772.65,3.6392,ema21_touch,10
50,GS,2026-03-13 09:30:00,786.1,790.0305,805.36,1.9404,data_end,7
50,JPM,2025-04-04 09:30:00,208.98,210.0249,231.02,9.9965,ema21_touch,7
50,JPM,2025-11-21 09:30:00,295.77,297.2488,305.91,2.9138,ema21_touch,6
50,MARA,2025-04-08 13:30:00,10.52,10.5726,12.29,16.2439,ema21_touch,2
50,MARA,2025-11-21 09:30:00,10.02,10.0701,11.44,13.6036,hard_max,10
50,META,2025-04-08 13:30:00,509.65,512.1982,583.4,13.9012,ema21_touch,2
50,META,2026-03-13 09:30:00,615.16,618.2358,615.72,-0.4069,data_end,7
50,MSFT,2025-03-11 09:30:00,374.33,376.2016,385.58,2.4929,ema21_touch,7
50,MSFT,2025-04-08 13:30:00,352.86,354.6243,376.17,6.0756,ema21_touch,1
50,MSFT,2025-11-21 09:30:00,471.74,474.0987,490.98,3.5607,ema21_touch,8
50,MU,2025-04-04 09:30:00,65.04,65.3652,67.87,3.832,hard_max,10
50,NVDA,2025-04-04 09:30:00,94.09,94.5604,106.45,12.5735,ema21_touch,6
50,PLTR,2025-11-21 09:30:00,153.92,154.6896,167.88,8.527,ema21_touch,6
50,SNOW,2025-04-04 09:30:00,129.56,130.2078,151.42,16.291,ema21_touch,7
50,SNOW,2025-11-21 09:30:00,231.81,232.969,251.0,7.7396,ema21_touch,8
50,TSLA,2025-03-11 09:30:00,223.81,224.929,227.0,0.9207,hard_max,10
50,TSLA,2025-11-21 09:30:00,394.64,396.6132,418.6,5.5436,ema21_touch,2
50,TSM,2025-04-04 09:30:00,144.53,145.2526,157.2,8.2252,ema21_touch,7
50,TXN,2025-04-04 09:30:00,149.09,149.8354,164.13,9.5402,ema21_touch,7
50,TXN,2026-03-13 09:30:00,191.39,192.3469,190.79,-0.8094,data_end,7
50,V,2025-04-04 13:30:00,310.28,311.8314,329.78,5.7559,ema21_touch,6
100,AAPL,2025-04-04 09:30:00,190.17,192.0717,195.99,2.04,hard_max,10
100,AMD,2025-03-11 09:30:00,96.13,97.0913,100.98,4.0052,ema21_touch,2
100,AMD,2025-04-04 09:30:00,86.33,87.1933,96.72,10.926,ema21_touch,7
100,AMD,2025-11-21 09:30:00,201.52,203.5352,219.57,7.8781,hard_max,10
100,AMZN,2025-04-21 09:30:00,165.64,167.2964,181.96,8.765,ema21_touch,4
100,AVGO,2025-04-04 09:30:00,141.6,143.016,170.32,19.0916,ema21_touch,6
100,BA,2025-04-04 09:30:00,137.59,138.9659,160.68,15.6255,ema21_touch,7
100,BA,2025-11-21 09:30:00,179.68,181.4768,187.42,3.2749,ema21_touch,6
100,C,2025-04-04 09:30:00,56.63,57.1963,59.42,3.8878,hard_max,10
100,COIN,2025-03-11 09:30:00,183.89,185.7289,182.24,-1.8785,hard_max,10
100,COIN,2025-04-08 13:30:00,151.55,153.0655,177.13,15.7217,ema21_touch,2
100,COIN,2025-11-21 09:30:00,239.1,241.491,273.89,13.4162,ema21_touch,8
100,COST,2025-03-11 09:30:00,918.01,927.1901,894.78,-3.4955,hard_max,10
100,GOOGL,2025-04-04 13:30:00,145.11,146.5611,158.23,7.9618,ema21_touch,6
100,GS,2025-04-04 09:30:00,462.91,467.5391,506.43,8.3182,ema21_touch,7
100,GS,2025-10-17 09:30:00,741.81,749.2281,772.65,3.1261,ema21_touch,10
100,GS,2026-03-13 09:30:00,786.1,793.961,805.36,1.4357,data_end,7
100,JPM,2025-04-04 09:30:00,208.98,211.0698,231.02,9.4519,ema21_touch,7
100,JPM,2025-11-21 09:30:00,295.77,298.7277,305.91,2.4043,ema21_touch,6
100,MARA,2025-04-08 13:30:00,10.52,10.6252,12.29,15.6684,ema21_touch,2
100,MARA,2025-11-21 09:30:00,10.02,10.1202,11.44,13.0412,hard_max,10
100,META,2025-04-08 13:30:00,509.65,514.7465,583.4,13.3373,ema21_touch,2
100,META,2026-03-13 09:30:00,615.16,621.3116,615.72,-0.9,data_end,7
100,MSFT,2025-03-11 09:30:00,374.33,378.0733,385.58,1.9855,ema21_touch,7
100,MSFT,2025-04-08 13:30:00,352.86,356.3886,376.17,5.5505,ema21_touch,1
100,MSFT,2025-11-21 09:30:00,471.74,476.4574,490.98,3.048,ema21_touch,8
100,MU,2025-04-04 09:30:00,65.04,65.6904,67.87,3.318,hard_max,10
100,NVDA,2025-04-04 09:30:00,94.09,95.0309,106.45,12.0162,ema21_touch,6
100,PLTR,2025-11-21 09:30:00,153.92,155.4592,167.88,7.9897,ema21_touch,6
100,SNOW,2025-04-04 09:30:00,129.56,130.8556,151.42,15.7153,ema21_touch,7
100,SNOW,2025-11-21 09:30:00,231.81,234.1281,251.0,7.2063,ema21_touch,8
100,TSLA,2025-03-11 09:30:00,223.81,226.0481,227.0,0.4211,hard_max,10
100,TSLA,2025-11-21 09:30:00,394.64,398.5864,418.6,5.0211,ema21_touch,2
100,TSM,2025-04-04 09:30:00,144.53,145.9753,157.2,7.6895,ema21_touch,7
100,TXN,2025-04-04 09:30:00,149.09,150.5809,164.13,8.9979,ema21_touch,7
100,TXN,2026-03-13 09:30:00,191.39,193.3039,190.79,-1.3005,data_end,7
100,V,2025-04-04 13:30:00,310.28,313.3828,329.78,5.2323,ema21_touch,6
