streak_len,streak_bin,date,next_day_ret,next_day_range,max_bounce_3d,rsi,vix,vix_bucket,ticker,split
3,3,2026-01-08,0.006169237182159115,0.01317215506461024,0.00616923718215919,65.25155660867134,15.38,<20,C,A
2,2,2026-01-13,-0.03353210612738744,0.07121251404372997,0.015124016938898973,52.09441572973613,15.12,<20,C,A
3,3,2026-01-14,0.045068407404095456,0.04632030760976476,0.050344272556559024,43.69169529650254,15.98,<20,C,B
2,2,2026-01-28,0.008805142203046623,0.02588711807695705,0.023245575416042975,47.98400594709755,16.35,<20,C,B
2,2,2026-02-06,0.050441794629836334,0.029252809470704272,0.05044179462983624,53.63852025271615,21.77,20-25,C,A
2,2,2026-02-11,-0.05351056578050439,0.0702113156100887,-0.030163599182004144,52.21600426390554,17.79,<20,C,B
3,3,2026-02-12,-0.002340655383507473,0.027367662945624833,0.04663305725603175,41.362698808854816,17.65,<20,C,B
4,4,2026-02-13,0.027070925825663172,0.022739577693557212,0.04908861216386945,40.982894916778996,20.82,20-25,C,B
2,2,2026-02-24,0.04363304427202186,0.0335006846188955,0.06079415791875853,40.284520380542546,21.01,20-25,C,A
2,2,2026-03-06,0.0006572152849497748,0.04731950051638336,0.02506806872594124,38.6027400458157,23.75,20-25,C,A
2,2,2025-02-05,-0.017592962814874213,0.056704590890916444,0.01802915197557333,,,,COIN,B
3,3,2025-02-06,0.01517001517001515,0.040034040034040014,0.03626003626003631,,,,COIN,B
2,2,2025-02-18,-0.022331381069336742,0.035216323446060814,-0.022331381069336742,,14.77,<20,COIN,A
3,3,2025-02-19,-0.008038958027363319,0.04591481796397927,-0.008038958027363315,,15.35,<20,COIN,B
4,4,2025-02-20,-0.08283332034598312,0.12818514766617314,-0.08283332034598308,,15.27,<20,COIN,B
5,5,2025-02-21,-0.03542905692438403,0.0706881903143586,-0.03542905692438404,,15.66,<20,COIN,B
6,5,2025-02-24,-0.06377169030212271,0.0780850876420329,-0.06187791773099626,25.615497792473462,18.21,<20,COIN,B
7,5,2025-02-25,0.002022767899143796,0.04976949854172539,0.013830087496471905,22.035380603649926,18.98,<20,COIN,B
2,2,2025-03-27,-0.07679244281696118,0.07323674574112393,-0.0739266571140477,39.25791763968118,18.33,<20,COIN,A
3,3,2025-03-28,-0.008795125316164665,0.05782938606576225,0.051161186479650525,34.160903839009066,18.69,<20,COIN,A
4,4,2025-03-31,0.01200487154207508,0.043553905932842425,0.06048831409847478,33.66322197625725,21.65,20-25,COIN,B
2,2,2025-04-04,-0.015462626768498855,0.1553774884186803,0.10886440465756846,32.187747607329044,30.02,>=25,COIN,A
3,3,2025-04-07,-0.036370572900108034,0.13003115660965228,0.12627964646785772,31.422339686147467,45.31,>=25,COIN,B
