ticker,multiplier,entry_datetime,entry_price,initial_stop_1r,one_r_dollars,one_r_reached,one_r_time,chandelier_activated,exit_datetime,exit_price,exit_reason,pnl_dollars,pnl_r,mfe_r,mae_r,give_back_ratio,hold_bars,hold_hours
GOOGL,2.0,2025-03-26 16:30:00,169.0,168.43,0.57,False,,False,2025-03-26 16:55:00,168.32,disaster_stop,-0.68,-1.193,1.0702,2.4912,2.1148,5,0.42
GOOGL,2.25,2025-03-26 16:30:00,169.0,168.43,0.57,False,,False,2025-03-26 16:55:00,168.32,disaster_stop,-0.68,-1.193,1.0702,2.4912,2.1148,5,0.42
GOOGL,1.25,2025-04-15 16:30:00,159.12,158.62,0.5,False,,False,2025-04-15 17:00:00,158.22,disaster_stop,-0.9,-1.8,0.14,2.42,13.8571,6,0.5
GOOGL,1.5,2025-04-15 16:30:00,159.12,158.62,0.5,False,,False,2025-04-15 17:00:00,158.22,disaster_stop,-0.9,-1.8,0.14,2.42,13.8571,6,0.5
GOOGL,2.0,2025-04-15 16:30:00,159.12,158.62,0.5,False,,False,2025-04-15 17:00:00,158.22,disaster_stop,-0.9,-1.8,0.14,2.42,13.8571,6,0.5
GOOGL,2.25,2025-04-15 16:30:00,159.12,158.62,0.5,False,,False,2025-04-15 17:00:00,158.22,disaster_stop,-0.9,-1.8,0.14,2.42,13.8571,6,0.5
GOOGL,1.25,2025-04-24 20:30:00,158.55,158.14,0.41,True,2025-04-24 21:30:00,True,2025-04-24 22:00:00,158.94,chandelier_stop,0.39,0.9512,1.878,0.9024,0.4935,18,1.5
GOOGL,1.5,2025-04-24 20:30:00,158.55,158.14,0.41,True,2025-04-24 21:30:00,True,2025-04-24 22:05:00,158.69,chandelier_stop,0.14,0.3415,1.878,0.9024,0.8182,19,1.58
GOOGL,2.0,2025-04-24 20:30:00,158.55,158.14,0.41,True,2025-04-24 21:30:00,True,2025-04-24 22:05:00,158.69,chandelier_stop,0.14,0.3415,1.878,0.9024,0.8182,19,1.58
GOOGL,2.25,2025-04-24 20:30:00,158.55,158.14,0.41,True,2025-04-24 21:30:00,True,2025-04-24 22:05:00,158.69,chandelier_stop,0.14,0.3415,1.878,0.9024,0.8182,19,1.58
GOOGL,1.25,2025-05-14 20:30:00,164.73,164.3,0.43,True,2025-05-14 21:10:00,True,2025-05-14 21:10:00,164.79,chandelier_stop,0.06,0.1395,1.4186,0.3488,0.9016,8,0.67
GOOGL,1.5,2025-05-14 20:30:00,164.73,164.3,0.43,True,2025-05-14 21:10:00,True,2025-05-14 21:10:00,164.79,chandelier_stop,0.06,0.1395,1.4186,0.3488,0.9016,8,0.67
GOOGL,2.0,2025-05-14 20:30:00,164.73,164.3,0.43,True,2025-05-14 21:10:00,True,2025-05-14 21:10:00,164.79,chandelier_stop,0.06,0.1395,1.4186,0.3488,0.9016,8,0.67
GOOGL,2.25,2025-05-14 20:30:00,164.73,164.3,0.43,True,2025-05-14 21:10:00,True,2025-05-14 21:10:00,164.79,chandelier_stop,0.06,0.1395,1.4186,0.3488,0.9016,8,0.67
GOOGL,1.25,2025-06-30 16:30:00,180.78,173.48,7.3,False,,False,2025-07-03 21:05:00,179.28,disaster_stop,-1.5,-0.2055,0.6822,1.8685,1.3012,289,24.08
GOOGL,1.5,2025-06-30 16:30:00,180.78,173.48,7.3,False,,False,2025-07-03 21:05:00,179.28,disaster_stop,-1.5,-0.2055,0.6822,1.8685,1.3012,289,24.08
GOOGL,2.0,2025-06-30 16:30:00,180.78,173.48,7.3,False,,False,2025-07-03 21:05:00,179.28,disaster_stop,-1.5,-0.2055,0.6822,1.8685,1.3012,289,24.08
GOOGL,2.25,2025-06-30 16:30:00,180.78,173.48,7.3,False,,False,2025-07-03 21:05:00,179.28,disaster_stop,-1.5,-0.2055,0.6822,1.8685,1.3012,289,24.08
GOOGL,1.25,2025-10-06 20:30:00,248.93,247.3,1.63,True,2025-10-06 21:35:00,True,2025-10-06 22:00:00,250.6,chandelier_stop,1.67,1.0245,1.4663,1.9571,0.3013,18,1.5
GOOGL,1.5,2025-10-06 20:30:00,248.93,247.3,1.63,True,2025-10-06 21:35:00,True,2025-10-06 22:10:00,250.52,chandelier_stop,1.59,0.9755,1.4663,1.9571,0.3347,20,1.67
GOOGL,2.0,2025-10-06 20:30:00,248.93,247.3,1.63,True,2025-10-06 21:35:00,True,2025-10-06 22:20:00,250.2,chandelier_stop,1.27,0.7791,1.4663,1.9571,0.4686,22,1.83
GOOGL,2.25,2025-10-06 20:30:00,248.93,247.3,1.63,True,2025-10-06 21:35:00,True,2025-10-06 22:20:00,250.2,chandelier_stop,1.27,0.7791,1.4663,1.9571,0.4686,22,1.83
GOOGL,1.25,2025-10-15 20:30:00,247.56,246.64,0.92,True,2025-10-15 20:35:00,True,2025-10-15 20:35:00,247.94,chandelier_stop,0.38,0.413,1.0217,0.0,0.5957,1,0.08
GOOGL,1.5,2025-10-15 20:30:00,247.56,246.64,0.92,True,2025-10-15 20:35:00,True,2025-10-15 20:35:00,247.94,chandelier_stop,0.38,0.413,1.0217,0.0,0.5957,1,0.08
GOOGL,2.0,2025-10-15 20:30:00,247.56,246.64,0.92,True,2025-10-15 20:35:00,True,2025-10-15 20:35:00,247.94,chandelier_stop,0.38,0.413,1.0217,0.0,0.5957,1,0.08
GOOGL,2.25,2025-10-15 20:30:00,247.56,246.64,0.92,True,2025-10-15 20:35:00,True,2025-10-15 20:35:00,247.94,chandelier_stop,0.38,0.413,1.0217,0.0,0.5957,1,0.08
