ticker,timestamp,pattern,direction,entry_price,level_price,blocked_by,blocked_reason,atr_ratio
AAPL,2025-10-30 16:30:00,MODEL4,long,266.5106,265.016,time,Before open delay (16:30 IST < 16:35 IST),0.0
AAPL,2025-11-05 17:05:00,LP1,short,269.8139,271.5286,squeeze,Squeeze detected (BB width=0.0046) — overrides ATR pass,nan
AAPL,2025-11-05 17:20:00,MODEL4,long,269.88,265.016,squeeze,Squeeze detected (BB width=0.0045) — overrides ATR pass,nan
AAPL,2025-11-05 17:30:00,MODEL4,long,269.8406,265.016,squeeze,Squeeze detected (BB width=0.0043) — overrides ATR pass,nan
AAPL,2025-11-18 16:45:00,MODEL4,long,266.9672,265.016,squeeze,Squeeze detected (BB width=0.0040) — overrides ATR pass,nan
AAPL,2025-11-18 16:50:00,MODEL4,long,266.8474,265.016,squeeze,Squeeze detected (BB width=0.0041) — overrides ATR pass,nan
AAPL,2025-11-20 16:30:00,MODEL4,long,265.4387,265.016,time,Before open delay (16:30 IST < 16:35 IST),0.0
AAPL,2025-12-03 16:30:00,LP2,short,283.9963,284.4559,time,Before open delay (16:30 IST < 16:35 IST),0.0
AAPL,2025-12-16 16:45:00,MODEL4,long,273.6509,265.016,squeeze,Squeeze detected (BB width=0.0039) — overrides ATR pass,nan
AAPL,2025-12-16 17:20:00,LP1,short,273.9906,284.4559,squeeze,Squeeze detected (BB width=0.0031) — overrides ATR pass,nan
AAPL,2025-12-24 21:25:00,MODEL4,long,273.53,265.016,squeeze,Squeeze detected (BB width=0.0023) — overrides ATR pass,nan
AAPL,2025-12-29 17:20:00,MODEL4,long,273.581,265.016,squeeze,Squeeze detected (BB width=0.0039) — overrides ATR pass,nan
AAPL,2025-12-29 17:35:00,MODEL4,long,273.5569,265.016,squeeze,Squeeze detected (BB width=0.0028) — overrides ATR pass,nan
AAPL,2026-01-06 18:15:00,MODEL4,short,262.1518,265.016,squeeze,Squeeze detected (BB width=0.0007) — overrides ATR pass,nan
AAPL,2026-01-29 16:30:00,MODEL4,short,262.1518,265.016,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMD,2025-06-09 18:35:00,CLP,long,122.04,121.8945,squeeze,Squeeze detected (BB width=0.0038) — overrides ATR pass,nan
AMD,2025-06-09 18:45:00,LP2,short,121.89,121.8945,squeeze,Squeeze detected (BB width=0.0037) — overrides ATR pass,nan
AMD,2025-06-09 18:50:00,LP1,short,121.839,121.8945,squeeze,Squeeze detected (BB width=0.0035) — overrides ATR pass,nan
AMD,2025-06-09 18:55:00,LP1,long,121.8992,121.8945,squeeze,Squeeze detected (BB width=0.0033) — overrides ATR pass,nan
AMD,2025-06-09 19:00:00,LP1,long,121.9,121.8945,squeeze,Squeeze detected (BB width=0.0031) — overrides ATR pass,nan
AMD,2025-06-09 19:05:00,LP1,long,122.0,121.8945,squeeze,Squeeze detected (BB width=0.0034) — overrides ATR pass,nan
AMD,2025-06-09 19:10:00,LP1,short,121.8537,121.8945,squeeze,Squeeze detected (BB width=0.0033) — overrides ATR pass,nan
AMD,2025-06-09 19:15:00,LP2,long,121.9405,121.8945,squeeze,Squeeze detected (BB width=0.0034) — overrides ATR pass,nan
AMD,2025-07-18 16:30:00,LP1,long,156.85,156.8414,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMD,2025-07-21 16:30:00,LP2,short,156.805,156.8414,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMD,2025-07-21 16:35:00,LP1,short,156.83,156.8414,squeeze,Squeeze detected (BB width=0.0011) — overrides ATR pass,nan
AMD,2025-07-21 16:40:00,LP1,short,156.78,156.8414,squeeze,Squeeze detected (BB width=0.0012) — overrides ATR pass,nan
AMD,2025-07-21 16:50:00,MODEL4,short,156.78,156.8414,squeeze,Squeeze detected (BB width=0.0014) — overrides ATR pass,nan
AMD,2025-07-21 17:00:00,LP2,long,156.9,156.8414,squeeze,Squeeze detected (BB width=0.0014) — overrides ATR pass,nan
