ticker,trading_day,z2_high,dz_low,eod_close,compression_pct,recovery_return_pct,category,vix,vix_regime,compression_bucket,is_event_day,vix_daily_change_pct
AAPL,2025-03-19,217.82,213.37,214.38,2.0429712606739456,0.4733561419131044,failed_recovery,19.9,<20,>1.0%,True,8.29493087557604
AAPL,2025-03-20,216.56,212.09,213.23,2.0640930919837452,0.5375076618416645,weak_recovery,19.8,<20,>1.0%,False,0.5025125628140596
AAPL,2025-03-21,213.92,211.73,217.43,1.023747195213163,2.6921078732347885,full_recovery,19.28,<20,>1.0%,True,2.626262626262624
AAPL,2025-03-24,219.75,217.88,219.49,0.850967007963597,0.7389388654305185,partial_recovery,17.48,<20,0.5-1.0%,True,9.336099585062243
AAPL,2025-03-25,222.94,221.85,222.77,0.4889207858616683,0.4146946134775821,partial_recovery,17.15,<20,<0.5%,False,1.8878718535469212
AAPL,2025-03-26,223.41,220.68,220.44,1.2219685779508482,-0.10875475802066752,failed_recovery,18.33,<20,>1.0%,True,6.880466472303206
AAPL,2025-03-27,222.62,221.77,222.97,0.38181654837840007,0.5411011408215667,full_recovery,18.69,<20,<0.5%,False,1.9639934533551717
AAPL,2025-03-28,222.77,217.28,216.92,2.4644251919019657,-0.16568483063329054,failed_recovery,21.65,20-25,>1.0%,True,15.83734617442481
AAPL,2025-03-31,219.64,218.45,221.05,0.5417956656346739,1.1902037079423313,full_recovery,22.28,20-25,0.5-1.0%,True,2.909930715935347
AAPL,2025-04-01,222.47,221.24,222.19,0.5528835348586281,0.4293979388898882,partial_recovery,21.77,20-25,0.5-1.0%,True,2.289048473967691
AAPL,2025-04-02,223.75,222.66,222.84,0.4871508379888283,0.08084074373484543,failed_recovery,21.51,20-25,<0.5%,False,1.1943040881947542
AAPL,2025-04-03,205.59,202.97,202.19,1.2743810496619508,-0.3842932453071888,failed_recovery,30.02,>=25,>1.0%,True,39.56299395629939
AAPL,2025-04-04,198.46,190.08,187.57,4.222513352816686,-1.3204966329966432,failed_recovery,45.31,>=25,>1.0%,True,50.93271152564958
AAPL,2025-04-07,193.32,175.0,180.81,9.476515621767016,3.3200000000000016,weak_recovery,46.98,>=25,>1.0%,True,3.685720591480897
AAPL,2025-04-08,189.52,174.25,172.03,8.05719712959055,-1.2740315638450497,failed_recovery,52.33,>=25,>1.0%,True,11.387824606215414
AAPL,2025-04-09,179.76,177.11,198.0,1.4741878059634943,11.794929704703282,full_recovery,33.62,>=25,>1.0%,True,35.7538696732276
AAPL,2025-04-10,193.17,182.22,189.63,5.668582077962411,4.066513006256172,partial_recovery,40.72,>=25,>1.0%,True,21.118381915526477
AAPL,2025-04-14,210.64,200.3,201.72,4.908849221420422,0.7089365951073328,failed_recovery,30.89,>=25,>1.0%,True,17.758253461128863
AAPL,2025-04-15,202.43,200.25,201.27,1.0769154769550002,0.5093632958801549,weak_recovery,30.12,>=25,>1.0%,True,2.4927160893493028
AAPL,2025-04-16,198.15,195.55,193.47,1.3121372697451397,-1.063666581436979,failed_recovery,32.64,>=25,>1.0%,True,8.36653386454183
AAPL,2025-04-17,196.25,195.24,196.03,0.5146496815286579,0.4046301987297644,partial_recovery,29.65,>=25,0.5-1.0%,True,9.160539215686281
AAPL,2025-04-21,192.51,189.32,192.26,1.6570567762713615,1.5529262624128448,partial_recovery,33.82,>=25,>1.0%,True,14.064080944350765
AAPL,2025-04-22,198.7,197.47,198.71,0.6190236537493659,0.6279434850863469,full_recovery,30.57,>=25,0.5-1.0%,True,9.609698403311649
AAPL,2025-04-23,207.11,201.93,203.49,2.501086379218776,0.7725449413162988,weak_recovery,28.45,>=25,>1.0%,True,6.934903500163562
AAPL,2025-04-24,205.83,204.77,207.31,0.5149880969732314,1.240416076573713,full_recovery,26.47,>=25,0.5-1.0%,True,6.959578207381373
AAPL,2025-04-25,208.35,206.58,208.33,0.8495320374369962,0.8471294413786425,partial_recovery,24.84,20-25,0.5-1.0%,True,6.157914620324893
AAPL,2025-04-28,208.92,206.57,209.19,1.1248324717595226,1.268335189040037,full_recovery,25.15,>=25,>1.0%,False,1.2479871175523298
AAPL,2025-04-29,211.33,208.45,210.34,1.3627975204656337,0.9066922523386974,partial_recovery,24.17,20-25,>1.0%,True,3.8966202783300075
AAPL,2025-04-30,210.23,208.9,211.57,0.6326404414212929,1.2781235040689265,full_recovery,24.7,20-25,0.5-1.0%,True,2.1928009929664776
AAPL,2025-05-01,213.35,210.62,211.92,1.2795875322240402,0.6172253347260388,weak_recovery,24.6,20-25,>1.0%,False,0.40485829959513314
AAPL,2025-05-02,206.1,203.28,204.42,1.368267831149924,0.5608028335300995,weak_recovery,22.68,20-25,>1.0%,True,7.804878048780495
AAPL,2025-05-05,199.48,198.25,197.92,0.6166031682374122,-0.1664564943253531,failed_recovery,23.64,20-25,0.5-1.0%,True,4.232804232804237
AAPL,2025-05-06,198.66,197.85,197.56,0.40773180308064144,-0.14657568865301596,failed_recovery,24.76,20-25,<0.5%,True,4.737732656514386
AAPL,2025-05-07,198.59,193.68,195.38,2.472430635983683,0.8777364725320057,weak_recovery,23.55,20-25,>1.0%,True,4.886914378029082
AAPL,2025-05-08,198.9,198.16,196.56,0.37204625439920014,-0.8074283407347569,failed_recovery,22.48,20-25,<0.5%,True,4.543524416135882
AAPL,2025-05-09,199.38,196.75,197.69,1.3190891764469834,0.47776365946632665,weak_recovery,21.9,20-25,>1.0%,True,2.580071174377232
AAPL,2025-05-12,210.45,207.61,210.19,1.349489189831302,1.24271470545734,partial_recovery,18.39,<20,>1.0%,True,16.027397260273965
AAPL,2025-05-13,211.23,210.01,212.2,0.577569474033044,1.042807485357839,full_recovery,18.22,<20,0.5-1.0%,False,0.9244154431756482
AAPL,2025-05-14,213.29,209.94,211.76,1.570631534530449,0.8669143564828014,partial_recovery,18.62,<20,>1.0%,True,2.195389681668508
AAPL,2025-05-15,212.31,210.57,210.81,0.8195563091705568,0.11397634990739852,failed_recovery,17.83,<20,0.5-1.0%,True,4.242749731471551
AAPL,2025-05-16,211.28,209.81,210.55,0.6957591821279813,0.35270006196082604,partial_recovery,17.24,<20,0.5-1.0%,True,3.3090297251822767
AAPL,2025-05-20,207.83,206.48,206.24,0.6495693595727386,-0.11623401782254003,failed_recovery,18.09,<20,0.5-1.0%,False,0.2756339581036423
AAPL,2025-05-21,206.41,201.4,201.44,2.427207984109293,0.019860973187682245,failed_recovery,20.87,20-25,>1.0%,True,15.367606412382539
AAPL,2025-05-22,201.67,200.55,200.76,0.5553627212773224,0.10471204188480655,failed_recovery,20.28,20-25,0.5-1.0%,True,2.8270244369908952
AAPL,2025-05-23,197.1,195.04,194.74,1.045154743784882,-0.15381460213288708,failed_recovery,22.29,20-25,>1.0%,True,9.911242603550285
AAPL,2025-05-29,201.05,197.9,199.33,1.566774434220346,0.7225871652349706,weak_recovery,19.18,<20,>1.0%,False,0.6732263076126308
AAPL,2025-05-30,198.88,196.18,200.04,1.357602574416728,1.9675807931491411,full_recovery,18.57,<20,>1.0%,True,3.1803962460896735
AAPL,2025-06-02,201.37,199.96,201.17,0.7002036053036681,0.6051210242048307,partial_recovery,18.36,<20,0.5-1.0%,False,1.1308562197092131
AAPL,2025-06-03,202.62,201.78,202.72,0.4145691442108397,0.4658539002874406,full_recovery,17.69,<20,<0.5%,True,3.6492374727668744
AAPL,2025-06-04,205.61,201.99,202.27,1.7606147560916319,0.1386207237982084,failed_recovery,17.61,<20,>1.0%,False,0.45223289994348126
AAPL,2025-06-05,204.13,200.94,200.02,1.5627296330769598,-0.45784811386482904,failed_recovery,18.48,<20,>1.0%,True,4.940374787052817
AAPL,2025-06-06,204.12,201.43,203.31,1.3178522437781686,0.9333267139949339,partial_recovery,16.77,<20,>1.0%,True,9.253246753246758
AAPL,2025-06-09,205.37,199.41,200.83,2.902079174173447,0.7121006970563241,failed_recovery,17.16,<20,>1.0%,True,2.3255813953488405
AAPL,2025-06-10,203.73,201.13,202.13,1.2761988906886539,0.4971908715755978,weak_recovery,16.95,<20,>1.0%,False,1.2237762237762286
AAPL,2025-06-11,202.55,199.05,198.24,1.7279684028634903,-0.4069329314242664,failed_recovery,17.26,<20,>1.0%,False,1.828908554572285
AAPL,2025-06-12,198.32,197.48,198.59,0.4235578862444552,0.5620822361758222,full_recovery,18.02,<20,<0.5%,True,4.403244495944368
AAPL,2025-06-13,197.28,196.31,195.85,0.4916869424168689,-0.23432326422495436,failed_recovery,20.82,20-25,<0.5%,True,15.538290788013324
AAPL,2025-06-16,198.08,196.42,197.76,0.8380452342488011,0.6822115874147253,partial_recovery,19.11,<20,0.5-1.0%,True,8.21325648414986
AAPL,2025-06-17,197.78,195.87,195.04,0.965719486297905,-0.4237504467248749,failed_recovery,21.6,20-25,0.5-1.0%,True,13.029827315541612
AAPL,2025-06-18,196.97,195.45,195.64,0.7716911204752045,0.09721156305960488,failed_recovery,20.14,20-25,0.5-1.0%,True,6.759259259259262
AAPL,2025-06-20,199.33,197.3,200.31,1.0184116791250695,1.5255955397871215,full_recovery,20.62,20-25,>1.0%,True,6.991429860171405
AAPL,2025-06-23,201.68,198.35,200.94,1.651130503768352,1.305772624149233,partial_recovery,19.83,<20,>1.0%,True,3.8312318137730483
AAPL,2025-06-25,202.56,200.48,200.99,1.0268562401263885,0.2543894652833297,failed_recovery,16.76,<20,>1.0%,True,4.1189931350114355
AAPL,2025-06-26,200.74,199.03,200.33,0.851848161801339,0.65316786414109,partial_recovery,16.59,<20,0.5-1.0%,False,1.0143198090692225
AAPL,2025-06-27,202.37,200.96,200.49,0.6967435884765512,-0.23387738853503126,failed_recovery,16.32,<20,0.5-1.0%,False,1.6274864376130171
AAPL,2025-06-30,200.76,199.24,204.49,0.7571229328551414,2.6350130495884363,full_recovery,16.73,<20,0.5-1.0%,True,2.512254901960785
AAPL,2025-07-01,209.55,206.46,207.23,1.4745884037222636,0.3729535987600415,failed_recovery,16.83,<20,>1.0%,False,0.5977286312014218
AAPL,2025-07-02,212.32,209.58,211.76,1.2905048982667582,1.0401755892737752,partial_recovery,16.64,<20,>1.0%,False,1.1289364230540566
AAPL,2025-07-03,214.0,200.64,212.77,6.242990654205614,6.045653907496025,partial_recovery,16.38,<20,>1.0%,False,1.5625000000000093
AAPL,2025-07-07,212.47,208.88,209.3,1.6896503035722705,0.20107238605898886,failed_recovery,17.79,<20,>1.0%,False,1.7734553775743633
AAPL,2025-07-08,210.79,208.86,209.39,0.9156032069832433,0.25375849851573906,weak_recovery,16.81,<20,0.5-1.0%,True,5.508712759977518
AAPL,2025-07-09,209.85,206.91,210.46,1.401000714796282,1.7157218114155968,full_recovery,15.94,<20,>1.0%,True,5.175490779298032
AAPL,2025-07-10,212.83,211.18,211.79,0.7752666447399359,0.28885311109005835,weak_recovery,15.78,<20,0.5-1.0%,False,1.0037641154328742
AAPL,2025-07-11,211.48,209.81,210.43,0.7896727822961923,0.29550545731852845,weak_recovery,16.4,<20,0.5-1.0%,True,3.929024081115331
AAPL,2025-07-15,211.24,209.72,208.37,0.7195606892634019,-0.6437154300972698,failed_recovery,17.38,<20,0.5-1.0%,False,1.0465116279069753
AAPL,2025-07-16,211.75,208.73,209.51,1.4262101534828855,0.37368849710151925,weak_recovery,17.16,<20,>1.0%,False,1.2658227848101202
AAPL,2025-07-21,214.53,212.49,211.89,0.9509159558103725,-0.2823662289990224,failed_recovery,16.65,<20,0.5-1.0%,False,1.4625228519195517
AAPL,2025-07-22,213.18,212.19,213.74,0.4643962848297256,0.7304774023281075,full_recovery,16.5,<20,<0.5%,False,0.9009009009008924
AAPL,2025-07-24,214.84,213.55,213.11,0.6004468441630945,-0.20604073987356483,failed_recovery,15.39,<20,0.5-1.0%,False,0.13012361743657352
AAPL,2025-07-25,214.58,213.39,213.31,0.5545717215024821,-0.03749004170766394,failed_recovery,14.93,<20,0.5-1.0%,True,2.988953866146854
AAPL,2025-07-28,214.19,212.76,213.39,0.6676315420888029,0.29610829103214675,weak_recovery,15.03,<20,0.5-1.0%,False,0.6697923643670439
AAPL,2025-07-29,212.74,210.18,210.71,1.203346808310615,0.2521648111142835,failed_recovery,15.98,<20,>1.0%,True,6.3206919494344715
AAPL,2025-07-30,210.24,208.68,208.38,0.7420091324200924,-0.14376078205865986,failed_recovery,15.48,<20,0.5-1.0%,True,3.128911138923655
AAPL,2025-07-31,209.04,207.86,206.98,0.564485265977793,-0.42336187818725285,failed_recovery,16.72,<20,0.5-1.0%,True,8.010335917312652
AAPL,2025-08-01,206.84,200.89,201.65,2.8766196093598997,0.3783164916123348,failed_recovery,20.38,20-25,>1.0%,True,21.889952153110052
AAPL,2025-08-04,207.25,203.24,202.72,1.9348612786489705,-0.25585514662468517,failed_recovery,17.52,<20,>1.0%,True,14.033366045142296
AAPL,2025-08-05,204.71,202.46,202.31,1.0991158223828832,-0.07408870888076938,failed_recovery,17.85,<20,>1.0%,False,1.883561643835627
AAPL,2025-08-06,214.24,213.22,212.6,0.47610156833458284,-0.29077947659694425,failed_recovery,16.77,<20,<0.5%,True,6.0504201680672365
AAPL,2025-08-07,219.53,218.04,219.46,0.678722725823354,0.651256650155942,partial_recovery,16.57,<20,0.5-1.0%,False,1.1926058437686302
AAPL,2025-08-11,228.52,227.56,226.84,0.42009452126728863,-0.31640007031112627,failed_recovery,16.25,<20,<0.5%,True,7.260726072607258
AAPL,2025-08-12,230.15,229.01,229.2,0.4953291331740234,0.08296580935330236,failed_recovery,14.73,<20,<0.5%,True,9.35384615384615
AAPL,2025-08-13,234.1,231.12,232.87,1.2729602733874368,0.7571824160609207,partial_recovery,14.49,<20,>1.0%,False,1.629327902240327
AAPL,2025-08-14,233.64,230.87,232.39,1.1855846601609237,0.6583791744271589,partial_recovery,14.83,<20,>1.0%,True,2.3464458247066933
AAPL,2025-08-15,232.24,229.79,231.21,1.0549431622459597,0.6179555246094329,partial_recovery,15.09,<20,>1.0%,False,1.7532029669588656
AAPL,2025-08-18,232.68,229.67,230.44,1.2936221419976015,0.3352636391344147,weak_recovery,14.99,<20,>1.0%,False,0.6626905235255112
AAPL,2025-08-19,232.43,229.62,230.12,1.20896614034333,0.2177510669802282,failed_recovery,15.57,<20,>1.0%,True,3.8692461641094065
AAPL,2025-08-20,227.35,225.46,225.53,0.83131735210028,0.031047635944288644,failed_recovery,15.69,<20,0.5-1.0%,False,0.7707129094412281
AAPL,2025-08-21,225.59,223.35,224.48,0.9929518152400412,0.5059323931049902,partial_recovery,16.6,<20,0.5-1.0%,True,5.799872530274072
AAPL,2025-08-22,228.28,226.49,227.32,0.784124759067808,0.366462095456746,weak_recovery,14.22,<20,0.5-1.0%,True,14.337349397590366
AAPL,2025-08-25,228.86,227.88,226.72,0.428209385650624,-0.5090398455327351,failed_recovery,14.79,<20,<0.5%,True,4.00843881856539
AAPL,2025-08-27,230.27,229.16,230.06,0.48204281929908954,0.39273869785303095,partial_recovery,14.85,<20,<0.5%,False,1.573187414500687
AAPL,2025-08-29,232.71,231.29,231.83,0.6102015383954347,0.23347312897229475,weak_recovery,15.36,<20,0.5-1.0%,True,6.444906444906443
AAPL,2025-09-02,230.34,226.95,229.29,1.4717374316228249,1.031064111037675,partial_recovery,17.17,<20,>1.0%,True,6.5136476426799055
AAPL,2025-09-03,237.15,235.07,238.03,0.877082015601945,1.2591993874165177,full_recovery,16.35,<20,0.5-1.0%,True,4.775771694816542
AAPL,2025-09-04,239.13,236.52,239.25,1.0914565299209573,1.1542364282090265,full_recovery,15.3,<20,>1.0%,True,6.4220183486238565
AAPL,2025-09-05,240.86,238.03,239.21,1.174956406211082,0.49573583161786616,weak_recovery,15.18,<20,>1.0%,False,0.7843137254902025
AAPL,2025-09-08,239.38,235.89,237.47,1.4579329935667178,0.6698037220738533,weak_recovery,15.11,<20,>1.0%,False,0.46113306982872393
AAPL,2025-09-09,236.46,235.11,233.9,0.5709210860187744,-0.5146527157500778,failed_recovery,15.04,<20,0.5-1.0%,False,0.4632693580410343
AAPL,2025-09-10,231.75,226.19,226.35,2.3991370010787496,0.07073699102524277,failed_recovery,15.35,<20,>1.0%,True,2.0611702127659606
AAPL,2025-09-11,228.88,227.59,229.58,0.5636141209367319,0.8743793664045032,full_recovery,14.71,<20,0.5-1.0%,True,4.16938110749185
AAPL,2025-09-12,234.06,232.56,233.61,0.640861317610869,0.4514963880289007,partial_recovery,14.76,<20,0.5-1.0%,False,0.3399048266485311
AAPL,2025-09-15,236.85,235.25,236.31,0.6755330377876269,0.45058448459086176,partial_recovery,15.69,<20,0.5-1.0%,True,6.3008130081300795
AAPL,2025-09-16,240.76,238.17,237.69,1.0757600930387123,-0.20153671747070992,failed_recovery,16.36,<20,>1.0%,True,4.2702358189929885
AAPL,2025-09-17,239.56,238.82,238.49,0.3088996493571586,-0.1381793819613031,failed_recovery,15.72,<20,<0.5%,True,3.9119804400977927
AAPL,2025-09-18,238.34,236.99,237.4,0.5664177225811842,0.17300308029874534,weak_recovery,15.7,<20,0.5-1.0%,False,0.12722646310433428
AAPL,2025-09-22,256.15,252.68,255.6,1.3546749951200354,1.1556118410637912,partial_recovery,16.1,<20,>1.0%,True,4.207119741100337
AAPL,2025-09-23,256.51,253.91,254.04,1.013605707379827,0.05119924382655092,failed_recovery,16.64,<20,>1.0%,True,3.3540372670807397
AAPL,2025-09-24,252.82,250.56,251.76,0.8939166205205249,0.47892720306512954,partial_recovery,16.18,<20,0.5-1.0%,True,2.764423076923082
AAPL,2025-09-25,253.65,251.82,256.45,0.7214665878178642,1.8386148836470477,full_recovery,16.74,<20,0.5-1.0%,True,3.4610630407910925
AAPL,2025-09-26,256.11,254.43,254.97,0.655968138690409,0.21223912274495618,weak_recovery,15.29,<20,0.5-1.0%,True,8.661887694145754
AAPL,2025-09-29,254.01,252.73,253.86,0.5039171686154092,0.44711747714953665,partial_recovery,16.12,<20,0.5-1.0%,True,5.428384565075225
AAPL,2025-09-30,255.43,252.83,254.07,1.0178913988176779,0.4904481272000873,weak_recovery,16.28,<20,>1.0%,False,0.9925558312655095
AAPL,2025-10-01,256.84,255.37,254.92,0.5723407568914385,-0.1762149038649869,failed_recovery,16.29,<20,0.5-1.0%,False,0.06142506142504921
AAPL,2025-10-02,257.5,256.62,256.65,0.3417475728155322,0.011690437222341483,failed_recovery,16.63,<20,<0.5%,True,2.087170042971147
AAPL,2025-10-03,258.75,257.63,257.52,0.4328502415458955,-0.04269689089004139,failed_recovery,16.65,<20,<0.5%,False,0.12026458208057472
AAPL,2025-10-06,258.26,255.64,256.16,1.0144815302408443,0.20341104678455588,failed_recovery,16.37,<20,>1.0%,False,1.681681681681667
AAPL,2025-10-07,256.75,255.26,255.99,0.5803310613437231,0.2859829193763293,weak_recovery,17.24,<20,0.5-1.0%,True,5.314599877825274
AAPL,2025-10-08,257.96,257.13,257.55,0.3217553109009087,0.16334150040835993,partial_recovery,16.3,<20,<0.5%,True,5.452436194895579
AAPL,2025-10-09,256.9,252.7,253.55,1.634877384196181,0.33636723387416806,failed_recovery,16.43,<20,>1.0%,False,0.7975460122699325
AAPL,2025-10-10,255.56,246.59,244.81,3.509938957583346,-0.721845979155684,failed_recovery,21.66,20-25,>1.0%,True,31.832014607425446
AAPL,2025-10-14,247.28,246.38,247.38,0.3639598835328396,0.4058771004139946,full_recovery,20.81,20-25,<0.5%,True,9.353652128218588
AAPL,2025-10-15,251.34,247.0,248.95,1.7267446486830602,0.7894736842105217,weak_recovery,20.64,20-25,>1.0%,False,0.8169149447380978
AAPL,2025-10-16,248.56,245.57,246.96,1.2029288702928906,0.5660300525308527,weak_recovery,25.31,>=25,>1.0%,True,22.62596899224805
AAPL,2025-10-17,249.84,248.97,251.82,0.34822286263208635,1.1447162308711871,full_recovery,20.78,20-25,<0.5%,True,17.898064006321604
AAPL,2025-10-20,263.87,262.15,261.73,0.6518361314283653,-0.1602136181575278,failed_recovery,18.23,<20,0.5-1.0%,True,12.271414821944179
AAPL,2025-10-21,264.13,262.33,262.34,0.6814826032635488,0.003811992528491177,failed_recovery,17.87,<20,0.5-1.0%,False,1.974766867800326
AAPL,2025-10-22,260.87,255.81,257.94,1.9396634338942775,0.8326492318517632,weak_recovery,18.6,<20,>1.0%,True,4.085058757694463
AAPL,2025-10-23,260.05,259.02,259.08,0.3960776773697479,0.02316423442205323,failed_recovery,17.3,<20,<0.5%,True,6.9892473118279606
AAPL,2025-10-24,263.28,262.35,262.27,0.3532360984503001,-0.030493615399291376,failed_recovery,16.37,<20,<0.5%,True,5.375722543352599
AAPL,2025-10-27,266.54,264.73,268.23,0.679072559465747,1.3221017640614965,full_recovery,15.79,<20,0.5-1.0%,True,3.543066585216871
AAPL,2025-10-29,270.89,267.19,269.2,1.365868064528033,0.7522736629364838,partial_recovery,16.92,<20,>1.0%,True,3.045066991473812
AAPL,2025-10-30,271.36,270.52,270.86,0.30955188679246454,0.12568386810588195,weak_recovery,16.91,<20,<0.5%,False,0.059101654846344935
AAPL,2025-10-31,275.95,269.63,269.73,2.2902699764450056,0.03708786114305632,failed_recovery,17.44,<20,>1.0%,True,3.1342400946185753
AAPL,2025-11-03,270.04,266.74,268.55,1.2220411790845842,0.6785633950663575,partial_recovery,17.17,<20,>1.0%,False,1.5481651376146763
AAPL,2025-11-04,270.97,268.47,269.73,0.9226113591910543,0.4693261816962755,partial_recovery,19.0,<20,0.5-1.0%,True,10.658124635993001
AAPL,2025-11-05,269.95,268.99,269.58,0.35562141137246883,0.21933900888507935,partial_recovery,18.01,<20,<0.5%,True,5.2105263157894655
AAPL,2025-11-06,272.88,269.87,269.15,1.1030489592494837,-0.26679512357802915,failed_recovery,19.5,<20,>1.0%,True,8.27318156579677
AAPL,2025-11-07,271.77,267.55,268.03,1.5527836037825995,0.17940571855726456,failed_recovery,19.08,<20,>1.0%,True,2.1538461538461626
AAPL,2025-11-10,273.03,268.74,269.11,1.5712559059443885,0.13767954156433895,failed_recovery,17.6,<20,>1.0%,True,7.7568134171907595
AAPL,2025-11-11,274.48,271.61,275.05,1.0456135237540092,1.2665218511836818,full_recovery,17.28,<20,>1.0%,False,1.8181818181818195
AAPL,2025-11-12,274.6,273.47,273.27,0.41150764748725244,-0.07313416462502119,failed_recovery,17.51,<20,<0.5%,False,1.331018518518521
AAPL,2025-11-13,274.9,272.2,272.79,0.9821753364859909,0.21675238795004845,failed_recovery,20.0,20-25,0.5-1.0%,True,14.220445459737283
AAPL,2025-11-17,270.06,267.19,267.21,1.062726801451531,0.007485310078963213,failed_recovery,22.38,20-25,>1.0%,True,12.859304084720124
AAPL,2025-11-18,268.08,266.18,267.18,0.7087436586093618,0.375685626267939,partial_recovery,24.69,20-25,0.5-1.0%,True,10.32171581769438
AAPL,2025-11-19,271.95,269.36,268.27,0.9523809523809432,-0.40466290466291643,failed_recovery,23.66,20-25,0.5-1.0%,True,4.171729445119486
AAPL,2025-11-20,274.84,266.77,266.13,2.936253820404597,-0.23990703602353577,failed_recovery,26.42,>=25,>1.0%,True,11.665257819103978
AAPL,2025-11-21,271.21,269.94,271.24,0.4682718188857276,0.48158850114840757,full_recovery,23.43,20-25,<0.5%,True,11.317183951551861
AAPL,2025-11-25,279.37,277.97,276.63,0.5011275369581477,-0.48206641004426076,failed_recovery,18.56,<20,0.5-1.0%,True,9.551656920077978
AAPL,2025-11-26,279.27,277.83,277.21,0.5156300354495642,-0.22315804628729963,failed_recovery,17.19,<20,0.5-1.0%,True,7.381465517241366
