market,touch,signal,prev_run,lag,ret4,mae,grp,quarter
^DJI,2015-06-05,2015-06-19,4,2,0.003913199307124415,-0.03054346593502333,B1,2015Q2
^DJI,2015-07-24,2015-10-23,1,13,0.01003651311384135,-0.024722443888342216,B1,2015Q4
^DJI,2015-12-25,2015-12-25,8,0,-0.08310426361769063,-0.11973507326540267,B1,2015Q4
^DJI,2016-01-08,2016-03-11,1,9,0.02112611572507883,-0.005400526368640746,B1,2016Q1
^DJI,2016-06-24,2016-07-01,14,1,0.026901842062911907,-0.01314363307293287,B1,2016Q3
^DJI,2016-09-16,2016-09-16,10,0,0.00080447133032302,-0.00904068437286687,B1,2016Q3
^DJI,2016-09-30,2016-09-30,1,0,-0.008027077250537196,-0.019018915862374697,B1,2016Q3
^DJI,2016-10-14,2016-11-11,1,4,0.04823885010593787,-0.002207149801626951,B1,2016Q4
^DJI,2018-02-09,2018-02-16,64,1,-0.010819896621235392,-0.0397163237010103,EVENT,2018Q1
^DJI,2018-03-02,2018-03-09,1,1,-0.05537554678771395,-0.07859335013323798,B1,2018Q1
^DJI,2018-03-23,2018-06-08,1,11,-0.033971829947131105,-0.052112923691236546,B1,2018Q2
^DJI,2018-06-22,2018-07-13,1,3,0.011740103660142553,-0.0015895471156847085,B1,2018Q3
^DJI,2018-10-12,2018-11-09,12,4,-0.06157732275947092,-0.06722305047103971,B1,2018Q4
^DJI,2019-05-17,2019-05-17,15,0,0.012638153043005751,-0.04205207605573669,EVENT,2019Q2
^DJI,2019-08-02,2019-08-02,8,0,-0.003085914238781129,-0.04324748853733229,B1,2019Q3
^DJI,2019-09-06,2019-09-06,1,0,-0.008349307230891445,-0.03933208457541015,B1,2019Q3
^DJI,2019-10-04,2019-10-04,3,0,0.029112922519127116,-0.016328911059262152,B1,2019Q4
^DJI,2020-02-28,2020-05-29,20,13,-0.014480440056410582,-0.021271219357853033,EVENT,2020Q2
