ticker,earnings_date,day1_date,timing,prior_close,day1_open,day1_high,day1_low,day1_close,gap_pct,gap_size,shape,eps_surprise_pct,rec_10:00,rec_10:30,rec_12:00,rec_13:00,rec_13:30,rec_16:00,drift_1d,drift_2d,drift_3d,drift_5d,price_10:00,price_10:30,price_12:00,price_13:00,price_13:30,price_16:00
AVGO,2026-03-05,2026-03-06,AMC,332.62,328.28,343.51,327.4,330.42,-1.3047922554266225,4.340000000000032,EARLY_HOLD,19.5159,1.61981566820276,2.20276497695851,3.4055299539170325,2.753456221198147,2.9285714285714155,0.6958525345622157,4.639549664063914,3.6862175413110605,3.347255008776709,-2.4968222262574904,334.43,336.96,342.18,339.35,340.11,330.42
BA,2025-04-23,2025-04-23,BMO,162.46,174.0,176.58,169.91,172.34,7.10328696294472,11.539999999999992,MIXED,-26.8519,0.11005199306759195,0.24696707105719204,0.24956672443674155,0.15857885615251419,0.23136915077989756,0.21057192374350162,2.2977834513171684,3.1449460369037876,5.761866078681679,6.260879656492974,171.18,172.76,172.79,171.74,172.58,172.34
BA,2025-07-23,2025-07-23,BMO,228.25,230.32,235.27,229.31,233.57,0.9069003285870726,2.069999999999993,EARLY_HOLD,-22.2222,0.019323671497580762,0.44927536231884535,1.9806763285024191,2.014492753623189,1.792270531400976,2.057971014492756,-0.9889968745986223,-0.17553624181187508,1.1773772316650255,-3.27096801815301,229.62,230.24,233.41,233.48,233.02,233.57
BA,2025-10-22,2025-10-22,BMO,217.27,216.68,217.4,213.8,216.6,-0.2715515257513708,0.5900000000000034,LATE_REVERSAL,-8.7719,1.5254237288135601,0.13559322033900345,1.3050847457626735,2.6271186440677523,2.3728813559321513,4.745762711864351,0.540166204986157,2.188365650969533,2.9778393351800636,-1.3711911357340714,216.96,215.28,215.17,215.35,215.2,216.6
BA,2026-01-28,2026-01-28,BMO,244.5,244.09,245.86,237.1,241.69,-0.16768916155419084,0.4099999999999966,EARLY_HOLD,-22.0588,9.731707317073274,9.512195121951313,13.853658536585497,18.43902439024406,17.5365853658538,11.195121951219614,-3.1486615085439964,-3.2976126442964127,-3.587239852703872,-3.3307128966858417,241.09,241.0,242.78,244.66,244.29,241.69
BABA,2025-02-20,2025-02-20,BMO,123.66,135.49,142.07,129.19,133.71,9.566553453016345,11.830000000000013,MIXED,17.931,0.24429416737109144,0.1521555367709222,0.04395604395604477,0.30262045646661107,0.3558748943364331,0.38207945900253637,5.69890060578865,-5.137985191833075,-1.4509012040984202,0.47116894772268,138.08,136.99,131.18,132.77,133.4,133.71
BABA,2025-05-15,2025-05-15,BMO,131.71,124.11,124.19,120.58,121.86,-5.770252828183136,7.6000000000000085,MIXED,-0.8772,0.04078947368421078,0.05921052631578791,0.18421052631578816,0.08026315789473668,0.03421052631578824,0.16842105263157892,-0.36107008042015243,-0.7549647136057785,0.9929427211554192,-2.0105038568849523,121.88,121.32,122.19,121.4,121.05,121.86
BABA,2025-08-14,2025-08-14,BMO,126.96,123.73,123.93,121.34,122.25,-2.544108380592305,3.2299999999999898,MIXED,20.1754,0.23529411764706115,0.19195046439628685,0.19504643962848217,0.26625386996904093,0.24458204334365155,0.28173374613003077,-0.8261758691206587,-0.7034764826175864,-1.8159509202453978,-3.419222903885486,122.81,122.5,121.97,122.2,122.13,122.25
BABA,2025-11-14,2025-11-14,BMO,159.84,156.94,162.62,151.78,153.84,-1.8143143143143179,2.9000000000000057,EARLY_HOLD,14.6341,1.7310344827586208,1.7241379310344793,2.1793103448275892,2.168965517241382,0.34482758620689585,0.7103448275862063,2.5416016640665604,3.8221528861154415,3.328133125325016,-0.5915236609464356,160.66,160.64,161.96,161.93,153.32,153.84
BABA,2026-02-19,2026-02-19,BMO,155.77,155.22,155.5,153.15,154.31,-0.35308467612506345,0.5500000000000114,EARLY_HOLD,13.7681,0.7818181818181781,1.890909090909089,1.0181818181818012,0.12727272727276392,0.20000000000002066,2.109090909090859,0.14905061240359652,-0.9979910569632506,-0.7582139848357307,-4.069729764759251,154.47,155.08,154.6,154.11,153.78,154.31
