entry,exit,stop,N,mean_gross,mean_net_3bps,mean_net_5bps,median,wr,pf,pct25,pct5,best,worst,stops_hit
C2,X1_D1_open,B_with_stop,17,-0.006256,-0.006856,-0.007256,-0.01428,0.2941,0.75,-0.042438,-0.080003,0.142835,-0.080003,8
C2,X2_D1_close,A_no_stop,17,0.00137,0.00077,0.00037,-0.00711,0.3529,1.07,-0.043621,-0.070664,0.110071,-0.070664,0
C2,X2_D1_close,B_with_stop,17,-0.010127,-0.010727,-0.011127,-0.012979,0.2941,0.61,-0.048348,-0.080003,0.092404,-0.080003,9
C2,X3_D2_close,A_no_stop,17,-0.019768,-0.020368,-0.020768,-0.007584,0.4118,0.34,-0.062231,-0.129361,0.080781,-0.129361,0
C2,X3_D2_close,B_with_stop,17,-0.027731,-0.028331,-0.028731,-0.040753,0.2941,0.15,-0.056749,-0.08945,0.052896,-0.08945,13
C2,X4_D3_close,A_no_stop,17,-0.004946,-0.005546,-0.005946,-0.01092,0.3529,0.85,-0.059786,-0.111022,0.224745,-0.111022,0
C2,X4_D3_close,B_with_stop,17,-0.02555,-0.02615,-0.02655,-0.040753,0.2353,0.24,-0.056749,-0.08945,0.044781,-0.08945,13
C2,X5_D5_close,A_no_stop,17,-0.023611,-0.024211,-0.024611,-0.018249,0.3529,0.53,-0.090505,-0.232851,0.145826,-0.232851,0
C2,X5_D5_close,B_with_stop,17,-0.026297,-0.026897,-0.027297,-0.042438,0.2353,0.33,-0.060415,-0.08945,0.145826,-0.08945,14
C3,X0_D0_close,A_no_stop,13,-0.015276,-0.015876,-0.016276,-0.016848,0.0769,0.14,-0.026625,-0.032218,0.031162,-0.032218,0
C3,X0_D0_close,B_with_stop,13,-0.021392,-0.021992,-0.022392,-0.018718,0.0,0.0,-0.02832,-0.048348,-0.00574,-0.048348,1
C3,X1_D1_open,A_no_stop,13,0.002891,0.002291,0.001891,-0.03083,0.3846,1.11,-0.042438,-0.080003,0.142835,-0.080003,0
C3,X1_D1_open,B_with_stop,13,-0.008893,-0.009493,-0.009893,-0.039348,0.3077,0.72,-0.048348,-0.080003,0.142835,-0.080003,4
C3,X2_D1_close,A_no_stop,13,0.000951,0.000351,-4.9e-05,-0.013202,0.3846,1.04,-0.051013,-0.070664,0.110071,-0.070664,0
C3,X2_D1_close,B_with_stop,13,-0.014083,-0.014683,-0.015083,-0.040753,0.3077,0.57,-0.051013,-0.080003,0.092404,-0.080003,5
C3,X3_D2_close,A_no_stop,13,-0.027626,-0.028226,-0.028626,-0.017089,0.3077,0.28,-0.063687,-0.129361,0.080781,-0.129361,0
C3,X3_D2_close,B_with_stop,13,-0.038039,-0.038639,-0.039039,-0.043853,0.1538,0.1,-0.060415,-0.08945,0.052896,-0.08945,9
C3,X4_D3_close,A_no_stop,13,-0.005363,-0.005963,-0.006363,-0.045772,0.3846,0.87,-0.0639,-0.111022,0.224745,-0.111022,0
C3,X4_D3_close,B_with_stop,13,-0.032306,-0.032906,-0.033306,-0.043853,0.2308,0.21,-0.060415,-0.08945,0.044781,-0.08945,9
C3,X5_D5_close,A_no_stop,13,-0.02827,-0.02887,-0.02927,-0.022483,0.3846,0.53,-0.090976,-0.232851,0.145826,-0.232851,0
C3,X5_D5_close,B_with_stop,13,-0.031783,-0.032383,-0.032783,-0.048348,0.2308,0.32,-0.063299,-0.08945,0.145826,-0.08945,10
E1,X0_D0_close,A_no_stop,13,-0.021015,-0.021615,-0.022015,-0.020454,0.0769,0.02,-0.029016,-0.040398,0.004429,-0.040398,0
E1,X0_D0_close,B_with_stop,13,-0.026834,-0.027434,-0.027834,-0.020562,0.0769,0.01,-0.03126,-0.094663,0.004429,-0.094663,1
E1,X1_D1_open,A_no_stop,13,-0.003187,-0.003787,-0.004187,-0.029052,0.3846,0.89,-0.048157,-0.085522,0.145526,-0.085522,0
E1,X1_D1_open,B_with_stop,13,-0.014398,-0.014998,-0.015398,-0.034177,0.3077,0.59,-0.051024,-0.094663,0.145526,-0.094663,4
E1,X2_D1_close,A_no_stop,13,-0.005195,-0.005795,-0.006195,-0.020818,0.3846,0.81,-0.045418,-0.07624,0.094976,-0.07624,0
E1,X2_D1_close,B_with_stop,13,-0.019615,-0.020215,-0.020615,-0.043313,0.3077,0.47,-0.048157,-0.094663,0.094976,-0.094663,5
E1,X3_D2_close,A_no_stop,13,-0.033524,-0.034124,-0.034524,-0.023872,0.3077,0.16,-0.066921,-0.134585,0.045503,-0.134585,0
E1,X3_D2_close,B_with_stop,13,-0.043453,-0.044053,-0.044453,-0.048157,0.1538,0.08,-0.072094,-0.094663,0.045503,-0.094663,9
E1,X4_D3_close,A_no_stop,13,-0.01123,-0.01183,-0.01223,-0.047565,0.3846,0.73,-0.071473,-0.116355,0.22763,-0.116355,0
E1,X4_D3_close,B_with_stop,13,-0.037676,-0.038276,-0.038676,-0.048157,0.2308,0.19,-0.072094,-0.094663,0.054473,-0.094663,9
E1,X5_D5_close,A_no_stop,13,-0.033976,-0.034576,-0.034976,-0.02432,0.3846,0.46,-0.097359,-0.242387,0.141623,-0.242387,0
E1,X5_D5_close,B_with_stop,13,-0.037117,-0.037717,-0.038117,-0.05704,0.2308,0.29,-0.085522,-0.094663,0.141623,-0.094663,10
E2,X0_D0_close,A_no_stop,7,-0.021589,-0.022189,-0.022589,-0.020877,0.0,0.0,-0.030284,-0.034178,-0.00744,-0.034178,0
E2,X0_D0_close,B_with_stop,7,-0.032326,-0.032926,-0.033326,-0.020877,0.0,0.0,-0.034178,-0.100442,-0.00744,-0.100442,1
E2,X1_D1_open,A_no_stop,7,-0.022894,-0.023494,-0.023894,-0.040525,0.2857,0.3,-0.052264,-0.056833,0.044374,-0.056833,0
E2,X1_D1_open,B_with_stop,7,-0.043583,-0.044183,-0.044583,-0.044545,0.1429,0.07,-0.056833,-0.100442,0.024068,-0.100442,2
E2,X2_D1_close,A_no_stop,7,-0.026075,-0.026675,-0.027075,-0.045725,0.2857,0.26,-0.054617,-0.05612,0.049305,-0.05612,0
E2,X2_D1_close,B_with_stop,7,-0.047486,-0.048086,-0.048486,-0.049116,0.1429,0.04,-0.057432,-0.100442,0.015437,-0.100442,3
E2,X3_D2_close,A_no_stop,7,-0.041665,-0.042265,-0.042665,-0.064295,0.2857,0.07,-0.078394,-0.086395,0.021618,-0.086395,0
E2,X3_D2_close,B_with_stop,7,-0.053408,-0.054008,-0.054408,-0.057432,0.1429,0.0,-0.08763,-0.100442,0.00137,-0.100442,5
E2,X4_D3_close,A_no_stop,7,-0.023036,-0.023636,-0.024036,-0.047872,0.2857,0.37,-0.062029,-0.074606,0.051138,-0.074606,0
E2,X4_D3_close,B_with_stop,7,-0.046398,-0.046998,-0.047398,-0.057432,0.1429,0.11,-0.08763,-0.100442,0.042013,-0.100442,5
E2,X5_D5_close,A_no_stop,7,-0.032247,-0.032847,-0.033247,-0.024634,0.4286,0.29,-0.093984,-0.120194,0.047661,-0.120194,0
E2,X5_D5_close,B_with_stop,7,-0.044521,-0.045121,-0.045521,-0.057432,0.2857,0.13,-0.08763,-0.100442,0.042363,-0.100442,5
E3,X0_D0_close,A_no_stop,13,-0.015276,-0.015876,-0.016276,-0.016848,0.0769,0.14,-0.026625,-0.032218,0.031162,-0.032218,0
E3,X0_D0_close,B_with_stop,13,-0.021392,-0.021992,-0.022392,-0.018718,0.0,0.0,-0.02832,-0.048348,-0.00574,-0.048348,1
E3,X1_D1_open,A_no_stop,13,0.002891,0.002291,0.001891,-0.03083,0.3846,1.11,-0.042438,-0.080003,0.142835,-0.080003,0
E3,X1_D1_open,B_with_stop,13,-0.008893,-0.009493,-0.009893,-0.039348,0.3077,0.72,-0.048348,-0.080003,0.142835,-0.080003,4
E3,X2_D1_close,A_no_stop,13,0.000951,0.000351,-4.9e-05,-0.013202,0.3846,1.04,-0.051013,-0.070664,0.110071,-0.070664,0
E3,X2_D1_close,B_with_stop,13,-0.014083,-0.014683,-0.015083,-0.040753,0.3077,0.57,-0.051013,-0.080003,0.092404,-0.080003,5
E3,X3_D2_close,A_no_stop,13,-0.027626,-0.028226,-0.028626,-0.017089,0.3077,0.28,-0.063687,-0.129361,0.080781,-0.129361,0
E3,X3_D2_close,B_with_stop,13,-0.038039,-0.038639,-0.039039,-0.043853,0.1538,0.1,-0.060415,-0.08945,0.052896,-0.08945,9
E3,X4_D3_close,A_no_stop,13,-0.005363,-0.005963,-0.006363,-0.045772,0.3846,0.87,-0.0639,-0.111022,0.224745,-0.111022,0
E3,X4_D3_close,B_with_stop,13,-0.032306,-0.032906,-0.033306,-0.043853,0.2308,0.21,-0.060415,-0.08945,0.044781,-0.08945,9
E3,X5_D5_close,A_no_stop,13,-0.02827,-0.02887,-0.02927,-0.022483,0.3846,0.53,-0.090976,-0.232851,0.145826,-0.232851,0
E3,X5_D5_close,B_with_stop,13,-0.031783,-0.032383,-0.032783,-0.048348,0.2308,0.32,-0.063299,-0.08945,0.145826,-0.08945,10
