ticker,sector,entry_day,entry_bar,entry_price,exit_day,exit_bar,exit_price,return_pct,bars_held,exit_reason,pullback_depth,rs_rank,vix_at_entry
META,mega_tech,2025-06-17,2,696.2,2025-06-18,2,694.36,-0.2643,2,EMA9_BREAK,1,6,19.11
AMD,growth_semi,2025-06-18,1,126.53,2025-06-25,1,143.34,13.2854,8,HARD_MAX,1,4,19.11
COIN,crypto_proxy,2025-06-25,2,355.27,2025-07-01,1,337.7,-4.9455,7,EMA9_BREAK,1,1,17.48
PLTR,growth_semi,2025-06-25,2,142.89,2025-06-27,1,140.06,-1.9805,3,EMA9_BREAK,1,4,17.48
AMD,growth_semi,2025-06-26,2,143.73,2025-07-01,1,137.07,-4.6337,5,EMA9_BREAK,1,3,16.76
AVGO,growth_semi,2025-06-26,1,267.77,2025-07-01,1,264.9,-1.0718,6,EMA9_BREAK,1,7,17.48
MU,growth_semi,2025-06-26,2,125.77,2025-06-27,1,124.18,-1.2642,1,EMA9_BREAK,1,2,16.76
TSM,growth_semi,2025-06-26,1,223.13,2025-07-02,1,231.26,3.6436,8,HARD_MAX,1,6,17.48
NVDA,mega_tech,2025-06-27,1,157.47,2025-07-01,1,154.26,-2.0385,4,EMA9_BREAK,1,5,16.76
GS,finance,2025-06-30,1,695.94,2025-07-07,1,700.29,0.6251,8,HARD_MAX,1,5,16.59
C,finance,2025-07-07,1,86.11,2025-07-08,1,84.77,-1.5561,2,EMA9_BREAK,1,6,16.64
NVDA,mega_tech,2025-07-08,1,159.57,2025-07-14,1,165.06,3.4405,8,HARD_MAX,1,7,16.38
AMD,growth_semi,2025-07-09,1,138.53,2025-07-15,1,155.53,12.2717,8,HARD_MAX,1,2,17.79
MARA,crypto_proxy,2025-07-09,2,18.45,2025-07-15,2,18.75,1.626,8,EMA9_BREAK,1,6,16.81
TSM,growth_semi,2025-07-09,1,231.08,2025-07-10,1,228.73,-1.017,2,EMA9_BREAK,2,7,17.79
TXN,other,2025-07-09,1,211.31,2025-07-15,1,213.72,1.1405,8,EMA9_BREAK,1,6,17.79
AVGO,growth_semi,2025-07-10,2,274.37,2025-07-11,1,272.89,-0.5394,1,EMA9_BREAK,1,6,15.94
COIN,crypto_proxy,2025-07-11,2,387.06,2025-07-17,2,410.47,6.0482,8,HARD_MAX,1,1,15.78
BA,finance,2025-07-14,2,230.45,2025-07-18,1,228.34,-0.9156,7,EMA9_BREAK,2,6,16.4
IBIT,other,2025-07-14,2,68.18,2025-07-18,1,67.04,-1.672,7,EMA9_BREAK,1,7,16.4
C,finance,2025-07-16,2,88.46,2025-07-22,2,92.36,4.4088,8,HARD_MAX,1,5,17.38
NVDA,mega_tech,2025-07-16,2,171.32,2025-07-22,1,168.25,-1.792,7,EMA9_BREAK,1,4,17.38
AMD,growth_semi,2025-07-17,2,160.41,2025-07-22,1,154.41,-3.7404,5,EMA9_BREAK,1,3,17.16
MARA,crypto_proxy,2025-07-17,1,19.77,2025-07-21,1,19.17,-3.0349,4,EMA9_BREAK,1,2,17.38
AVGO,growth_semi,2025-07-18,1,282.38,2025-07-22,1,279.28,-1.0978,4,EMA9_BREAK,1,7,17.16
COIN,crypto_proxy,2025-07-18,2,419.77,2025-07-22,1,406.2,-3.2327,3,EMA9_BREAK,1,1,16.52
BA,finance,2025-07-22,1,229.55,2025-07-22,2,228.25,-0.5663,1,EMA9_BREAK,1,6,16.41
GOOGL,mega_tech,2025-07-22,2,191.05,2025-07-28,2,192.25,0.6281,8,HARD_MAX,1,5,16.65
NVDA,mega_tech,2025-07-23,2,170.81,2025-07-29,2,175.49,2.7399,8,HARD_MAX,1,4,16.5
C,finance,2025-07-24,2,93.74,2025-07-29,1,93.15,-0.6294,5,EMA9_BREAK,1,2,15.37
AMD,growth_semi,2025-07-25,1,166.09,2025-07-31,1,177.42,6.8216,8,HARD_MAX,1,4,15.37
BA,finance,2025-07-25,1,231.84,2025-07-29,1,228.37,-1.4967,4,EMA21_BREAK,2,1,15.37
IBIT,other,2025-07-28,2,67.1,2025-07-29,1,66.99,-0.1639,1,EMA9_BREAK,1,6,14.93
PLTR,growth_semi,2025-07-28,2,157.89,2025-08-01,1,156.11,-1.1274,7,EMA9_BREAK,1,1,14.93
C,finance,2025-07-30,1,93.97,2025-07-31,1,92.73,-1.3196,2,EMA9_BREAK,2,5,15.03
IBIT,other,2025-07-30,1,66.94,2025-07-30,2,66.38,-0.8366,1,EMA21_BREAK,2,6,15.03
MSFT,mega_tech,2025-07-31,2,530.47,2025-08-05,2,524.65,-1.0971,6,EMA9_BREAK,1,6,15.48
NVDA,mega_tech,2025-07-31,2,177.83,2025-08-01,1,173.09,-2.6655,1,EMA21_BREAK,1,3,15.48
META,mega_tech,2025-08-01,1,747.73,2025-08-07,1,763.73,2.1398,8,HARD_MAX,1,7,15.48
NVDA,mega_tech,2025-08-05,2,178.24,2025-08-11,2,182.06,2.1432,8,HARD_MAX,1,4,17.52
AVGO,growth_semi,2025-08-06,1,298.99,2025-08-12,1,308.32,3.1205,8,HARD_MAX,2,6,17.52
GOOGL,mega_tech,2025-08-06,1,195.55,2025-08-12,1,203.23,3.9274,8,HARD_MAX,1,3,17.52
PLTR,growth_semi,2025-08-07,2,182.16,2025-08-13,2,184.32,1.1858,8,HARD_MAX,1,1,16.77
AMD,growth_semi,2025-08-08,2,172.78,2025-08-14,2,180.93,4.717,8,HARD_MAX,1,2,16.57
AAPL,mega_tech,2025-08-12,1,229.34,2025-08-18,1,230.63,0.5625,8,HARD_MAX,1,7,15.15
AVGO,growth_semi,2025-08-13,2,307.97,2025-08-15,1,300.43,-2.4483,3,EMA21_BREAK,1,6,14.73
GOOGL,mega_tech,2025-08-13,1,202.33,2025-08-19,1,200.57,-0.8699,8,EMA9_BREAK,1,3,16.25
META,mega_tech,2025-08-13,1,783.78,2025-08-18,1,765.22,-2.368,6,EMA21_BREAK,1,5,16.25
AAPL,mega_tech,2025-08-19,1,230.18,2025-08-20,1,225.86,-1.8768,2,EMA21_BREAK,2,4,15.09
AAPL,mega_tech,2025-08-25,1,228.0,2025-08-25,2,226.72,-0.5614,1,EMA9_BREAK,1,4,16.6
BIDU,china_adr,2025-08-25,2,91.92,2025-08-27,1,89.55,-2.5783,3,EMA21_BREAK,2,7,14.22
GOOGL,mega_tech,2025-08-25,1,209.24,2025-08-29,1,211.29,0.9797,8,HARD_MAX,1,3,16.6
TSLA,growth_semi,2025-08-26,1,347.1,2025-08-28,1,343.46,-1.0487,4,EMA9_BREAK,1,3,14.22
BA,finance,2025-08-27,2,235.62,2025-09-03,1,231.14,-1.9014,7,EMA21_BREAK,1,7,14.62
AAPL,mega_tech,2025-08-29,1,231.59,2025-09-02,1,227.97,-1.5631,2,EMA21_BREAK,1,3,14.85
SNOW,other,2025-08-29,1,237.33,2025-09-04,1,222.35,-6.3119,6,EMA9_BREAK,1,6,14.85
BABA,china_adr,2025-09-02,1,137.24,2025-09-04,1,131.33,-4.3063,4,EMA9_BREAK,1,2,14.43
BIDU,china_adr,2025-09-02,1,95.38,2025-09-08,1,108.0,13.2313,8,HARD_MAX,1,7,14.43
