spec,ticker,earnings_date,abnormal_gap_pct,entry,exit,direction,return_pct,hold_days,eps_surprise_pct,revenue_surprise_pct
C,AMZN,2025-07-31,-6.304364251672911,217.3999938964844,221.3000030517578,-1,-1.7939325044923455,5,,
C,AMZN,2025-10-30,11.4565525590127,255.3600006103516,248.3999938964844,1,-2.725566532437206,5,,
C,AMZN,2026-02-05,-9.543291774033705,208.97000122070312,201.1499938964844,-1,3.7421674300320458,5,,
C,AVGO,2024-12-12,18.0566518548381,228.62081970361243,229.78717041015625,1,0.510168193804877,5,,
C,AVGO,2025-03-06,4.930126788888607,187.50871660024785,192.35467529296875,1,2.5843911582265577,5,,
C,AVGO,2025-09-04,15.866409729912004,340.795407358246,362.01373291015625,1,6.226118396485735,5,,
C,AVGO,2025-12-11,-6.353903189201804,360.44279831550426,340.7352600097656,-1,5.467591084588172,5,,
C,BA,2025-01-28,3.3025145696437046,179.1300048828125,181.83999633789065,1,1.5128629382057124,5,,
C,BA,2025-04-23,4.564004489527445,171.1999969482422,182.88999938964844,1,6.828272575811094,5,,
C,BABA,2025-02-20,9.782398629174747,139.24648918821111,130.30755615234375,1,-6.419503348328694,5,,
C,BABA,2025-05-15,-5.480698827029705,123.689421067296,118.72335815429688,-1,4.014945554880739,5,,
C,BABA,2025-08-14,-2.14163502969151,120.9800033569336,122.94000244140624,-1,-1.620101694566791,5,,
C,BIDU,2024-11-21,-5.217340247854387,79.41000366210938,86.5199966430664,-1,-8.95352304882159,5,,
C,BIDU,2026-02-26,-2.6195756473334,125.98999786376952,119.0500030517578,-1,5.5083696560704745,5,,
C,C,2025-01-15,2.2752808501981034,75.33633942211274,78.86939239501953,1,4.689706189613143,5,,
C,COIN,2024-10-30,-3.0156982789178497,180.0,270.739990234375,-1,-50.41110568576389,5,,
C,COIN,2025-02-13,-3.419080158576186,278.79998779296875,212.4900054931641,-1,23.78406929811099,5,,
C,COIN,2026-02-12,8.875916424372551,162.47999572753906,162.02999877929688,1,-0.27695529300528937,5,,
C,COST,2025-03-06,-2.7493517079528456,950.2621652472548,911.6139526367188,-1,4.067110532647575,5,,
C,COST,2025-09-25,-2.104610689873979,913.7971249925124,908.4120483398438,-1,0.5893076816927809,5,,
C,GOOGL,2024-10-29,6.56528701150184,172.1360161042455,179.71224975585938,1,4.401306491853345,5,,
C,GOOGL,2025-02-04,-7.228900155826716,188.62793494754752,185.28343200683597,-1,1.7730687353607346,5,,
C,GOOGL,2025-04-24,3.642452290886669,161.86871096281394,163.642578125,1,1.0958678497128298,5,,
C,GS,2024-10-15,3.024083378362248,514.1337479291519,501.7169799804688,1,-2.415085179429645,5,,
C,GS,2025-01-15,3.2332588687102106,594.6606575113457,620.8944091796875,1,4.411549904466532,5,,
C,MARA,2024-11-12,-3.685558680380244,22.479999542236328,24.18000030517578,-1,-7.562281127921837,5,,
C,MARA,2025-11-06,-3.2133726049409623,16.559999465942383,11.510000228881836,-1,30.495165458467998,5,,
C,META,2025-01-29,2.6479551822616325,688.2386375622425,711.6646728515625,1,3.4037663698009704,5,,
C,META,2025-04-30,6.795671437273757,581.6454434907807,590.6473388671875,1,1.5476602588651496,5,,
C,META,2025-07-30,10.717783641181988,758.9476005405788,767.49755859375,1,1.1265544613463765,5,,
C,META,2025-10-29,-10.470487768915621,673.383812052831,620.6719360351562,-1,7.8279095924478765,5,,
C,META,2026-01-28,10.133716440351149,726.8776752394725,660.8941650390625,1,-9.07766360807154,5,,
C,MSFT,2024-10-30,-3.2024189735355697,404.2810743649744,417.6546936035156,-1,-3.3080003211992692,5,,
C,MSFT,2025-01-29,-5.683603114097252,414.964783031506,405.8232116699219,-1,2.2029752247409498,5,,
C,MSFT,2025-04-30,8.018646113792586,428.4598480759583,435.3967590332031,1,1.6190340794815954,5,,
C,MU,2024-12-18,-14.167719152444889,84.98484117003596,84.99561309814453,-1,-0.012675117068249388,5,,
C,MU,2025-09-24,-2.1934609182031366,158.29033372202,187.67530822753903,-1,-18.56397280526502,5,,
