ticker,earnings_date,time_of_day,eps_surprise_pct,prior_close,open_price,gap_pct,gap_direction,entry_day,first_4h_open,first_4h_high,first_4h_low,first_4h_close,gap_midpoint,first_bar_holds
MARA,2025-11-06,AMC,1.3699,15.96,15.39,-3.5714,SHORT,2025-11-07,15.39,15.52,14.8,15.29,15.675,True
MARA,2026-02-25,AMC,-15.2174,8.59,8.43,-1.8626,SHORT,2026-02-26,8.43,8.65,8.14,8.15,8.51,True
META,2025-04-30,AMC,6.1224,546.18,590.75,8.1603,LONG,2025-05-01,590.75,591.62,569.22,572.46,568.465,True
META,2025-07-30,AMC,25.625,694.59,774.04,11.4384,LONG,2025-07-31,774.04,783.58,764.37,774.53,734.315,True
META,2025-10-29,AMC,-12.6984,751.39,668.61,-11.0169,SHORT,2025-10-30,668.61,680.41,649.64,677.65,710.0,True
META,2026-01-28,AMC,0.0,668.86,737.43,10.2518,LONG,2026-01-29,737.43,744.0,712.55,735.13,703.145,True
MSFT,2025-04-30,AMC,8.8372,389.35,427.82,9.8806,LONG,2025-05-01,427.82,433.66,424.38,425.81,408.585,True
MSFT,2025-07-29,AMC,21.0526,509.97,512.18,0.4334,LONG,2025-07-30,512.18,512.95,507.7,509.92,511.075,False
MSFT,2025-10-28,AMC,13.1206,539.75,542.67,0.541,LONG,2025-10-29,542.67,543.99,534.49,536.58,541.21,False
MSFT,2026-01-27,AMC,21.2598,479.49,482.11,0.5464,LONG,2026-01-28,482.11,482.64,476.91,477.74,480.8,False
MU,2025-03-19,AMC,22.8216,101.71,101.25,-0.4523,SHORT,2025-03-20,101.25,104.35,101.02,102.53,101.48,False
MU,2025-06-25,AMC,13.8298,127.24,129.28,1.6033,LONG,2025-06-26,129.28,129.6,123.87,124.1,128.26,False
MU,2025-09-24,AMC,5.914,161.55,157.23,-2.6741,SHORT,2025-09-25,157.23,158.79,155.19,155.58,159.39,True
MU,2025-12-17,AMC,12.6437,225.55,256.43,13.691,LONG,2025-12-18,256.43,263.55,246.1,256.8,240.99,True
NVDA,2025-02-26,AMC,3.0075,131.48,134.96,2.6468,LONG,2025-02-27,134.96,134.97,125.25,127.58,133.22,False
NVDA,2025-05-28,AMC,20.0,134.79,142.22,5.5123,LONG,2025-05-29,142.22,143.46,139.26,139.84,138.505,True
NVDA,2025-08-27,AMC,-24.0,181.58,180.8,-0.4296,SHORT,2025-08-28,180.8,184.45,176.39,179.9,181.19,True
NVDA,2025-11-19,AMC,0.0,186.76,195.94,4.9154,LONG,2025-11-20,195.94,195.99,181.71,184.51,191.35,False
NVDA,2026-02-26,AMC,18.8976,184.86,181.24,-1.9582,SHORT,2026-02-27,181.24,182.58,178.64,178.96,183.05,True
PLTR,2025-02-03,AMC,-16.6667,83.92,102.8,22.4976,LONG,2025-02-04,102.8,106.91,100.51,102.49,93.36,True
PLTR,2025-05-05,AMC,0.0,123.97,112.71,-9.0828,SHORT,2025-05-06,112.71,113.91,105.32,107.3,118.34,True
PLTR,2025-08-04,AMC,27.2727,160.74,171.81,6.8869,LONG,2025-08-05,171.81,176.33,169.22,171.95,166.275,True
PLTR,2025-11-03,AMC,11.1111,207.51,192.07,-7.4406,SHORT,2025-11-04,192.07,195.7,185.56,189.7,199.79,True
PLTR,2026-02-09,AMC,30.7692,137.65,144.96,5.3106,LONG,2026-02-10,144.96,145.56,139.59,139.66,141.305,False
SNOW,2025-02-26,AMC,0.0,166.15,187.01,12.5549,LONG,2025-02-27,187.01,187.95,176.5,181.11,176.58,True
SNOW,2025-05-21,AMC,5.2632,179.1,192.0,7.2027,LONG,2025-05-22,192.0,201.18,191.99,198.24,185.55,True
SNOW,2025-08-20,AMC,-20.0,194.83,192.81,-1.0368,SHORT,2025-08-21,192.81,195.29,191.24,194.08,193.82,False
SNOW,2025-11-19,AMC,0.0,252.95,258.6,2.2336,LONG,2025-11-20,258.6,262.25,247.7,251.38,255.775,False
SNOW,2026-02-25,AMC,0.0,169.36,178.44,5.3614,LONG,2026-02-26,178.44,184.42,167.2,168.91,173.9,False
TSLA,2025-04-22,AMC,17.9487,238.15,254.86,7.0166,LONG,2025-04-23,254.86,259.45,244.43,255.97,246.505,True
TSLA,2025-07-22,AMC,0.0,332.08,330.9,-0.3553,SHORT,2025-07-23,330.9,336.2,328.67,330.86,331.49,True
TSLA,2025-10-21,AMC,6.25,442.5,443.45,0.2147,LONG,2025-10-22,443.45,445.54,429.0,432.92,442.975,False
TSLA,2026-01-27,AMC,7.2289,430.91,431.91,0.2321,LONG,2026-01-28,431.91,438.26,431.2,434.82,431.41,True
TSM,2025-04-17,AMC,1.3793,150.18,148.62,-1.0388,SHORT,2025-04-21,148.62,148.9,144.5,145.49,149.4,True
TSM,2025-07-17,AMC,21.3559,243.88,243.91,0.0123,LONG,2025-07-18,243.91,244.57,237.33,240.12,243.895,False
TSM,2025-10-16,AMC,-13.1313,299.11,297.62,-0.4981,SHORT,2025-10-17,297.62,302.51,294.15,295.72,298.365,True
TSM,2026-01-15,AMC,28.4672,341.82,346.51,1.3721,LONG,2026-01-16,346.51,349.85,341.46,342.48,344.165,False
TXN,2025-04-22,AMC,-1.0471,142.22,148.45,4.3805,LONG,2025-04-23,148.45,150.56,146.64,149.44,145.335,True
TXN,2025-07-22,AMC,-1.2048,210.04,190.5,-9.303,SHORT,2025-07-23,190.5,190.6,183.29,185.1,200.27,True
TXN,2025-10-21,AMC,1.5707,178.29,161.47,-9.4341,SHORT,2025-10-22,161.47,170.45,160.56,165.73,169.88,True
TXN,2026-01-27,AMC,6.0302,195.5,202.53,3.5959,LONG,2026-01-28,202.53,214.72,202.39,213.93,199.015,True
V,2025-04-29,AMC,1.7007,338.72,331.97,-1.9928,SHORT,2025-04-30,331.97,341.54,330.78,339.82,335.345,False
V,2025-07-29,AMC,-6.0606,350.79,349.68,-0.3164,SHORT,2025-07-30,349.68,354.57,345.23,350.82,350.235,False
V,2025-10-28,AMC,0.4065,345.86,344.61,-0.3614,SHORT,2025-10-29,344.61,349.57,339.25,341.3,345.235,True
V,2026-01-29,AMC,1.6502,330.57,331.54,0.2934,LONG,2026-01-30,331.54,332.32,321.05,323.33,331.055,False
