,AAPL,AMD,AMZN,AVGO,BA,BABA,BIDU,C,COIN,COST,GOOGL,GS,IBIT,JPM,MARA,META,MSFT,MU,NVDA,PLTR,SNOW,TSLA,TSM,TXN,V,SPY
2025-12-10,-0.003271733659308107,0.003563373928732627,0.012442091330244764,0.016163441507918597,-0.022620261152371257,0.017027062022530126,0.003821656050955413,0.004789095597715898,0.014633247327681342,-0.0007552955234649827,0.011599218174244585,0.01177767463448598,0.018908382066276985,-0.04326356366880113,0.0235294117647058,-0.015997945495196175,-0.011979720336904087,0.03985091743119251,-0.006806731696859303,0.028912983041423423,-0.006711409395973145,0.02542703198440921,0.021584662823434853,-0.011080795144495892,-0.0001530971554547511,0.006456303915408856
2025-12-11,0.006564946073657207,-0.019821115555755275,0.004401446812219323,0.004939857238125844,-0.01216786689843552,-0.008211853077853437,0.011342005076142136,0.013565536205316198,-0.024049115413957267,-0.01310920577617325,0.011307845807861705,0.014851769023453087,-0.02180983355653343,0.025074090106889546,-0.04515599343185539,-0.011345318329060272,-0.017690875232774683,0.02398676592224991,-0.023636069289298955,0.0007025128343691733,-0.03297297297297297,0.0008496556658617038,-0.0019028871391075786,0.014808558558558449,0.008237888160715467,0.002451081942378641
2025-12-12,-0.004586991578570232,0.005869405722670695,0.0009545296771953371,-0.059109789367611354,0.009100050276520832,0.012195121951219301,0.016547721747314004,0.022246337493217583,0.014368136981202317,0.009693865886279962,-0.021454522676020993,0.024183523561984277,0.02542538627029134,0.02637733887733895,0.018056749785038573,0.012733314699214127,0.016050552922590944,-0.01242403261789371,0.0,0.008100226806350586,0.02552636482206072,0.0015414860819444876,-0.0019065150220236582,0.0013871164622982768,0.047687027306138496,-0.01077419566095339
2025-12-13,7.200201605650491e-05,,-0.019549198092761122,,,-0.01743817374762202,,,-0.0198524824777071,,-0.011650609736580941,,,,,-0.014014535864331878,-0.01084229947965254,,-0.031669706516332385,,,0.01764404095380434,,,,
2025-12-15,0.003167860614132989,-0.03163749088256762,0.006012644237145759,-0.06282325897288543,0.022569876936874067,-0.01129396579541786,-0.058555778429254746,-0.007519462137296595,0.00026207412953938025,-0.005626882231732466,0.007869425823375131,-0.015403288094449907,-0.03185199313370213,0.009463223192809345,-0.03124999999999989,0.0023171186862402937,0.0018652806304229053,-0.033962999026290186,0.011643835616438558,-0.011142061281337101,-0.007539970930232509,0.02994169479637021,-0.028784086418126797,-0.04044769503546086,0.010436900240628377,-0.0014963311860076711
2025-12-16,-0.019234219686367404,-0.025421335090857644,-0.020391122830147324,-0.06316024193773162,-0.0010231923601637938,-0.03198433420365521,-0.02163402442022455,0.0,-0.05812778380806238,-0.020870099853123603,-0.013334618597776626,-0.008472107044400157,-0.03427895981087459,-0.0024141715002350406,-0.06538796861377505,-0.0012412145284159681,-0.012656109449197706,-0.049348869088416736,-0.0030467163168585998,-0.017443120260021705,-0.02347826086956517,0.003745637183961925,-0.024245506951508955,0.023617045848250307,-0.0041029466616933075,-0.0027030606939230095
2025-12-17,0.005634627346236876,0.01767945126074766,0.008927369790498352,0.021064532444735384,0.014339364970979762,0.016655428186109322,0.02688667392578936,-0.008022105356983666,0.01613415991098388,-0.0007558491092609643,0.0026378350213307478,-0.005289450484866287,0.01427988576091388,-0.007260041485951385,0.006529850746268551,0.02154630046758732,0.010445357854146353,0.0036473132872472114,0.0038483305036784987,0.040522659609659284,0.03904016497164542,0.03515393096429498,0.0036142484795831376,-0.003779545326338396,-0.004552002304811453,-0.011136283891841625
2025-12-18,-0.010150991449881852,-0.03431744826276828,-0.0005780346820809523,-0.026195401963926668,-0.0009616771649756384,-0.01426013132586057,-0.007504078303425699,0.004223200646958469,-0.009073132577238963,0.0,-0.020657398986618225,-0.0019202363367799569,0.0138777152051488,6.331718745045123e-05,-0.05004633920296564,-0.0038017031630169784,0.003816233670923319,0.09085146841326841,-0.020577291690156763,-0.03565940761935038,-0.011276499774469984,-0.022407930850846025,-0.014335676443090306,-0.005492638731596777,-0.0035598518175502525,0.007716411818455171
2025-12-19,-0.0030140410203631784,-0.0018186286556892695,0.01250166837211375,-0.009335727109515246,0.005101795254367714,0.006324855335755553,0.007067718606180051,0.006442376521116566,-0.033072855000394696,-0.004759632728584484,0.004344653754311478,-0.0011270363497682956,-0.010117040269787658,-0.012630979138307685,-0.03609756097560968,0.013585712105022019,0.011050069976813681,-0.025372845245012488,0.01249064640534181,0.026263736263736348,0.017062043795620374,0.021119678176332535,0.0025645529597753125,0.002562204634743548,0.0035435243544685857,0.009022178502886335
2025-12-20,0.007004866538858456,,0.0012742771772562556,,,0.002607649104038323,,,0.004489795918367401,,0.01624673909454155,,,,,-0.0032680722891565983,0.0033263088302135646,,0.03115406480955074,,,-0.009664313854235163,,,,
2025-12-22,-0.00025627883136847274,0.07346858380933607,0.004037389739763864,0.04367524465386019,0.03112579610209254,0.002334111370456915,0.013546597029541418,0.017425320056899007,0.02242990654205612,-0.003168775285891434,0.005621445978879036,0.016571311344624196,0.02204408817635284,0.01635139467778135,0.055668016194331926,0.00024175392472391977,0.0016679364948624098,0.0966216216216218,0.01626419671408108,0.04202805439554558,0.0058311653359648385,0.010587382160986314,0.029329315298899816,0.0017037710131757589,0.00793030592457522,0.0061711162373820905
2025-12-23,-0.0081297835719778,-0.022935779816513735,-0.004152279382840129,-0.019216299126005754,0.005851483769098609,0.0025948103792414745,-0.005152979066022523,0.02787486892694857,-0.02869406247516093,-0.004316664907156431,-0.0012601783637069541,0.0025449571729674325,-0.02607843137254895,0.015488958990536261,-0.0460210930009588,-0.0024018489705283086,-0.005159937505139323,-0.008988438258852538,-0.011663863722671364,-0.014540410008734406,0.00026757046022130027,-0.0022142037067409692,-0.0009191489361701777,0.002608005442793937,0.009906676238334411,0.004556141298792227
2025-12-24,0.004541258999446018,0.012065727699530404,0.02106741573033699,0.03526113897905003,0.0014312756821643902,0.0013935894883536637,0.0010521204273226115,0.014707132534217404,-0.01477086743044198,0.00847048289999175,0.020608884143776818,0.0052223700837592535,-0.00402657539762441,0.010779410394209377,-0.01306532663316573,0.004815263476680931,0.004773417643047617,0.01850565044069774,0.03573388955977608,0.012252346193952102,0.0022737405260810917,0.001993096079559331,0.01809322611421571,-0.002601221443112478,0.005914131361956176,0.0028710151037198983
2025-12-26,0.005843869450161909,0.0015308252539778522,0.0007737276478678723,0.0014821148639019288,0.006777316735822936,-0.0036447978793904268,0.00024254183846705857,0.01499664879356577,0.0006229494580340944,0.015233288941847167,-0.0022823812844733338,0.009878740683057163,0.02041641398827565,0.0070686581842769325,0.018329938900203624,0.00575665330480124,0.00010282987824949963,0.045136270602176065,0.00837352270920566,0.0036054596961112573,-0.0038254526044215753,-0.0038142110119961936,0.004183540279125708,-0.0009071323279282728,0.00011306461642823784,0.000529073686194037
2025-12-27,-0.0022289618884058227,,-0.0015892105489219155,,,0.012238111074160285,,,-0.020710550344484102,,-0.004892927495710797,,,,,-0.007821396463889796,0.0016451088856441753,,-0.0009985809638933807,,,-0.024599106609852095,,,,
2025-12-29,-0.00428477257745552,-0.017693376563223673,-0.0029253602925359834,-0.008737228562483934,-0.013967120025644597,-0.030159668835008868,-0.010022631749110888,-0.013784564589352066,-0.007713498622589521,0.004867327917520203,-0.0077266922094508805,-0.0056511489567957485,-0.01921553090332806,-0.005859375,-0.05600000000000005,-0.004681506539007341,-0.005830544663203874,-0.03817082388510962,-0.011153198653198637,-0.04393122915062875,-0.010939941951328414,-0.012113793685632146,0.004132782295693804,-0.009760526614459142,0.0013000960940590112,-0.003491488591090164
2025-12-30,0.003199823458016171,0.018012070916635148,-8.629244509650302e-05,0.003445305770887197,0.015836893925320394,0.008739837398374029,0.08605486610058799,-0.013977234683629103,0.001494895997949941,-0.00983636592655357,0.007014608404659173,-0.01362654406469832,0.008685114118359927,-0.008902259332023488,0.009533898305084776,0.0001517266492685465,0.0008053691275167196,0.05368815859974996,0.002394126409874353,-0.01078962907295078,0.004514672686230181,-0.01102328562273025,0.004646840148698983,0.0030372492836676646,-0.0014113130856949763,-0.001308443824145078
2025-12-31,-0.0008065698782812047,-0.001389532190829157,0.004056094929881349,0.0019170243204578163,0.001737301696155269,-0.013231244542951215,0.003382949932341006,-0.007215007215007341,-0.008913340156943006,-0.0008210940210477968,0.0030994376278119518,-0.009277250519458602,0.010212254705646906,-0.0009601684940840904,-0.016789087093389332,0.011074365120301133,0.004642621327170637,-0.005356295342057282,0.0065283159067990315,-0.015085739092685069,-0.0015280898876404159,-0.01134056249189963,0.0023126734505087843,-0.015455636176655352,-0.000791452314997998,-0.007424229190322373
2026-01-01,-0.0017979012255082694,,-0.007907516438179552,,,-0.004560304927851755,,,-0.02934721803864193,,-0.0037587997324244338,,,,,-0.011748289521065991,-0.00722955903797573,,-0.01676861421640996,,,-0.017697568223033144,,,,
