ticker,sector,signal_day,rs_rank,rs_return,vix,entry_day,entry_bar,entry_price,exit_day,exit_bar,exit_price,exit_reason,return_pct,hold_bars,pullback_bars
AVGO,growth_semi,2025-05-28,2,25.20256761022835,19.31,2025-05-29,2,240.51,2025-05-30,1,235.59,ema9_cross,-2.045652987401766,1,1
TSM,growth_semi,2025-05-28,7,19.248941522979692,19.31,2025-05-29,2,195.37,2025-05-30,1,190.51,ema21_stop,-2.4875876541946123,1,1
NVDA,mega_tech,2025-05-29,1,27.942258183155573,19.18,2025-06-02,1,137.55,2025-06-06,1,142.09,max_bars,3.3006179571065006,8,1
AVGO,growth_semi,2025-05-29,5,25.77659240665202,19.18,2025-05-30,2,240.48,2025-06-05,2,258.4,max_bars,7.45176314038589,8,1
SNOW,other,2025-06-02,1,25.302713987473897,18.36,2025-06-03,2,209.13,2025-06-09,2,210.69,max_bars,0.7459474967723436,8,1
SNOW,other,2025-06-03,4,24.534032037158333,17.69,2025-06-05,1,211.8,2025-06-10,1,207.92,ema9_cross,-1.8319169027384439,6,2
NVDA,mega_tech,2025-06-03,5,24.123385183232273,17.69,2025-06-04,2,141.81,2025-06-10,2,143.93,max_bars,1.4949580424511701,8,1
TXN,unclassified,2025-06-05,7,15.595703731296956,18.48,2025-06-09,1,194.95,2025-06-13,1,192.96,ema9_cross,-1.0207745575788565,8,2
NVDA,mega_tech,2025-06-09,3,22.240329359293256,17.16,2025-06-10,2,143.93,2025-06-13,1,142.64,ema9_cross,-0.8962690196623501,5,1
SNOW,other,2025-06-09,4,20.995807729857006,17.16,2025-06-11,1,209.56,2025-06-11,2,208.51,ema9_cross,-0.50104981866769,1,1
NVDA,mega_tech,2025-06-10,3,17.044807676669112,16.95,2025-06-12,1,144.31,2025-06-13,1,142.64,ema9_cross,-1.1572309611253662,2,2
GOOGL,mega_tech,2025-06-10,7,12.858318040878311,16.95,2025-06-12,1,175.91,2025-06-12,2,175.44,ema9_cross,-0.26718208174634694,1,2
AMD,growth_semi,2025-06-11,7,7.800409143467042,17.26,2025-06-16,1,127.99,2025-06-23,1,129.4,max_bars,1.1016485662942503,8,2
PLTR,growth_semi,2025-06-16,6,9.143563209514252,19.11,2025-06-17,2,138.24,2025-06-20,1,137.35,ema9_cross,-0.643807870370381,3,1
COIN,crypto_proxy,2025-06-24,2,30.913927417822546,17.48,2025-06-25,2,355.27,2025-07-01,1,337.7,ema9_cross,-4.945534382300783,7,1
TXN,unclassified,2025-06-24,4,16.746939012359995,17.48,2025-06-25,2,200.81,2025-07-01,2,205.73,max_bars,2.45007718739106,8,1
PLTR,growth_semi,2025-06-24,5,16.112552708400912,17.48,2025-06-25,2,142.89,2025-06-27,1,140.06,ema9_cross,-1.9805444747707919,3,1
TSM,growth_semi,2025-06-25,6,13.067891781521181,16.76,2025-06-27,1,226.51,2025-07-03,1,233.58,max_bars,3.1212749988963053,8,2
GS,financials,2025-06-27,5,14.756587159677457,16.32,2025-06-30,2,696.57,2025-07-07,2,699.69,max_bars,0.44790904001033693,8,1
NVDA,mega_tech,2025-06-27,7,13.345310815666542,16.32,2025-06-30,2,157.85,2025-07-01,1,154.26,ema9_cross,-2.274311054798862,1,1
TSM,growth_semi,2025-06-30,5,17.700271909642332,16.73,2025-07-02,1,231.26,2025-07-07,1,227.58,ema9_cross,-1.5912825391334335,4,2
NVDA,mega_tech,2025-06-30,6,17.082035306334372,16.73,2025-07-02,1,157.19,2025-07-09,1,162.55,max_bars,3.409886125071578,8,2
AVGO,growth_semi,2025-06-30,7,14.258982035928142,16.73,2025-07-02,1,269.89,2025-07-08,2,270.81,ema9_cross,0.3408796176220001,7,2
MU,growth_semi,2025-07-02,2,19.107843137254896,16.64,2025-07-08,1,124.64,2025-07-09,1,121.36,ema21_stop,-2.631578947368422,2,1
AMD,growth_semi,2025-07-02,5,18.101978171896306,16.64,2025-07-08,1,137.94,2025-07-14,1,146.77,max_bars,6.4013339132956455,8,1
TSM,growth_semi,2025-07-03,4,16.769690927218353,16.38,2025-07-09,1,231.08,2025-07-10,1,228.73,ema9_cross,-1.0169638220529786,2,1
MARA,crypto_proxy,2025-07-03,7,13.23529411764706,16.38,2025-07-07,2,16.76,2025-07-11,2,19.13,max_bars,14.140811455847238,8,1
COIN,crypto_proxy,2025-07-07,1,46.21463374687796,17.79,2025-07-08,2,354.82,2025-07-14,2,394.05,max_bars,11.056310241812756,8,1
TSM,growth_semi,2025-07-07,6,13.093110978757208,17.79,2025-07-09,1,231.08,2025-07-10,1,228.73,ema9_cross,-1.0169638220529786,2,2
AMD,growth_semi,2025-07-08,2,18.655303030303045,16.81,2025-07-10,1,144.07,2025-07-16,1,155.7,max_bars,8.072464774068159,8,2
GS,financials,2025-07-08,4,13.501977069304969,16.81,2025-07-10,1,696.94,2025-07-11,1,692.59,ema9_cross,-0.6241570292995124,2,2
TXN,unclassified,2025-07-08,6,12.61567918306563,16.81,2025-07-09,2,211.57,2025-07-15,1,213.72,ema9_cross,1.0162121283735905,7,1
NVDA,mega_tech,2025-07-09,2,14.236598372158287,15.94,2025-07-10,2,164.09,2025-07-16,2,171.32,max_bars,4.4061185934548055,8,1
AVGO,growth_semi,2025-07-09,3,14.086189848384981,15.94,2025-07-10,2,274.37,2025-07-11,1,272.89,ema9_cross,-0.539417574807748,1,1
TSM,growth_semi,2025-07-09,7,12.424419738638575,15.94,2025-07-11,1,230.25,2025-07-11,2,229.01,ema9_cross,-0.5385450597177022,1,2
COIN,crypto_proxy,2025-07-10,1,52.573154467717906,15.78,2025-07-11,2,387.06,2025-07-17,2,410.47,max_bars,6.048157908334631,8,1
GS,financials,2025-07-10,4,15.25594451783355,15.78,2025-07-11,2,693.87,2025-07-15,1,691.88,ema9_cross,-0.28679723867583395,3,1
AVGO,growth_semi,2025-07-10,6,12.844451756189857,15.78,2025-07-14,1,275.33,2025-07-18,1,282.38,max_bars,2.560563687211714,8,1
MARA,crypto_proxy,2025-07-11,3,17.074663402692774,16.4,2025-07-15,1,19.26,2025-07-15,2,18.75,ema9_cross,-2.647975077881628,1,2
NVDA,mega_tech,2025-07-14,5,13.153538419092303,17.2,2025-07-15,2,170.53,2025-07-21,2,171.44,max_bars,0.5336304462557888,8,1
BA,other,2025-07-14,6,13.104294478527601,17.2,2025-07-15,2,229.9,2025-07-18,1,228.34,ema9_cross,-0.6785558938668996,5,1
IBIT,unclassified,2025-07-14,7,12.322899505766069,17.2,2025-07-16,1,68.07,2025-07-18,1,67.04,ema9_cross,-1.5131482297634598,4,2
NVDA,mega_tech,2025-07-15,4,20.142313653656476,17.38,2025-07-16,2,171.32,2025-07-22,1,168.25,ema9_cross,-1.7919682465561484,7,1
BA,other,2025-07-15,6,14.66334164588529,17.38,2025-07-16,2,229.76,2025-07-18,1,228.34,ema9_cross,-0.6180362116991589,3,1
GS,financials,2025-07-15,7,14.342959332361904,17.38,2025-07-16,2,697.01,2025-07-17,2,695.12,ema9_cross,-0.27115823302391445,2,1
AMD,growth_semi,2025-07-16,3,26.677215189873415,17.16,2025-07-17,2,160.41,2025-07-22,1,154.41,ema9_cross,-3.740415186085656,5,1
BA,other,2025-07-16,6,13.86658737238576,17.16,2025-07-17,2,231.0,2025-07-18,1,228.34,ema9_cross,-1.15151515151515,1,1
COIN,crypto_proxy,2025-07-17,1,61.69148349483968,16.52,2025-07-18,2,419.77,2025-07-22,1,406.2,ema9_cross,-3.2327226814684216,3,1
MARA,crypto_proxy,2025-07-17,2,36.19631901840491,16.52,2025-07-18,2,19.51,2025-07-21,1,19.17,ema9_cross,-1.7426960533059959,1,1
AMD,growth_semi,2025-07-17,3,26.227573182247404,16.52,2025-07-21,1,158.59,2025-07-22,1,154.41,ema9_cross,-2.6357273472476237,2,2
C,unclassified,2025-07-17,4,20.310444619836883,16.52,2025-07-18,2,91.79,2025-07-24,2,93.74,max_bars,2.1244144242292062,8,1
BA,other,2025-07-17,6,15.36156612065521,16.52,2025-07-18,2,229.32,2025-07-22,2,228.25,ema9_cross,-0.46659689516832076,4,1
AVGO,growth_semi,2025-07-17,7,15.217917675544784,16.52,2025-07-18,2,282.3,2025-07-22,1,279.28,ema9_cross,-1.0697839178179378,3,1
MARA,crypto_proxy,2025-07-18,2,34.64458247066944,16.41,2025-07-22,1,19.64,2025-07-23,1,17.56,ema21_stop,-10.590631364562126,2,2
C,unclassified,2025-07-18,4,19.23876331514679,16.41,2025-07-22,1,92.6,2025-07-28,1,93.78,max_bars,1.274298056155515,8,2
AMD,growth_semi,2025-07-21,3,22.432748538011705,16.65,2025-07-23,1,157.94,2025-07-29,1,179.21,max_bars,13.46713942003293,8,1
GOOGL,mega_tech,2025-07-22,5,15.865122202680592,16.5,2025-07-23,2,190.05,2025-07-29,2,195.43,max_bars,2.8308339910549827,8,1
NVDA,mega_tech,2025-07-22,6,15.83657047724751,16.5,2025-07-23,2,170.81,2025-07-29,2,175.49,max_bars,2.739886423511508,8,1
IBIT,unclassified,2025-07-22,7,15.59570478950058,16.5,2025-07-23,2,67.28,2025-07-25,1,66.1,ema21_stop,-1.7538644470868114,3,1
GOOGL,mega_tech,2025-07-23,7,14.144144144144152,15.37,2025-07-25,1,192.93,2025-07-31,1,191.74,ema9_cross,-0.6168040221842107,8,2
BA,other,2025-07-24,1,16.187700964630224,15.39,2025-07-25,2,233.16,2025-07-29,1,228.37,ema21_stop,-2.054383256133124,3,1
C,unclassified,2025-07-24,2,15.400714021913075,15.39,2025-07-25,2,94.41,2025-07-29,1,93.15,ema9_cross,-1.3346043851286844,3,1
C,unclassified,2025-07-25,3,13.843000120583612,14.93,2025-07-28,2,93.92,2025-07-29,1,93.15,ema9_cross,-0.8198466780238458,1,1
GOOGL,mega_tech,2025-07-25,6,11.336873701223729,14.93,2025-07-28,2,192.25,2025-07-31,1,191.74,ema9_cross,-0.2652795838751578,5,1
PLTR,growth_semi,2025-07-25,7,10.0991197061066,14.93,2025-07-28,2,157.89,2025-08-01,1,156.11,ema9_cross,-1.1273671543479464,7,1
PLTR,growth_semi,2025-07-28,1,20.766406608536006,15.03,2025-07-30,1,158.22,2025-08-01,1,156.11,ema9_cross,-1.333586145872826,4,2
C,unclassified,2025-07-28,4,13.3067921341537,15.03,2025-07-30,1,93.97,2025-07-31,1,92.73,ema9_cross,-1.319570075556023,2,2
NVDA,mega_tech,2025-07-28,5,12.053005325893984,15.03,2025-07-30,1,178.99,2025-08-01,1,173.09,ema21_stop,-3.2962735348343513,4,2
IBIT,unclassified,2025-07-28,6,10.543657331136723,15.03,2025-07-30,1,66.94,2025-07-30,2,66.38,ema21_stop,-0.836570062742758,1,2
AMD,growth_semi,2025-07-30,1,31.929747207524972,15.48,2025-08-04,1,177.77,2025-08-05,2,174.38,ema9_cross,-1.906958429431296,3,2
PLTR,growth_semi,2025-07-30,2,21.450983393280787,15.48,2025-07-31,2,158.31,2025-08-01,1,156.11,ema9_cross,-1.3896784789337304,1,1
AVGO,growth_semi,2025-07-30,4,14.328493991888106,15.48,2025-08-04,1,296.5,2025-08-05,2,291.79,ema9_cross,-1.5885328836424888,3,2
MSFT,mega_tech,2025-07-31,6,8.67614521019422,16.72,2025-08-01,2,520.96,2025-08-05,2,524.65,ema9_cross,0.7083077395577282,4,1
META,mega_tech,2025-07-31,7,8.420165707063603,16.72,2025-08-01,2,748.7,2025-08-07,2,760.73,ema9_cross,1.6067850941632125,8,1
NVDA,mega_tech,2025-08-04,3,13.726853314794917,17.52,2025-08-05,2,178.24,2025-08-11,2,182.06,max_bars,2.143177737881504,8,1
AVGO,growth_semi,2025-08-04,6,8.595065524562566,17.52,2025-08-06,1,298.99,2025-08-12,1,308.32,max_bars,3.120505702531852,8,2
META,mega_tech,2025-08-04,7,8.050782502055545,17.52,2025-08-06,1,769.1,2025-08-07,2,760.73,ema9_cross,-1.0882850084514373,3,2
PLTR,growth_semi,2025-08-06,1,25.499650593990225,16.77,2025-08-07,2,182.16,2025-08-13,2,184.32,max_bars,1.1857707509881406,8,1
GOOGL,mega_tech,2025-08-06,4,11.024157876828852,16.77,2025-08-07,2,196.25,2025-08-13,2,201.59,max_bars,2.7210191082802564,8,1
NVDA,mega_tech,2025-08-06,5,10.18364965296971,16.77,2025-08-07,2,180.86,2025-08-13,1,180.97,ema9_cross,0.06082052416232734,7,1
AVGO,growth_semi,2025-08-06,6,8.544292369361873,16.77,2025-08-07,2,302.76,2025-08-13,2,307.97,max_bars,1.7208349848064595,8,1
AMD,growth_semi,2025-08-07,2,19.581050149129513,16.57,2025-08-08,2,172.78,2025-08-14,2,180.93,max_bars,4.716981132075475,8,1
AVGO,growth_semi,2025-08-07,5,10.347341181616061,16.57,2025-08-08,2,303.79,2025-08-14,2,310.03,max_bars,2.054050495407996,8,1
PLTR,growth_semi,2025-08-08,1,31.597466572836037,15.15,2025-08-12,1,186.51,2025-08-14,1,181.72,ema9_cross,-2.5682269047236033,4,2
GOOGL,mega_tech,2025-08-08,4,11.814087952410073,15.15,2025-08-11,2,200.7,2025-08-15,2,203.58,max_bars,1.4349775784753482,8,1
NVDA,mega_tech,2025-08-11,3,10.9783602560195,16.25,2025-08-12,2,183.08,2025-08-13,1,180.97,ema9_cross,-1.1525016386279296,1,1
GOOGL,mega_tech,2025-08-12,3,11.745926904447382,14.73,2025-08-14,1,203.92,2025-08-19,1,200.57,ema9_cross,-1.6428010984699857,6,2
AVGO,growth_semi,2025-08-12,4,11.571903961069156,14.73,2025-08-13,2,307.97,2025-08-15,1,300.43,ema21_stop,-2.4482904178978537,3,1
META,mega_tech,2025-08-12,5,11.262163305598648,14.73,2025-08-14,1,785.99,2025-08-18,1,765.22,ema21_stop,-2.6425272586165196,4,2
AAPL,mega_tech,2025-08-14,4,10.96838888358323,14.83,2025-08-15,2,231.21,2025-08-20,1,225.86,ema21_stop,-2.313913758055445,5,1
MU,growth_semi,2025-08-14,5,10.597489835601905,14.83,2025-08-18,1,122.61,2025-08-19,1,121.97,ema9_cross,-0.5219802626213201,2,2
GOOGL,mega_tech,2025-08-15,4,10.192151556156976,15.09,2025-08-18,2,203.11,2025-08-19,1,200.57,ema9_cross,-1.250553887056285,1,1
GOOGL,mega_tech,2025-08-25,2,8.286085825747728,14.79,2025-08-26,2,206.85,2025-09-02,1,208.65,ema9_cross,0.8701957940536676,7,1
TSLA,growth_semi,2025-08-27,2,9.523958757717272,14.85,2025-08-28,2,345.9,2025-08-29,1,333.74,ema21_stop,-3.5154668979473747,1,1
BA,other,2025-08-27,7,4.288939051918734,14.85,2025-08-28,2,235.98,2025-09-03,1,231.14,ema21_stop,-2.051021272989238,5,1
AAPL,mega_tech,2025-08-28,3,12.112281379843475,14.43,2025-08-29,2,231.83,2025-09-02,1,227.97,ema21_stop,-1.6650131561920432,1,1
SNOW,other,2025-08-29,1,16.44630921598283,15.36,2025-09-02,2,233.6,2025-09-04,1,222.35,ema9_cross,-4.8159246575342465,3,1
BIDU,unclassified,2025-09-02,5,9.845978322875066,17.17,2025-09-04,1,98.2,2025-09-10,1,107.09,max_bars,9.052953156822811,8,2
GOOGL,mega_tech,2025-09-03,1,18.46992848690642,16.35,2025-09-04,2,231.94,2025-09-10,2,238.96,max_bars,3.026644821936712,8,1
AAPL,mega_tech,2025-09-03,2,17.656072364193566,16.35,2025-09-04,2,239.25,2025-09-09,2,233.9,ema21_stop,-2.236154649947751,6,1
BABA,unclassified,2025-09-03,3,16.594035717337423,16.35,2025-09-05,1,135.33,2025-09-11,1,156.26,max_bars,15.465898174831874,8,2
SNOW,other,2025-09-03,5,11.379427627423345,16.35,2025-09-05,2,225.62,2025-09-09,1,224.15,ema9_cross,-0.6515379842212564,3,2
AAPL,mega_tech,2025-09-04,4,12.535277516462845,15.3,2025-09-05,2,239.21,2025-09-09,2,233.9,ema21_stop,-2.2198068642615287,4,1
AMZN,mega_tech,2025-09-04,6,6.009085593487152,15.3,2025-09-08,1,236.13,2025-09-10,1,231.56,ema21_stop,-1.9353745817981591,4,2
GOOGL,mega_tech,2025-09-05,1,19.592356687898082,15.18,2025-09-09,1,237.98,2025-09-15,1,249.31,max_bars,4.760904277670398,8,2
BIDU,unclassified,2025-09-05,3,16.624742739538085,15.18,2025-09-08,2,108.65,2025-09-12,2,114.78,max_bars,5.641969627243438,8,1
AAPL,mega_tech,2025-09-05,7,8.999362070536773,15.18,2025-09-08,2,237.47,2025-09-09,2,233.9,ema21_stop,-1.5033477912999507,2,1
BIDU,unclassified,2025-09-08,1,24.356186333981917,15.11,2025-09-09,2,108.45,2025-09-15,2,114.82,max_bars,5.873674504379889,8,1
AVGO,growth_semi,2025-09-08,5,13.417163171927973,15.11,2025-09-10,1,362.12,2025-09-16,1,359.71,max_bars,-0.6655252402518571,8,2
BIDU,unclassified,2025-09-09,1,26.08998953610045,15.04,2025-09-10,2,107.62,2025-09-16,2,123.79,max_bars,15.0250882735551,8,1
BABA,unclassified,2025-09-09,2,23.94674755645432,15.04,2025-09-10,2,143.93,2025-09-16,2,162.22,max_bars,12.70756617800319,8,1
TSM,growth_semi,2025-09-10,7,6.69661254430068,15.35,2025-09-11,2,257.34,2025-09-17,2,262.04,max_bars,1.82637755498564,8,1
BIDU,unclassified,2025-09-11,1,22.78467113209619,14.71,2025-09-12,2,114.78,2025-09-18,2,135.25,max_bars,17.83411744206308,8,1
AVGO,growth_semi,2025-09-11,5,16.345747962463868,14.71,2025-09-15,1,360.54,2025-09-17,1,344.18,ema9_cross,-4.537637987463253,4,2
BABA,unclassified,2025-09-12,2,26.822085889570545,14.76,2025-09-16,1,161.54,2025-09-22,1,164.34,max_bars,1.7333168255540494,8,2
MU,growth_semi,2025-09-12,3,25.501478462399103,14.76,2025-09-15,2,157.59,2025-09-19,2,162.52,max_bars,3.1283710895361425,8,1
TSLA,growth_semi,2025-09-12,5,18.008165211431297,14.76,2025-09-16,1,418.78,2025-09-22,1,433.0,max_bars,3.3955776302593312,8,2
MU,growth_semi,2025-09-15,1,30.541749502982114,15.69,2025-09-16,2,158.64,2025-09-22,2,164.42,max_bars,3.643469490670702,8,1
BIDU,unclassified,2025-09-16,1,37.3612960497115,16.36,2025-09-17,2,137.8,2025-09-23,1,126.64,ema9_cross,-8.098693759071125,7,1
GOOGL,mega_tech,2025-09-16,5,23.59312687706168,16.36,2025-09-17,2,249.36,2025-09-23,2,251.51,max_bars,0.8622072505614281,8,1
TSLA,growth_semi,2025-09-17,4,29.232964897364262,15.72,2025-09-19,1,423.54,2025-09-25,1,426.94,ema9_cross,0.8027577088350515,8,2
GOOGL,mega_tech,2025-09-17,5,23.86250745082457,15.72,2025-09-18,2,251.92,2025-09-24,1,248.39,ema9_cross,-1.4012384884090192,7,1
GOOGL,mega_tech,2025-09-19,5,27.598656170084734,15.45,2025-09-22,2,252.37,2025-09-24,1,248.39,ema9_cross,-1.5770495700756897,3,1
BIDU,unclassified,2025-09-22,1,51.777777777777764,16.1,2025-09-24,1,135.28,2025-09-26,1,132.15,ema9_cross,-2.3137196924896477,4,2
BABA,unclassified,2025-09-22,3,33.601756954612014,16.1,2025-09-24,1,176.87,2025-09-30,1,178.34,max_bars,0.8311189008876569,8,2
TSLA,growth_semi,2025-09-22,4,27.643304608687984,16.1,2025-09-24,1,439.51,2025-09-25,1,426.94,ema9_cross,-2.8600031853655192,2,2
TSM,growth_semi,2025-09-22,6,17.354337505394923,16.1,2025-09-23,2,282.05,2025-09-26,1,272.18,ema9_cross,-3.4993795426342866,5,1
TSM,growth_semi,2025-09-23,6,20.390131466621142,16.64,2025-09-24,2,279.99,2025-09-26,1,272.18,ema9_cross,-2.789385335190543,3,1
PLTR,growth_semi,2025-09-23,7,16.191446028513237,16.64,2025-09-24,2,179.59,2025-09-26,1,177.39,ema9_cross,-1.2250125285372333,3,1
TSLA,growth_semi,2025-09-24,4,25.90138762511373,16.18,2025-09-26,1,433.09,2025-10-02,1,445.89,max_bars,2.9555057840171814,8,2
TSM,growth_semi,2025-09-25,6,15.928385307220298,16.74,2025-09-29,1,274.4,2025-09-29,2,272.71,ema9_cross,-0.6158892128279876,1,1
PLTR,growth_semi,2025-09-25,7,14.279333886301298,16.74,2025-09-29,1,178.98,2025-10-03,1,174.96,ema21_stop,-2.2460610124036102,8,1
BIDU,unclassified,2025-09-26,1,44.40901594282573,15.29,2025-09-29,2,134.83,2025-09-30,1,131.12,ema9_cross,-2.751613142475716,1,1
TSLA,growth_semi,2025-09-26,4,27.325816710031813,15.29,2025-09-29,2,443.22,2025-10-02,2,435.97,ema9_cross,-1.6357565091827984,6,1
TSM,growth_semi,2025-09-26,6,15.13999746610921,15.29,2025-09-30,1,276.13,2025-10-06,1,302.96,max_bars,9.716437909680216,8,2
BIDU,unclassified,2025-09-29,1,41.52408943004096,16.12,2025-10-01,1,134.15,2025-10-07,1,140.64,ema9_cross,4.8378680581438545,8,1
BABA,unclassified,2025-09-29,3,33.204976303317544,16.12,2025-09-30,2,178.72,2025-10-06,2,187.2,max_bars,4.744852282900621,8,1
TSLA,growth_semi,2025-09-29,4,32.70059880239522,16.12,2025-09-30,2,444.54,2025-10-02,2,435.97,ema9_cross,-1.927835515364195,4,1
MU,growth_semi,2025-10-01,1,53.41091154397504,16.29,2025-10-03,1,187.85,2025-10-09,1,189.61,max_bars,0.9369177535267604,8,2
BIDU,unclassified,2025-10-01,2,42.55628177196804,16.29,2025-10-02,2,140.2,2025-10-07,1,140.64,ema9_cross,0.31383737517831506,5,1
TSM,growth_semi,2025-10-01,5,25.134735744089014,16.29,2025-10-02,2,287.36,2025-10-08,2,303.76,max_bars,5.707126948775048,8,1
PLTR,growth_semi,2025-10-01,6,19.39816608549657,16.29,2025-10-02,2,187.04,2025-10-03,1,174.96,ema21_stop,-6.4585115483318996,1,1
BABA,unclassified,2025-10-02,2,44.61585458988851,16.63,2025-10-06,1,189.32,2025-10-07,1,181.24,ema9_cross,-4.267906190576793,2,2
TSM,growth_semi,2025-10-02,6,22.8769349183272,16.63,2025-10-06,1,302.96,2025-10-10,1,285.62,ema21_stop,-5.7235278584631555,8,2
MU,growth_semi,2025-10-06,1,45.32927293490673,16.37,2025-10-08,1,193.76,2025-10-10,1,185.34,ema9_cross,-4.345582163501232,4,2
MARA,crypto_proxy,2025-10-06,2,35.39473684210526,16.37,2025-10-07,2,20.24,2025-10-09,1,19.73,ema9_cross,-2.5197628458497925,3,1
AMD,growth_semi,2025-10-06,3,34.53128096716653,16.37,2025-10-07,2,211.49,2025-10-10,2,214.61,ema9_cross,1.4752470565984228,6,1
AMD,growth_semi,2025-10-08,1,47.56770310932798,16.3,2025-10-09,2,232.88,2025-10-10,2,214.61,ema9_cross,-7.845242184816207,2,1
MU,growth_semi,2025-10-08,2,40.467510186575176,16.3,2025-10-09,2,192.24,2025-10-10,1,185.34,ema9_cross,-3.589263420724097,1,1
MARA,crypto_proxy,2025-10-08,4,27.301387137452725,16.3,2025-10-09,2,20.2,2025-10-10,1,19.43,ema9_cross,-3.81188118811881,1,1
AMD,growth_semi,2025-10-21,1,47.94307730549342,17.87,2025-10-23,1,233.12,2025-10-29,1,260.46,max_bars,11.727865477007539,8,1
AAPL,mega_tech,2025-10-22,6,2.454718779790279,18.6,2025-10-24,1,263.11,2025-10-30,1,271.43,max_bars,3.162175515943899,8,2
MSFT,mega_tech,2025-10-22,7,2.0596632864034503,18.6,2025-10-24,1,521.6,2025-10-30,1,524.67,ema21_stop,0.5885736196318896,8,2
AMD,growth_semi,2025-10-24,1,58.623933768188664,16.37,2025-10-27,2,259.64,2025-10-30,2,254.9,ema9_cross,-1.8256046834077881,6,1
MU,growth_semi,2025-10-24,2,39.31390020366597,16.37,2025-10-27,2,219.95,2025-10-31,1,220.87,ema9_cross,0.4182768811093503,7,1
AVGO,growth_semi,2025-10-24,7,5.928190373434026,16.37,2025-10-27,2,361.27,2025-10-31,1,364.87,ema9_cross,0.9964846236886602,7,1
TSM,growth_semi,2025-10-27,6,9.071907887499545,15.79,2025-10-28,2,300.74,2025-10-31,1,297.14,ema21_stop,-1.1970472833677006,5,1
TSM,growth_semi,2025-10-28,6,8.020545239035947,16.42,2025-10-29,2,304.36,2025-10-31,1,297.14,ema21_stop,-2.3721908266526572,3,1
NVDA,mega_tech,2025-10-28,7,7.745082274749433,16.42,2025-10-29,2,207.04,2025-11-04,1,199.81,ema9_cross,-3.492078825347754,7,1
AVGO,growth_semi,2025-10-29,4,15.844530615925686,16.92,2025-10-30,2,375.73,2025-10-31,1,364.87,ema9_cross,-2.890373406435476,1,1
AMD,growth_semi,2025-10-30,1,50.17969716608732,16.91,2025-10-31,2,256.06,2025-11-04,1,252.85,ema9_cross,-1.2536124345856472,3,1
MU,growth_semi,2025-10-30,2,22.01460013074744,16.91,2025-10-31,2,223.64,2025-11-04,1,222.55,ema9_cross,-0.48739044893577854,3,1
GOOGL,mega_tech,2025-10-30,3,14.559745866253984,16.91,2025-10-31,2,281.02,2025-11-04,1,276.68,ema9_cross,-1.544374065902774,3,1
SNOW,other,2025-10-30,4,12.721303299808834,16.91,2025-10-31,2,274.95,2025-11-04,1,264.98,ema9_cross,-3.626113838879786,3,1
NVDA,mega_tech,2025-10-30,6,7.336827060505009,16.91,2025-11-03,1,210.95,2025-11-04,1,199.81,ema9_cross,-5.28087224460772,2,2
AMD,growth_semi,2025-10-31,1,55.52721088435375,17.44,2025-11-03,2,259.65,2025-11-04,1,252.85,ema9_cross,-2.618910071249753,1,1
AMZN,mega_tech,2025-11-03,4,15.021051201955729,17.17,2025-11-05,1,249.97,2025-11-06,1,244.11,ema9_cross,-2.344281313757645,2,2
SNOW,other,2025-11-05,5,5.797738442482104,18.01,2025-11-10,1,269.0,2025-11-13,1,256.21,ema21_stop,-4.754646840148706,6,2
