ticker,earnings_date,time_of_day,prior_date,reaction_date,prior_close,next_open,reaction_close,reaction_high,reaction_low,reaction_day_range,reaction_day_midpoint,raw_gap_pct,spy_gap_pct,abnormal_gap_pct,eps_surprise_pct,revenue_surprise_pct,revenue_confirms,first_day_holds,drift_1d_close,drift_1d_pct,drift_3d_close,drift_3d_pct,drift_5d_close,drift_5d_pct,drift_10d_close,drift_10d_pct
AMD,2025-10-28,AMC,2025-10-28,2025-10-29,258.24,265.8799,262.05,272.0,258.01,13.99,265.005,2.9584,0.2693,2.6892,9.1954,4.7205,True,False,258.63,-1.3051,259.15,-1.1067,245.12,-6.4606,252.3,-3.7207
AMD,2026-01-27,AMC,2026-01-27,2026-01-28,252.2,254.685,255.87,258.86,252.03,6.83,255.445,0.9853,0.2602,0.7251,22.5225,0.6918,True,True,253.95,-0.7504,235.55,-7.9415,218.65,-14.5464,216.93,-15.2187
AMZN,2024-10-31,AMC,2025-02-03,2025-02-03,234.4,236.06,234.4,238.3,228.83,9.47,233.565,0.7082,-0.6944,1.4026,0.0,7.6428,False,False,238.48,1.7406,237.99,1.5316,230.2,-1.7918,228.59,-2.4787
AMZN,2025-02-06,AMC,2025-02-06,2025-02-07,237.99,233.14,232.78,238.83,228.5,10.33,233.665,-2.0379,0.141,-2.1789,1.7341,-0.9839,False,True,230.2,-1.1083,229.75,-1.3017,229.5,-1.4091,223.74,-3.8835
AMZN,2025-05-01,AMC,2025-05-01,2025-05-02,189.93,185.2,192.51,193.2,184.1,9.1,188.65,-2.4904,1.1478,-3.6382,-4.7619,4.8316,False,False,189.9,-1.3558,184.37,-4.2284,191.54,-0.5039,211.46,9.8436
AMZN,2025-07-31,AMC,2025-07-31,2025-08-01,237.1,218.68,216.11,234.11,213.6,20.51,223.855,-7.7689,-1.2113,-6.5576,-16.5354,-1.3006,True,True,215.09,-0.472,212.85,-1.5085,221.25,2.3784,221.73,2.6005
AMZN,2025-10-30,AMC,2025-10-30,2025-10-31,227.14,251.86,252.19,253.45,222.86,30.59,238.155,10.8832,0.6192,10.264,17.6871,0.991,True,True,244.3,-3.1286,248.98,-1.2728,250.05,-0.8486,251.4,-0.3133
AMZN,2026-02-05,AMC,2026-02-05,2026-02-06,228.93,198.43,204.05,222.69,197.53,25.16,210.11,-13.3228,0.9373,-14.2602,-15.0943,-4.2933,True,True,210.0,2.916,210.17,2.9993,204.5,0.2205,203.89,-0.0784
AVGO,2024-12-12,AMC,2025-02-03,2025-02-03,212.75,213.7876,212.75,219.27,208.31,10.96,213.79,0.4877,-0.6944,1.1821,1.1547,-4.0471,False,False,214.85,0.9871,232.62,9.3396,226.77,6.5899,230.38,8.2867
AVGO,2025-03-06,AMC,2025-03-06,2025-03-07,180.4,187.795,192.24,202.52,177.83,24.69,190.175,4.0992,-0.0012,4.1005,-14.6744,7.9117,False,True,185.99,-3.2511,196.41,2.1692,194.37,1.108,186.81,-2.8246
AVGO,2025-06-12,AMC,2025-06-12,2025-06-13,249.5,251.4868,249.89,254.54,246.93,7.61,250.735,0.7963,-0.6493,1.4456,0.7435,-0.9976,False,False,250.15,0.104,248.16,-0.6923,247.84,-0.8204,273.23,9.3401
AVGO,2025-09-04,AMC,2025-09-04,2025-09-05,303.08,347.89,349.33,355.0446,304.99,50.0546,330.0173,14.7849,0.4022,14.3827,13.5865,9.3072,True,True,339.34,-2.8598,346.62,-0.7758,360.08,3.0773,344.42,-1.4055
AVGO,2025-12-11,AMC,2025-12-11,2025-12-12,406.87,373.8533,382.82,405.6,360.4638,45.1362,383.0319,-8.1148,-0.1059,-8.0089,15.5354,8.6894,True,True,358.77,-6.2823,343.19,-10.3521,331.08,-13.5155,348.3,-9.0173
AVGO,2026-03-05,AMC,2026-03-05,2026-03-06,332.25,332.3,325.5,335.3,325.05,10.25,330.175,0.015,-1.3251,1.3402,19.5159,-2.7074,False,False,330.81,1.6313,346.55,6.467,338.47,3.9846,,
BA,2025-04-23,BMO,2025-04-22,2025-04-23,160.36,175.835,171.25,176.58,162.52,14.06,169.55,9.6502,2.6929,6.9573,-26.8519,-3.7152,True,True,172.01,0.4438,181.84,6.1839,178.75,4.3796,185.69,8.4321
BA,2025-07-23,BMO,2025-07-22,2025-07-23,229.45,230.2744,231.01,234.39,227.91,6.48,231.15,0.3593,0.3626,-0.0033,-22.2222,-3.0741,True,False,234.15,1.3592,233.85,1.2294,227.86,-1.3636,225.97,-2.1817
BA,2025-10-22,BMO,2025-10-21,2025-10-22,217.05,216.6601,216.7,217.56,214.23,3.33,215.895,-0.1796,-0.0864,-0.0932,-8.7719,1.3471,False,False,216.5,-0.0923,223.5,3.138,221.16,2.0581,198.58,-8.3618
BA,2026-01-28,BMO,2026-01-27,2026-01-28,243.86,239.85,245.71,245.93,237.1,8.83,241.515,-1.6444,0.2602,-1.9046,-22.0588,-0.3243,True,False,242.2,-1.4285,234.04,-4.7495,233.64,-4.9123,244.75,-0.3907
BABA,2025-02-20,BMO,2025-02-19,2025-02-20,123.91,137.4724,135.95,142.0735,121.19,20.8835,131.6318,10.9454,-0.2676,11.2129,17.931,-1.6967,False,True,138.97,2.2214,130.76,-3.8176,136.69,0.5443,140.5,3.3468
BABA,2025-05-15,BMO,2025-05-14,2025-05-15,132.05,123.2784,126.16,131.79,120.7885,11.0015,126.2892,-6.6426,-0.2024,-6.4402,-0.8772,7.8945,False,True,123.71,-1.942,122.03,-3.2736,119.71,-5.1126,113.11,-10.344
BABA,2025-08-14,BMO,2025-08-13,2025-08-14,126.77,123.7157,123.8,126.86,121.88,4.98,124.37,-2.4093,-0.2745,-2.1349,20.1754,-3.0153,False,True,121.06,-2.2132,121.56,-1.8094,118.15,-4.5638,119.51,-3.4653
BABA,2025-11-14,BMO,2025-11-13,2025-11-14,163.76,157.01,157.07,162.18,155.64,6.54,158.91,-4.1219,-1.2573,-2.8645,14.6341,7.1125,True,True,158.11,0.6621,160.25,2.0246,152.5,-2.9095,157.3,0.1464
BABA,2026-02-19,BMO,2026-02-18,2026-02-19,156.72,156.08,155.49,156.88,154.1,2.78,155.49,-0.4084,-0.3366,-0.0718,13.7681,2.0054,True,True,151.0,-2.8876,155.29,-0.1286,152.63,-1.8393,137.02,-11.8786
BIDU,2025-02-27,BMO,2025-02-26,2025-02-27,91.05,89.94,89.58,91.05,87.21,3.84,89.13,-1.2191,0.4475,-1.6666,-22.9787,1.7292,False,False,85.95,-4.0522,86.29,-3.6727,93.25,4.0969,93.7,4.5992
BIDU,2025-05-22,BMO,2025-05-21,2025-05-22,91.24,83.84,84.73,85.47,83.48,1.99,84.475,-8.1105,-0.2093,-7.9012,8.2353,1.647,True,False,83.79,-1.1094,83.79,-1.1094,82.85,-2.2188,85.61,1.0386
BIDU,2025-08-21,BMO,2025-08-20,2025-08-21,87.08,86.575,86.81,88.11,86.1,2.01,87.105,-0.5799,-0.3405,-0.2394,2.4658,7.5404,True,True,88.28,1.6934,92.19,6.1974,89.19,2.7416,99.5,14.6181
BIDU,2025-11-20,BMO,2025-11-19,2025-11-20,114.64,117.205,116.84,117.52,110.83,6.69,114.175,2.2374,1.6117,0.6257,-5.3571,2.2846,False,True,109.94,-5.9055,120.52,3.1496,117.18,0.291,125.66,7.5488
BIDU,2026-02-26,BMO,2026-02-25,2026-02-26,132.88,132.01,127.62,132.21,123.13,9.08,127.67,-0.6547,-0.1169,-0.5379,2.4631,9.7796,True,True,125.37,-1.763,119.7,-6.2059,120.78,-5.3597,123.41,-3.2989
C,2025-04-15,BMO,2025-04-14,2025-04-15,61.29,62.7338,62.59,79.0,61.44,17.56,70.22,2.3557,0.2403,2.1154,16.7347,-4.1425,False,False,62.4,-0.3036,60.93,-2.6522,65.02,3.8824,65.78,5.0967
C,2025-07-15,BMO,2025-07-14,2025-07-15,84.75,87.5484,88.15,89.0845,85.49,3.5945,87.2872,3.3019,0.3472,2.9547,25.5319,9.4117,True,True,89.62,1.6676,91.77,4.1066,91.2,3.46,94.14,6.7952
C,2025-10-14,BMO,2025-10-13,2025-10-14,94.48,96.0046,96.1,98.853,93.82,5.033,96.3365,1.6137,-1.0737,2.6874,17.8571,-1.4719,False,False,99.74,3.7877,95.3,-0.8325,98.15,2.1332,99.99,4.0479
C,2026-01-14,BMO,2026-01-13,2026-01-14,117.0,115.3645,117.39,118.1401,110.4598,7.6803,114.3,-1.3979,-0.3135,-1.0843,-22.8814,4.2907,False,False,112.11,-4.4978,114.96,-2.07,114.07,-2.8282,114.27,-2.6578
COIN,2024-10-30,AMC,2025-02-03,2025-02-03,273.2,274.33,273.2,291.33,260.0,31.33,275.665,0.4136,-0.6944,1.108,16.2437,-1.9361,False,False,283.17,3.6493,280.0,2.489,280.3,2.5988,276.73,1.2921
COIN,2025-02-13,AMC,2025-02-13,2025-02-14,283.77,285.68,292.71,298.5,276.5,22.0,287.5,0.6731,0.0689,0.6042,12.6246,-0.5,False,True,276.73,-5.4593,260.71,-10.9323,239.85,-18.0588,237.09,-19.0017
COIN,2025-05-08,AMC,2025-05-08,2025-05-09,206.94,204.3763,205.12,214.13,200.21,13.92,207.17,-1.2389,0.4124,-1.6513,-1.8634,9.9768,False,True,208.11,1.4577,258.5,26.0238,249.0,21.3924,262.5,27.9739
COIN,2025-08-07,AMC,2025-08-07,2025-08-08,312.92,311.1984,312.88,314.39,302.4101,11.9799,308.4,-0.5502,0.2847,-0.8348,7.2682,8.9989,True,False,319.92,2.2501,326.5,4.3531,324.72,3.7842,301.18,-3.7395
COIN,2025-11-06,AMC,2025-11-06,2025-11-07,317.63,288.58,289.75,301.07,283.65,17.42,292.36,-9.1459,-0.5938,-8.5521,-19.2737,7.5062,False,True,323.2,11.5444,310.3,7.0923,269.98,-6.8231,239.81,-17.2355
COIN,2026-02-12,AMC,2026-02-12,2026-02-13,154.01,142.91,154.2,165.0,141.09,23.91,153.045,-7.2073,-0.0161,-7.1912,2.027,-4.8827,False,False,166.0,7.6524,166.29,7.8405,165.74,7.4838,182.05,18.061
COST,2024-12-12,AMC,2025-02-03,2025-02-03,962.98,969.1915,962.98,999.3129,946.32,52.9929,972.8164,0.645,-0.6944,1.3394,20.3024,-2.9856,False,False,997.18,3.5515,1039.52,7.9482,1042.14,8.2203,1067.21,10.8237
COST,2025-03-06,AMC,2025-03-06,2025-03-07,1028.37,976.0917,991.61,1021.03,950.457,70.573,985.7435,-5.0836,-0.0012,-5.0824,17.0279,4.0724,True,False,951.78,-4.0167,933.14,-5.8965,887.17,-10.5324,886.92,-10.5576
COST,2025-06-05,AMC,2025-06-05,2025-06-06,1047.26,1008.1016,1012.75,1019.42,1004.8004,14.6196,1012.1102,-3.7391,1.0202,-4.7593,19.3694,2.328,True,False,1008.15,-0.4542,1003.56,-0.9074,996.32,-1.6223,979.16,-3.3167
COST,2025-09-25,AMC,2025-09-25,2025-09-26,945.73,909.7528,925.2,940.67,902.5132,38.1568,921.5916,-3.8042,0.4271,-4.2313,-27.2349,-0.8498,True,False,916.37,-0.9544,922.03,-0.3426,913.67,-1.2462,937.99,1.3824
COST,2025-12-11,AMC,2025-12-11,2025-12-12,874.78,878.5253,883.26,887.393,866.5219,20.8711,876.9574,0.4281,-0.1059,0.5341,0.6645,6.1185,True,True,878.29,-0.5627,859.31,-2.7115,855.22,-3.1746,873.29,-1.1288
COST,2026-03-05,AMC,2026-03-05,2026-03-06,1003.48,980.25,975.22,985.42,974.0,11.42,979.71,-2.3149,-1.3251,-0.9898,1.2195,8.2466,True,True,996.0,2.1308,1001.0,2.6435,989.31,1.4448,,
GOOGL,2024-10-29,AMC,2025-02-03,2025-02-03,199.71,200.3396,199.71,203.21,196.72,6.49,199.965,0.3153,-0.6944,1.0096,25.0,-2.7786,False,False,202.25,1.2718,189.35,-5.1875,186.36,-6.6847,185.0,-7.3657
GOOGL,2025-02-04,AMC,2025-02-04,2025-02-05,202.25,188.9223,190.59,205.57,187.2863,18.2837,196.4282,-6.5897,-0.2227,-6.367,26.8908,7.9105,True,True,189.35,-0.6506,186.36,-2.2194,182.6,-4.1922,183.48,-3.7305
GOOGL,2025-04-24,AMC,2025-04-24,2025-04-25,155.05,166.85,164.5,168.5,158.84,9.66,163.67,7.6104,0.0659,7.5446,8.0851,6.7017,True,True,161.7,-1.7021,159.64,-2.9544,159.59,-2.9848,163.53,-0.5897
GOOGL,2025-07-29,AMC,2025-07-29,2025-07-30,191.81,195.25,195.16,196.2275,191.87,4.3575,194.0487,1.7934,0.0866,1.7069,18.8841,8.9482,True,True,196.01,0.4355,188.4,-3.4638,195.08,-0.041,200.67,2.8233
GOOGL,2025-10-28,AMC,2025-10-28,2025-10-29,270.32,268.3,267.51,270.7488,267.2,3.5488,268.9744,-0.7473,0.2693,-1.0166,-6.5217,-4.6282,True,True,295.3,10.3884,280.7,4.9307,276.72,3.4429,285.02,6.5455
GOOGL,2026-02-03,AMC,2026-02-03,2026-02-04,347.84,342.6,342.55,344.55,333.0,11.55,338.775,-1.5064,0.016,-1.5224,28.0952,7.961,True,False,315.98,-7.7565,323.78,-5.4795,322.84,-5.7539,301.1,-12.1004
GS,2025-04-14,BMO,2025-04-11,2025-04-14,478.13,495.7231,501.4,505.12,484.44,20.68,494.78,3.6796,1.618,2.0615,1.6988,-0.0761,False,True,494.27,-1.422,493.33,-1.6095,496.74,-0.9294,536.3,6.9605
GS,2025-07-14,BMO,2025-07-11,2025-07-14,693.6,695.5163,690.05,702.2711,686.31,15.9611,694.2905,0.2763,-0.1331,0.4094,-21.9208,0.9952,False,False,701.24,1.6216,697.14,1.0275,697.89,1.1361,719.78,4.3084
GS,2025-10-15,BMO,2025-10-14,2025-10-15,759.71,768.5408,772.98,778.01,760.4777,17.5323,769.2439,1.1624,0.6569,0.5055,28.2242,9.556,True,True,762.19,-1.3959,747.95,-3.2381,754.34,-2.4114,781.42,1.0919
GS,2026-01-14,BMO,2026-01-13,2026-01-14,947.05,926.0639,930.9,935.61,913.1314,22.4786,924.3707,-2.2159,-0.3135,-1.9024,-22.2386,1.5185,False,False,911.03,-2.1345,944.07,1.4148,956.01,2.6974,933.41,0.2696
JPM,2025-04-11,BMO,2025-04-10,2025-04-11,226.58,226.5686,224.08,233.82,221.865,11.955,227.8425,-0.005,-0.385,0.3799,0.8658,0.4633,True,True,236.16,5.3909,229.01,2.2001,225.93,0.8256,240.57,7.359
JPM,2025-07-15,BMO,2025-07-14,2025-07-15,284.45,286.3814,284.4,292.58,282.21,10.37,287.395,0.679,0.3472,0.3318,-0.6231,7.7202,False,False,284.95,0.1934,287.46,1.0759,289.06,1.6385,295.76,3.9944
JPM,2025-10-14,BMO,2025-10-13,2025-10-14,303.84,297.7253,303.29,312.87,292.897,19.973,302.8835,-2.0125,-1.0737,-0.9387,9.8837,1.036,True,False,303.84,0.1813,298.54,-1.5662,300.76,-0.8342,302.79,-0.1649
JPM,2026-01-14,BMO,2026-01-13,2026-01-14,324.52,310.83,308.91,312.63,307.2,5.43,309.915,-4.2185,-0.3135,-3.905,13.1105,5.1598,True,True,308.79,-0.0388,306.79,-0.6863,304.18,-1.5312,302.0,-2.2369
MARA,2024-11-12,AMC,2025-02-03,2025-02-03,17.05,17.1,17.05,17.99,16.4,1.59,17.195,0.2933,-0.6944,0.9876,-1.1765,-4.9939,True,False,17.71,3.871,17.26,1.2317,17.11,0.3519,16.77,-1.6422
MARA,2025-02-25,AMC,2025-02-25,2025-02-26,13.23,12.37,12.43,12.87,12.21,0.66,12.54,-6.5004,0.1742,-6.6746,-14.2857,1.9748,False,True,13.95,12.2285,15.64,25.8246,14.27,14.8029,13.79,10.9413
MARA,2025-05-06,AMC,2025-05-06,2025-05-07,12.81,13.3649,13.52,13.69,13.215,0.475,13.4525,4.3318,0.2595,4.0723,12.5,6.9404,True,True,13.94,3.1065,16.4,21.3018,16.33,20.784,16.06,18.787
MARA,2025-08-07,AMC,2025-08-07,2025-08-08,16.2,15.82,15.93,16.175,15.42,0.755,15.7975,-2.3457,0.2847,-2.6304,-16.0,0.0278,False,False,15.88,-0.3139,15.87,-0.3766,15.63,-1.8832,15.5,-2.6993
MARA,2025-11-06,AMC,2025-11-06,2025-11-07,17.11,15.225,15.44,16.25,14.93,1.32,15.59,-11.0169,-0.5938,-10.4232,1.3699,-2.0131,False,True,16.59,7.4482,14.94,-3.2383,12.19,-21.0492,10.26,-33.5492
MARA,2026-02-25,AMC,2026-02-25,2026-02-26,8.34,8.55,8.51,8.6399,8.23,0.4099,8.435,2.518,-0.1169,2.6349,-15.2174,-3.9076,True,True,9.57,12.4559,8.66,1.7626,9.19,7.9906,8.75,2.8202
META,2024-10-30,AMC,2025-02-03,2025-02-03,673.29,682.9046,673.29,696.4026,663.15,33.2526,679.7763,1.428,-0.6944,2.1224,-1.2876,2.4157,False,False,698.18,3.6968,705.35,4.7617,717.74,6.6019,736.46,9.3823
META,2025-01-29,AMC,2025-02-03,2025-02-03,673.29,682.9046,673.29,696.4026,663.15,33.2526,679.7763,1.428,-0.6944,2.1224,-2.0101,6.5507,False,False,698.18,3.6968,705.35,4.7617,717.74,6.6019,736.46,9.3823
META,2025-04-30,AMC,2025-04-30,2025-05-01,540.35,580.15,586.68,590.6731,483.57,107.1031,537.1216,7.3656,0.8875,6.4781,6.1224,2.7694,True,True,586.55,-0.0222,588.66,0.3375,589.05,0.404,644.17,9.7992
META,2025-07-30,AMC,2025-07-30,2025-07-31,704.37,774.56,772.86,783.3919,694.17,89.2219,738.781,9.9649,0.7344,9.2305,25.625,7.0212,True,True,760.46,-1.6044,756.8,-2.078,766.11,-0.8734,771.69,-0.1514
META,2025-10-29,AMC,2025-10-29,2025-10-30,752.05,695.5,674.24,751.06,651.9514,99.1086,701.5057,-7.5194,-0.5965,-6.9229,-12.6984,8.3714,False,True,669.0,-0.7772,656.19,-2.6771,632.49,-6.1922,624.89,-7.3194
META,2026-01-28,AMC,2026-01-28,2026-01-29,674.34,716.7,732.54,733.79,609.14,124.65,671.465,6.2817,0.0712,6.2105,0.0,3.2181,False,True,727.95,-0.6266,709.75,-3.1111,684.9,-6.5034,677.36,-7.5327
MSFT,2024-10-30,AMC,2025-02-03,2025-02-03,406.43,408.9699,406.43,411.07,400.29,10.78,405.68,0.6249,-0.6944,1.3193,0.0,-1.2914,False,False,407.94,0.3715,409.28,0.7012,409.16,0.6717,407.24,0.1993
MSFT,2025-01-29,AMC,2025-02-03,2025-02-03,406.43,408.9699,406.43,411.07,400.29,10.78,405.68,0.6249,-0.6944,1.3193,0.0,-0.881,False,False,407.94,0.3715,409.28,0.7012,409.16,0.6717,407.24,0.1993
MSFT,2025-04-30,AMC,2025-04-30,2025-05-01,387.19,422.78,427.71,430.8388,356.38,74.4588,393.6094,9.1919,0.8875,8.3043,8.8372,3.1023,True,True,426.82,-0.2081,427.45,-0.0608,430.29,0.6032,444.85,4.0074
MSFT,2025-07-29,AMC,2025-07-29,2025-07-30,510.72,513.18,510.52,513.46,507.91,5.55,510.685,0.4817,0.0866,0.3951,21.0526,-4.0366,False,False,554.51,8.6167,522.8,2.4054,534.69,4.7344,520.22,1.9
MSFT,2025-10-28,AMC,2025-10-28,2025-10-29,531.52,544.52,542.57,544.72,534.9286,9.7914,539.8243,2.4458,0.2693,2.1765,13.1206,1.3022,True,True,526.17,-3.0227,517.7,-4.5837,510.98,-5.8223,499.35,-7.9658
MSFT,2026-01-27,AMC,2026-01-27,2026-01-28,471.61,480.67,480.81,482.76,462.84,19.92,472.8,1.9211,0.2602,1.6608,21.2598,6.4839,True,True,447.58,-6.9113,427.87,-11.0106,420.41,-12.5621,404.18,-15.9377
MU,2024-12-18,AMC,2025-02-03,2025-02-03,88.26,87.866,88.26,91.1004,86.86,4.2404,88.9802,-0.4464,-0.6944,0.248,11.1111,7.8017,True,False,89.56,1.4729,94.34,6.8887,92.78,5.1212,102.14,15.7263
MU,2025-03-19,AMC,2025-03-19,2025-03-20,101.28,103.3702,101.17,104.3468,100.46,3.8868,102.4034,2.0638,-0.4603,2.5241,22.8216,4.0488,True,False,98.82,-2.3228,96.53,-4.5863,91.37,-9.6867,81.64,-19.3041
MU,2025-06-25,AMC,2025-06-25,2025-06-26,127.03,127.34,127.97,130.74,124.0515,6.6885,127.3958,0.244,0.351,-0.1069,13.8298,0.0419,True,True,125.14,-2.2115,121.08,-5.3841,122.01,-4.6573,122.12,-4.5714
MU,2025-09-24,AMC,2025-09-24,2025-09-25,165.82,156.0884,157.56,161.72,155.3442,6.3758,158.5321,-5.8688,-0.59,-5.2788,5.914,-3.0856,False,True,158.18,0.3935,164.52,4.4174,183.63,16.5461,194.03,23.1467
MU,2025-12-17,AMC,2025-12-17,2025-12-18,236.65,260.4083,258.15,263.547,225.43,38.117,244.4885,10.0394,0.9698,9.0697,12.6437,-4.5935,False,True,251.6,-2.5373,273.43,5.919,291.06,12.7484,324.2,25.5859
NVDA,2024-11-20,AMC,2025-02-03,2025-02-03,115.53,114.3794,115.53,120.04,112.9798,7.0602,116.5099,-0.9959,-0.6944,-0.3015,22.5352,6.2801,True,False,116.57,0.9002,127.07,9.9887,130.48,12.9404,138.47,19.8563
NVDA,2025-02-26,AMC,2025-02-26,2025-02-27,129.79,129.64,133.83,135.46,123.53,11.93,129.495,-0.1156,0.4475,-0.5631,3.0075,3.0913,True,False,117.79,-11.9854,123.88,-7.4348,116.64,-12.8447,106.91,-20.1151
NVDA,2025-05-28,AMC,2025-05-28,2025-05-29,136.41,141.47,142.01,143.81,134.79,9.02,139.3,3.7094,0.7317,2.9777,20.0,4.7763,True,True,138.33,-2.5914,134.94,-4.9785,142.1,0.0634,143.32,0.9225
NVDA,2025-08-27,AMC,2025-08-27,2025-08-28,182.4,175.94,181.15,181.92,175.79,6.13,178.855,-3.5417,0.184,-3.7257,-24.0,-2.7143,True,False,178.35,-1.5457,169.96,-6.1772,170.83,-5.6969,176.56,-2.5338
NVDA,2025-11-19,AMC,2025-11-19,2025-11-20,184.66,192.7895,195.99,198.49,181.06,17.43,189.775,4.4024,1.6117,2.7907,0.0,5.492,False,True,182.0,-7.1381,179.56,-8.3831,181.38,-7.4545,183.29,-6.4799
NVDA,2026-02-26,AMC,2026-02-26,2026-02-27,197.26,185.01,182.44,193.99,179.73,14.26,186.86,-6.2101,-0.8016,-5.4084,18.8976,-3.282,False,True,177.81,-2.5378,177.41,-2.7571,181.74,-0.3837,184.78,1.2826
PLTR,2024-11-04,AMC,2025-02-03,2025-02-03,80.35,80.2614,80.35,82.58,78.34,4.24,80.46,-0.1103,-0.6944,0.5841,-23.0769,-0.3206,True,False,103.34,28.6123,100.81,25.4636,112.08,39.4897,120.93,50.504
PLTR,2025-02-03,AMC,2025-02-03,2025-02-04,80.35,103.57,103.34,106.91,83.74,23.17,95.325,28.8986,0.0552,28.8433,-16.6667,-3.8601,True,True,102.33,-0.9774,110.95,7.364,115.4,11.6702,123.48,19.4891
PLTR,2025-05-05,AMC,2025-05-05,2025-05-06,123.95,111.005,113.4,123.77,105.3201,18.4499,114.545,-10.4437,-0.763,-9.6807,0.0,7.7544,False,True,108.01,-4.7531,119.05,4.9824,119.09,5.0176,127.56,12.4868
PLTR,2025-08-04,AMC,2025-08-04,2025-08-05,157.92,173.22,171.89,176.33,160.66,15.67,168.495,9.6884,0.0317,9.6568,27.2727,0.2081,True,True,171.86,-0.0175,184.3,7.2197,184.97,7.6095,171.3,-0.3432
PLTR,2025-11-03,AMC,2025-11-03,2025-11-04,205.21,188.05,190.54,207.18,185.56,21.62,196.37,-8.3622,-1.2278,-7.1344,11.1111,7.7436,True,True,189.11,-0.7505,172.29,-9.578,190.53,-0.0052,167.35,-12.1707
PLTR,2026-02-09,AMC,2026-02-09,2026-02-10,137.65,143.96,145.46,146.33,142.83,3.5,144.58,4.5841,0.1614,4.4227,30.7692,7.4306,True,True,139.85,-3.8567,129.71,-10.8277,128.78,-11.4671,132.89,-8.6416
SNOW,2024-11-20,AMC,2025-02-03,2025-02-03,176.5,177.1,176.5,183.7999,171.93,11.8699,177.865,0.3399,-0.6944,1.0343,0.0,-0.9488,False,False,184.93,4.7762,189.52,7.3768,186.48,5.6544,193.85,9.83
SNOW,2025-02-26,AMC,2025-02-26,2025-02-27,168.19,185.2101,189.36,189.5,176.5,13.0,183.0,10.1196,0.4475,9.6721,0.0,5.9654,False,True,172.6,-8.8509,170.35,-10.0391,169.33,-10.5777,151.21,-20.1468
SNOW,2025-05-21,AMC,2025-05-21,2025-05-22,181.51,196.1082,196.25,201.56,179.12,22.44,190.34,8.0426,-0.2093,8.2519,5.2632,8.2245,True,True,198.15,0.9682,206.34,5.1414,200.85,2.3439,212.2,8.1274
SNOW,2025-08-20,AMC,2025-08-20,2025-08-21,197.4,194.11,192.1,197.14,191.24,5.9,194.19,-1.6667,-0.3405,-1.3261,-20.0,-4.5695,True,True,195.35,1.6918,195.2,1.6137,225.72,17.5013,223.56,16.3769
